"n_ParticipantType1","n_ParticipantType2","n_ParticipantID1","n_ParticipantID2","c_Participant1","c_Participant2","c_ParticipantShort1","c_ParticipantShort2","c_ParticipantFirstName1","c_ParticipantFirstName2","c_ParticipantLastName1","c_ParticipantLastName2","c_Bib1","c_Bib2","n_StartOrder1","n_StartOrder2","NOC.n_ID1","NOC.n_ID2","NOC.n_GeoID1","NOC.n_GeoID2","NOC.c_Name1","NOC.c_Name2","NOC.c_Short1","NOC.c_Short2","n_Rank1","n_Rank2","n_RankSort1","n_RankSort2","c_Rank1","c_Rank2","c_Result1","c_Result2","c_ResultAbs1","c_ResultAbs2","n_TimeAbs1","n_TimeAbs2","n_TimeRel1","n_TimeRel2","c_ODF_QualificationMark1","c_ODF_QualificationMark2","b_Completed1","b_Completed2","b_Upcoming1","b_Upcoming2","c_ODF_IRM1","c_ODF_IRM2"
"1","1","922194","1234622","MASTNAK Tim","KWIATKOWSKI Oskar","MASTNAK T","KWIATKOWSKI O","Tim","Oskar","Mastnak","Kwiatkowski","4","5","1","2","30","150","2783","2214","Slovenia","Poland","SLO","POL","1","2","1","2","1","2","40.38","DNF","40.38","DNF","40380",NA,"0",NA,"Q",NA,"TRUE","TRUE","FALSE","FALSE",NA,"DNF"
"1","1","549918","1027578","WILD Vic","LEE Sang-Ho","WILD V","LEE SH","Vic","Sang-Ho","Wild","Lee","9","1","1","2","23062","106","73035","4391","ROC","South Korea","ROC","KOR","1","2","1","2","1","2","40.68","+0.01","40.68","40.70","40680","40700","0","10","Q",NA,"TRUE","TRUE","FALSE","FALSE",NA,NA
"1","1","571851","723850","KARL Benjamin","PAYER Alexander","KARL B","PAYER A","Benjamin","Alexander","Karl","Payer","2","10","1","2","151","151","2219","2219","Austria","Austria","AUT","AUT","1","2","1","2","1","2","40.85","+1.57","40.85","42.43","40850","42430","0","1570","Q",NA,"TRUE","TRUE","FALSE","FALSE",NA,NA
"1","1","333880","334016","FISCHNALLER Roland","PROMMEGGER Andreas","FISCHNALLER R","PROMMEGGER A","Roland","Andreas","Fischnaller","Prommegger","6","3","1","2","6","151","2210","2219","Italy","Austria","ITA","AUT","1","2","1","2","1","2","40.67","+0.51","40.67","41.18","40670","41180","0","510","Q",NA,"TRUE","TRUE","FALSE","FALSE",NA,NA
