"n_ParticipantType1","n_ParticipantType2","n_ParticipantType3","n_ParticipantType4","n_ParticipantID1","n_ParticipantID2","n_ParticipantID3","n_ParticipantID4","c_Participant1","c_Participant2","c_Participant3","c_Participant4","c_ParticipantShort1","c_ParticipantShort2","c_ParticipantShort3","c_ParticipantShort4","c_ParticipantFirstName1","c_ParticipantFirstName2","c_ParticipantFirstName3","c_ParticipantFirstName4","c_ParticipantLastName1","c_ParticipantLastName2","c_ParticipantLastName3","c_ParticipantLastName4","c_Bib1","c_Bib2","c_Bib3","c_Bib4","n_StartOrder1","n_StartOrder2","n_StartOrder3","n_StartOrder4","NOC.n_ID1","NOC.n_ID2","NOC.n_ID3","NOC.n_ID4","NOC.n_GeoID1","NOC.n_GeoID2","NOC.n_GeoID3","NOC.n_GeoID4","NOC.c_Name1","NOC.c_Name2","NOC.c_Name3","NOC.c_Name4","NOC.c_Short1","NOC.c_Short2","NOC.c_Short3","NOC.c_Short4","n_Rank1","n_Rank2","n_Rank3","n_Rank4","n_RankSort1","n_RankSort2","n_RankSort3","n_RankSort4","c_Rank1","c_Rank2","c_Rank3","c_Rank4","c_Result1","c_Result2","c_Result3","c_Result4","c_ResultAbs1","c_ResultAbs2","c_ResultAbs3","c_ResultAbs4","n_TimeAbs1","n_TimeAbs2","n_TimeAbs3","n_TimeAbs4","n_TimeRel1","n_TimeRel2","n_TimeRel3","n_TimeRel4","b_Completed1","b_Completed2","b_Completed3","b_Completed4","b_Upcoming1","b_Upcoming2","b_Upcoming3","b_Upcoming4","n_ParticipantType5","n_ParticipantID5","c_Participant5","c_ParticipantShort5","c_ParticipantFirstName5","c_ParticipantLastName5","c_Bib5","n_StartOrder5","NOC.n_ID5","NOC.n_GeoID5","NOC.c_Name5","NOC.c_Short5","n_Rank5","n_RankSort5","c_Rank5","c_Result5","c_ResultAbs5","n_TimeAbs5","n_TimeRel5","b_Completed5","b_Upcoming5","c_ODF_IRM1","c_ODF_IRM2","c_ODF_IRM3","c_ODF_IRM4","c_ODF_IRM5"
"1","1","1","1","833344","1473926","1019063","1473867","DAJING Wu","SITNIKOV Pavel","NIKISHA Denis","KRUZBERGS Roberts","DAJING W","SITNIKOV P","NIKISHA D","KRUZBERGS R","Dajing","Pavel","Denis","Roberts","Wu","Sitnikov","Nikisha","Kruzbergs","48","53","17","34","1","2","3","4","26","23062","160","9","2770","73035","2236","2218","China","ROC","Kazakhstan","Latvia","CHN","ROC","KAZ","LAT","1","2","3","4","1","2","3","4","1","2","3","4","41.157","+0.060","+0.172","+0.308","41.157","41.217","41.329","41.465","41157","41217","41329","41465","0","60","172","308","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1","1","1","1","1146451","1630699","1473872","812647","LIU Shaoang","IVLIEV Konstantin","DUBOIS Steven","AZHGALIYEV Abzal","LIU S","IVLIEV K","DUBOIS S","AZHGALIYEV A","Shaoang","Konstantin","Steven","Abzal","Liu","Ivliev","Dubois","Azhgaliyev","1","12","16","50","1","3","4","2","28","23062","159","160","2776","73035","2231","2236","Hungary","ROC","Canada","Kazakhstan","HUN","ROC","CAN","KAZ","1","2","3","4","1","2","3","4","1","2","3","4","40.338","+0.093","+0.331","+0.531","40.338","40.431","40.669","40.869","40338","40431","40669","40869","0","93","331","531","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","1","1624860","SIGHEL Pietro","SIGHEL P","Pietro","Sighel","7","5","6","2210","Italy","ITA",NA,"5",NA,"DNF","DNF",NA,NA,"TRUE","FALSE",NA,NA,NA,NA,"DNF"
