"n_ParticipantType","n_ParticipantID","c_Participant","c_ParticipantShort","c_ParticipantFirstName","c_ParticipantLastName","c_Bib","n_StartOrder","NOC.n_ID","NOC.n_GeoID","NOC.c_Name","NOC.c_Short","n_Rank","n_RankSort","c_Rank","c_Result","c_ResultAbs","n_TimeAbs","n_TimeRel","c_ResultInfo_1","c_ResultInfo_2","b_Completed","b_Upcoming","c_ODF_IRM"
1, 451771,"EDER Simon","EDER S","Simon","Eder","18",18,  151, 2219,Austria,AUT,37,37,"37","+5:11.2","44:18.7",2658700,311200,"0 + 2 + 2 + 1","5",TRUE,FALSE,NA
1,1632821,"HARTWEG Niklas","HARTWEG N","Niklas","Hartweg","37",37,  149, 2213,Switzerland,SUI,38,38,"38","+5:27.2","44:34.7",2674700,327200,"1 + 3 + 0 + 1","5",TRUE,FALSE,NA
1,1630115,"SEROKHVOSTOV Daniil","SEROKHVOSTOV D","Daniil","Serokhvostov","19",19,23062,73035,ROC,ROC,39,39,"39","+5:27.3","44:34.8",2674800,327300,"4 + 2 + 1 + 1","8",TRUE,FALSE,NA
1,1720671,"BROWN Jake","BROWN J","Jake","Brown","36",36,    5, 2209,United States,USA,40,40,"40","+6:06.6","45:14.1",2714100,366600,"3 + 1 + 2 + 0","6",TRUE,FALSE,NA
1,1338685,"YAN Xingyuan","YAN X","Xingyuan","Yan","40",40,   26, 2770,China,CHN,41,41,"41","+6:22.7","45:30.2",2730200,382700,"2 + 1 + 1 + 1","5",TRUE,FALSE,NA
1,1630139,"KARLIK Mikulas","KARLIK M","Mikuláš","Karlík","28",28,   17, 2240,Czech Republic,CZE,42,42,"42","+6:31.3","45:38.8",2738800,391300,"1 + 3 + 3 + 1","8",TRUE,FALSE,NA
1, 980366,"DOHERTY Sean","DOHERTY S","Sean","Doherty","47",47,    5, 2209,United States,USA,43,43,"43","+6:31.3","45:38.8",2738800,391300,"1 + 1 + 3 + 2","7",TRUE,FALSE,NA
1,1017642,"VACLAVIK Adam","VACLAVIK A","Adam","Václavík","59",59,   17, 2240,Czech Republic,CZE,44,44,"44","+6:33.7","45:41.2",2741200,393700,"1 + 1 + 3 + 1","6",TRUE,FALSE,NA
1,1949143,"LABASTAU Mikita","LABASTAU M","Mikita","Labastau","57",57,  103, 4387,Belarus,BLR,45,45,"45","+6:34.5","45:42.0",2742000,394500,"3 + 0 + 1 + 2","6",TRUE,FALSE,NA
1,1017907,"KOBONOKI Tsukasa","KOBONOKI T","Tsukasa","Kobonoki","41",41,   18, 2241,Japan,JPN,46,46,"46","+7:08.5","46:16.0",2776000,428500,"1 + 1 + 2 + 1","5",TRUE,FALSE,NA
1, 764081,"RAENKEL Raido","RAENKEL R","Raido","Ränkel","51",51,    8, 2217,Estonia,EST,47,47,"47","+7:15.6","46:23.1",2783100,435600,"1 + 1 + 2 + 2","6",TRUE,FALSE,NA
1,1351832,"STVRTECKY Jakub","STVRTECKY J","Jakub","Štvrtecký","58",58,   17, 2240,Czech Republic,CZE,48,48,"48","+7:24.6","46:32.1",2792100,444600,"0 + 3 + 3 + 1","7",TRUE,FALSE,NA
1,1017675,"LAITINEN Heikki","LAITINEN H","Heikki","Laitinen","54",54,  161, 2237,Finland,FIN,49,49,"49","+7:39.7","46:47.2",2807200,459700,"1 + 1 + 1 + 3","6",TRUE,FALSE,NA
1, 980313,"ZAHKNA Rene","ZAHKNA R","Rene","Zahkna","50",50,    8, 2217,Estonia,EST,50,50,"50","+7:46.5","46:54.0",2814000,466500,"0 + 0 + 2 + 1","3",TRUE,FALSE,NA
1,1017913,"OZAKI Kosuke","OZAKI K","Kosuke","Ozaki","44",44,   18, 2241,Japan,JPN,51,51,"51","+7:49.1","46:56.6",2816600,469100,"0 + 2 + 0 + 2","4",TRUE,FALSE,NA
1, 844420,"HIIDENSALO Olli","HIIDENSALO O","Olli","Hiidensalo","39",39,  161, 2237,Finland,FIN,52,52,"52","+7:57.4","47:04.9",2824900,477400,"5 + 0 + 1 + 2","8",TRUE,FALSE,NA
1,1949083,"TODEV Blagoy","TODEV B","Blagoy","Todev","52",52,  148, 2211,Bulgaria,BUL,53,53,"53","+7:57.5","47:05.0",2825000,477500,"1 + 3 + 1 + 1","6",TRUE,FALSE,NA
1, 909270,"GUZIK Grzegorz","GUZIK G","Grzegorz","Guzik","48",48,  150, 2214,Poland,POL,54,54,"54","+7:59.5","47:07.0",2827000,479500,"2 + 3 + 1 + 2","8",TRUE,FALSE,NA
1, 919034,"SINAPOV Anton","SINAPOV A","Anton","Sinapov","56",56,  148, 2211,Bulgaria,BUL,55,55,"55","+8:00.8","47:08.3",2828300,480800,"2 + 0 + 3 + 2","7",TRUE,FALSE,NA
1,1632818,"PLANKO Lovro","PLANKO L","Lovro","Planko","42",42,   30, 2783,Slovenia,SLO,56,56,"56","+8:24.1","47:31.6",2851600,504100,"2 + 2 + 2 + 2","8",TRUE,FALSE,NA
1,1357340,"MUKHIN Alexandr","MUKHIN A","Alexandr","Mukhin","49",49,  160, 2236,Kazakhstan,KAZ,57,57,"57","+8:37.5","47:45.0",2865000,517500,"3 + 1 + 2 + 2","8",TRUE,FALSE,NA
1, 919030,"STROLIA Vytautas","STROLIA V","Vytautas","Strolia","43",43,    7, 2215,Lithuania,LTU,58,58,"58","+9:40.3","48:47.8",2927800,580300,"2 + 3 + 1 + 4","10",TRUE,FALSE,NA
1,1338383,"BURKHALTER Joscha","BURKHALTER J","Joscha","Burkhalter","45",45,  149, 2213,Switzerland,SUI,59,59,"59","LAP","LAP",NA,NA,"1 + 4 + 4","9",TRUE,FALSE,"LAP"
1, 720640,"WEGER Benjamin","WEGER B","Benjamin","Weger","53",53,  149, 2213,Switzerland,SUI,NA,60,NA,"DNS","DNS",NA,NA,NA,NA,TRUE,FALSE,"DNS"
