"n_ParticipantType","n_ParticipantID","c_Participant","c_ParticipantShort","c_ParticipantLastName","c_Bib","n_StartOrder","NOC.n_ID","NOC.n_GeoID","NOC.c_Name","NOC.c_Short","n_Rank","n_RankSort","c_Rank","c_Result","c_ResultAbs","n_TimeAbs","n_TimeRel","c_ResultInfo_1","b_Completed","b_Upcoming","n_BDF_StartTime","n_BDF_VideoSessionID","c_ClientStreamURL","n_Position1","n_Position2","n_PersonID1","n_PersonID2","c_Person1","c_Person2","c_PersonFirstName1","c_PersonFirstName2","c_PersonLastName1","c_PersonLastName2","c_PersonShort1","c_PersonShort2","n_BDF_VideoSessionID1","n_BDF_VideoSessionID2","c_ClientStreamURL1","c_ClientStreamURL2"
2,1475349,"NOLTE L/LEVI D","Nolte/Levi","Nolte/Levi","4", 1,    2, 2206,Germany,GER, 1, 1,"1","1:00.70","1:00.70",60700,   0,"133.0",TRUE,FALSE,1518048001,243,"https://stream.nbcolympics.com/two-woman-bobsled-heats-3-4","1","2","1475349","1940848","NOLTE Laura","LEVI Deborah","Laura","Deborah","Nolte","Levi","NOLTE L","LEVI D","243","243","https://stream.nbcolympics.com/two-woman-bobsled-heats-3-4","https://stream.nbcolympics.com/two-woman-bobsled-heats-3-4"
2,1339644,"JAMANKA M/BURGHARDT A","Jamanka/Burghardt","Jamanka/Burghardt","9", 2,    2, 2206,Germany,GER, 2, 2,"2","+0.28","1:00.98",60980, 280,"132.7",TRUE,FALSE,1518048002,243,"https://stream.nbcolympics.com/two-woman-bobsled-heats-3-4","1","2","1339644","951283","JAMANKA Mariama","BURGHARDT Alexandra","Mariama","Alexandra","Jamanka","Burghardt","JAMANKA M","BURGHARDT A","243","243","https://stream.nbcolympics.com/two-woman-bobsled-heats-3-4","https://stream.nbcolympics.com/two-woman-bobsled-heats-3-4"
2, 709694,"MEYERS TAYLOR E/HOFFMAN S","Meyers Taylor/Hoffman","Meyers Taylor/Hoffman","8", 3,    5, 2209,United States,USA, 3, 3,"3","+0.43","1:01.13",61130, 430,"131.1",TRUE,FALSE,1518048003,243,"https://stream.nbcolympics.com/two-woman-bobsled-heats-3-4","1","2","709694","1144614","MEYERS TAYLOR Elana","HOFFMAN Sylvia","Elana","Sylvia","Meyers Taylor","Hoffman","MEYERS TAYLOR E","HOFFMAN S","243","243","https://stream.nbcolympics.com/two-woman-bobsled-heats-3-4","https://stream.nbcolympics.com/two-woman-bobsled-heats-3-4"
2,1458179,"KALICKI K/BUCKWITZ LM","Kalicki/Buckwitz","Kalicki/Buckwitz","5", 6,    2, 2206,Germany,GER, 4, 4,"4","+0.60","1:01.30",61300, 600,"131.7",TRUE,FALSE,1518048006,243,"https://stream.nbcolympics.com/two-woman-bobsled-heats-3-4","1","2","1458179","1341173","KALICKI Kim","BUCKWITZ Lisa Marie","Kim","Lisa Marie","Kalicki","Buckwitz","KALICKI K","BUCKWITZ LM","243","243","https://stream.nbcolympics.com/two-woman-bobsled-heats-3-4","https://stream.nbcolympics.com/two-woman-bobsled-heats-3-4"
2,1114670,"DE BRUIN C/BUJNOWSKI K","de Bruin/Bujnowski","de Bruin/Bujnowski","6", 4,  159, 2231,Canada,CAN, 5, 5,"5","+0.73","1:01.43",61430, 730,"131.6",TRUE,FALSE,1518048004,243,"https://stream.nbcolympics.com/two-woman-bobsled-heats-3-4","1","2","1114670","1726854","DE BRUIN Christine","BUJNOWSKI Kristen","Christine","Kristen","de Bruin","Bujnowski","DE BRUIN C","BUJNOWSKI K","243","243","https://stream.nbcolympics.com/two-woman-bobsled-heats-3-4","https://stream.nbcolympics.com/two-woman-bobsled-heats-3-4"
2, 484979,"HUMPHRIES K/LOVE K","Humphries/Love","Humphries/Love","7", 5,    5, 2209,United States,USA, 6, 6,"6","+1.05","1:01.75",61750,1050,"129.3",TRUE,FALSE,1518048005,243,"https://stream.nbcolympics.com/two-woman-bobsled-heats-3-4","1","2","484979","1989124","HUMPHRIES Kaillie","LOVE Kaysha","Kaillie","Kaysha","Humphries","Love","HUMPHRIES K","LOVE K","243","243","https://stream.nbcolympics.com/two-woman-bobsled-heats-3-4","https://stream.nbcolympics.com/two-woman-bobsled-heats-3-4"
2,1720360,"HASLER M/PASTERNACK N","Hasler/Pasternack","Hasler/Pasternack","11", 7,  149, 2213,Switzerland,SUI, 7, 7,"7","+1.07","1:01.77",61770,1070,"130.1",TRUE,FALSE,1518048007,243,"https://stream.nbcolympics.com/two-woman-bobsled-heats-3-4","1","2","1720360","1524167","HASLER Melanie","PASTERNACK Nadja","Melanie","Nadja","Hasler","Pasternack","HASLER M","PASTERNACK N","243","243","https://stream.nbcolympics.com/two-woman-bobsled-heats-3-4","https://stream.nbcolympics.com/two-woman-bobsled-heats-3-4"
2,1338822,"LOTHOLZ M/VILLANI S","Lotholz/Villani","Lotholz/Villani","12",16,  159, 2231,Canada,CAN, 8, 8,"8","+1.15","1:01.85",61850,1150,"129.9",TRUE,FALSE,1518048016,243,"https://stream.nbcolympics.com/two-woman-bobsled-heats-3-4","1","2","1338822","1505590","LOTHOLZ Melissa","VILLANI Sara","Melissa","Sara","Lotholz","Villani","LOTHOLZ M","VILLANI S","243","243","https://stream.nbcolympics.com/two-woman-bobsled-heats-3-4","https://stream.nbcolympics.com/two-woman-bobsled-heats-3-4"
2,1238010,"BEIERL K/ONASANYA J","Beierl/Onasanya","Beierl/Onasanya","16",10,  151, 2219,Austria,AUT, 9, 9,"9","+1.19","1:01.89",61890,1190,"130.6",TRUE,FALSE,1518048010,243,"https://stream.nbcolympics.com/two-woman-bobsled-heats-3-4","1","2","1238010","1554331","BEIERL Katrin","ONASANYA Jennifer","Katrin","Jennifer","Beierl","Onasanya","BEIERL K","ONASANYA J","243","243","https://stream.nbcolympics.com/two-woman-bobsled-heats-3-4","https://stream.nbcolympics.com/two-woman-bobsled-heats-3-4"
2,1467430,"APPIAH C/RICHARDSON WILSON D","Appiah/Richardson Wilson","Appiah/Richardson Wilson","13", 8,  159, 2231,Canada,CAN,10,10,"10","+1.25","1:01.95",61950,1250,"131.1",TRUE,FALSE,1518048008,243,"https://stream.nbcolympics.com/two-woman-bobsled-heats-3-4","1","2","1467430","1969529","APPIAH Cynthia","RICHARDSON WILSON Dawn","Cynthia","Dawn","Appiah","Richardson Wilson","APPIAH C","RICHARDSON WILSON D","243","243","https://stream.nbcolympics.com/two-woman-bobsled-heats-3-4","https://stream.nbcolympics.com/two-woman-bobsled-heats-3-4"
