"n_SportID","c_Sport","c_SportShort","n_DateLocal","c_DateLocal","d_DateLocal","c_TimeFirstEventLocal","c_TimeFirstEventUTC","c_TimeLastEventLocal","c_TimeLastEventUTC","n_NrOfEvents","n_NrOfPhases","n_NrOfMatches","n_MedalsGold","n_MedalsSilver","n_MedalsBronze"
115,"Alpine Skiing","ALP",20220216,"2022-02-16T00:00:00","/Date(1644969600000+0000)/","2022-02-16T10:15:00","2022-02-16T02:15:00","2022-02-16T13:45:00","2022-02-16T05:45:00",1,2,0,1,1,1
115,"Alpine Skiing","ALP",20220217,"2022-02-17T00:00:00","/Date(1645056000000+0000)/","2022-02-17T10:30:00","2022-02-17T02:30:00","2022-02-17T14:00:00","2022-02-17T06:00:00",1,2,0,1,1,1
115,"Alpine Skiing","ALP",20220218,"2022-02-18T00:00:00","/Date(1645142400000+0000)/",NA,NA,NA,NA,0,0,0,0,0,0
115,"Alpine Skiing","ALP",20220219,"2022-02-19T00:00:00","/Date(1645228800000+0000)/",NA,NA,NA,NA,0,0,0,0,0,0
115,"Alpine Skiing","ALP",20220220,"2022-02-20T00:00:00","/Date(1645315200000+0000)/","2022-02-20T09:00:00","2022-02-20T01:00:00","2022-02-20T10:28:00","2022-02-20T02:28:00",1,4,0,1,1,1
218,"Biathlon","BTH",20220202,"2022-02-02T00:00:00","/Date(1643760000000+0000)/",NA,NA,NA,NA,0,0,0,0,0,0
218,"Biathlon","BTH",20220203,"2022-02-03T00:00:00","/Date(1643846400000+0000)/",NA,NA,NA,NA,0,0,0,0,0,0
218,"Biathlon","BTH",20220204,"2022-02-04T00:00:00","/Date(1643932800000+0000)/",NA,NA,NA,NA,0,0,0,0,0,0
218,"Biathlon","BTH",20220205,"2022-02-05T00:00:00","/Date(1644019200000+0000)/","2022-02-05T17:00:00","2022-02-05T09:00:00","2022-02-05T17:00:00","2022-02-05T09:00:00",1,1,0,1,1,1
218,"Biathlon","BTH",20220206,"2022-02-06T00:00:00","/Date(1644105600000+0000)/",NA,NA,NA,NA,0,0,0,0,0,0
218,"Biathlon","BTH",20220207,"2022-02-07T00:00:00","/Date(1644192000000+0000)/","2022-02-07T17:00:00","2022-02-07T09:00:00","2022-02-07T17:00:00","2022-02-07T09:00:00",1,1,0,1,1,1
218,"Biathlon","BTH",20220208,"2022-02-08T00:00:00","/Date(1644278400000+0000)/","2022-02-08T16:30:00","2022-02-08T08:30:00","2022-02-08T16:30:00","2022-02-08T08:30:00",1,1,0,1,1,1
218,"Biathlon","BTH",20220209,"2022-02-09T00:00:00","/Date(1644364800000+0000)/",NA,NA,NA,NA,0,0,0,0,0,0
218,"Biathlon","BTH",20220210,"2022-02-10T00:00:00","/Date(1644451200000+0000)/",NA,NA,NA,NA,0,0,0,0,0,0
218,"Biathlon","BTH",20220211,"2022-02-11T00:00:00","/Date(1644537600000+0000)/","2022-02-11T17:00:00","2022-02-11T09:00:00","2022-02-11T17:00:00","2022-02-11T09:00:00",1,1,0,1,1,1
218,"Biathlon","BTH",20220212,"2022-02-12T00:00:00","/Date(1644624000000+0000)/","2022-02-12T17:00:00","2022-02-12T09:00:00","2022-02-12T17:00:00","2022-02-12T09:00:00",1,1,0,1,1,1
218,"Biathlon","BTH",20220213,"2022-02-13T00:00:00","/Date(1644710400000+0000)/","2022-02-13T17:00:00","2022-02-13T09:00:00","2022-02-13T18:45:00","2022-02-13T10:45:00",2,2,0,2,2,2
218,"Biathlon","BTH",20220214,"2022-02-14T00:00:00","/Date(1644796800000+0000)/",NA,NA,NA,NA,0,0,0,0,0,0
218,"Biathlon","BTH",20220215,"2022-02-15T00:00:00","/Date(1644883200000+0000)/","2022-02-15T14:30:00","2022-02-15T06:30:00","2022-02-15T14:30:00","2022-02-15T06:30:00",1,1,0,1,1,1
218,"Biathlon","BTH",20220216,"2022-02-16T00:00:00","/Date(1644969600000+0000)/","2022-02-16T15:45:00","2022-02-16T07:45:00","2022-02-16T15:45:00","2022-02-16T07:45:00",1,1,0,1,1,1
218,"Biathlon","BTH",20220217,"2022-02-17T00:00:00","/Date(1645056000000+0000)/",NA,NA,NA,NA,0,0,0,0,0,0
218,"Biathlon","BTH",20220218,"2022-02-18T00:00:00","/Date(1645142400000+0000)/","2022-02-18T15:00:00","2022-02-18T07:00:00","2022-02-18T17:00:00","2022-02-18T09:00:00",2,2,0,2,2,2
218,"Biathlon","BTH",20220219,"2022-02-19T00:00:00","/Date(1645228800000+0000)/",NA,NA,NA,NA,0,0,0,0,0,0
218,"Biathlon","BTH",20220220,"2022-02-20T00:00:00","/Date(1645315200000+0000)/",NA,NA,NA,NA,0,0,0,0,0,0
213,"Bobsled","BOB",20220202,"2022-02-02T00:00:00","/Date(1643760000000+0000)/",NA,NA,NA,NA,0,0,0,0,0,0
213,"Bobsled","BOB",20220203,"2022-02-03T00:00:00","/Date(1643846400000+0000)/",NA,NA,NA,NA,0,0,0,0,0,0
213,"Bobsled","BOB",20220204,"2022-02-04T00:00:00","/Date(1643932800000+0000)/",NA,NA,NA,NA,0,0,0,0,0,0
213,"Bobsled","BOB",20220205,"2022-02-05T00:00:00","/Date(1644019200000+0000)/",NA,NA,NA,NA,0,0,0,0,0,0
213,"Bobsled","BOB",20220206,"2022-02-06T00:00:00","/Date(1644105600000+0000)/",NA,NA,NA,NA,0,0,0,0,0,0
213,"Bobsled","BOB",20220207,"2022-02-07T00:00:00","/Date(1644192000000+0000)/",NA,NA,NA,NA,0,0,0,0,0,0
213,"Bobsled","BOB",20220208,"2022-02-08T00:00:00","/Date(1644278400000+0000)/",NA,NA,NA,NA,0,0,0,0,0,0
213,"Bobsled","BOB",20220209,"2022-02-09T00:00:00","/Date(1644364800000+0000)/",NA,NA,NA,NA,0,0,0,0,0,0
213,"Bobsled","BOB",20220210,"2022-02-10T00:00:00","/Date(1644451200000+0000)/",NA,NA,NA,NA,0,0,0,0,0,0
