"n_ParticipantType1","n_ParticipantType2","n_ParticipantType3","n_ParticipantType4","n_ParticipantID1","n_ParticipantID2","n_ParticipantID3","n_ParticipantID4","c_Participant1","c_Participant2","c_Participant3","c_Participant4","c_ParticipantShort1","c_ParticipantShort2","c_ParticipantShort3","c_ParticipantShort4","c_ParticipantFirstName1","c_ParticipantFirstName2","c_ParticipantFirstName3","c_ParticipantFirstName4","c_ParticipantLastName1","c_ParticipantLastName2","c_ParticipantLastName3","c_ParticipantLastName4","c_Bib1","c_Bib2","c_Bib3","c_Bib4","n_StartOrder1","n_StartOrder2","n_StartOrder3","n_StartOrder4","NOC.n_ID1","NOC.n_ID2","NOC.n_ID3","NOC.n_ID4","NOC.n_GeoID1","NOC.n_GeoID2","NOC.n_GeoID3","NOC.n_GeoID4","NOC.c_Name1","NOC.c_Name2","NOC.c_Name3","NOC.c_Name4","NOC.c_Short1","NOC.c_Short2","NOC.c_Short3","NOC.c_Short4","n_Rank1","n_Rank2","n_Rank3","n_Rank4","n_RankSort1","n_RankSort2","n_RankSort3","n_RankSort4","c_Rank1","c_Rank2","c_Rank3","c_Rank4","c_Result1","c_Result2","c_Result3","c_Result4","c_ResultAbs1","c_ResultAbs2","c_ResultAbs3","c_ResultAbs4","b_Completed1","b_Completed2","b_Completed3","b_Completed4","b_Upcoming1","b_Upcoming2","b_Upcoming3","b_Upcoming4"
"1","1","1","1","1950588","762101","915063","764389","DEROMEDIS Simone","LEMAN Brady","ROHRWECK Johannes","PLACE Francois","DEROMEDIS S","LEMAN B","ROHRWECK J","PLACE F","Simone","Brady","Johannes","François","Deromedis","Leman","Rohrweck","Place","8","4","10","11","2","1","3","4","6","159","151","144","2210","2231","2219","2202","Italy","Canada","Austria","France","ITA","CAN","AUT","FRA","5","6","7","8","1","2","3","4","5","6","7","8","0.00","+0.23","+0.81","+1.70","0.00",NA,NA,NA,"TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE"
"1","1","1","1","1219375","760864","1026407","1361452","REGEZ Ryan","FIVA Alex","RIDZIK Sergey","MOBAERG Erik","REGEZ R","FIVA A","RIDZIK S","MOBAERG E","Ryan","Alex","Sergey","Erik","Regez","Fiva","Ridzik","Mobärg","7","1","29","14","2","1","4","3","149","149","23062","154","2213","2213","73035","2222","Switzerland","Switzerland","ROC","Sweden","SUI","SUI","ROC","SWE","1","2","3","4","1","2","3","4","1","2","3","4",NA,"+0.26","+0.80","+0.93",NA,NA,NA,NA,"TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE"
