"n_ParticipantType","n_ParticipantID","c_Participant","c_ParticipantShort","c_ParticipantFirstName","c_ParticipantLastName","c_Bib","n_StartOrder","NOC.n_ID","NOC.n_GeoID","NOC.c_Name","NOC.c_Short","n_Rank","n_RankSort","c_Rank","c_Result","c_ResultAbs","n_TimeAbs","n_TimeRel","c_ResultInfo_1","c_ResultInfo_2","b_Completed","b_Upcoming","c_ODF_IRM"
1,1351981,"TODOROVA Milena","TODOROVA M","Milena","Todorova","17",17,  148, 2211,Bulgaria,BUL,31,31,"31","+4:33.7","39:20.6",2360600,273700,"0 + 0 + 2 + 4","6",TRUE,FALSE,NA
1,1017693,"VITTOZZI Lisa","VITTOZZI L","Lisa","Vittozzi","36",36,    6, 2210,Italy,ITA,32,32,"32","+4:34.3","39:21.2",2361200,274300,"1 + 2 + 0 + 1","4",TRUE,FALSE,NA
1,1338352,"LIEN Ida","LIEN I","Ida","Lien","38",38,  153, 2221,Norway,NOR,33,33,"33","+4:35.2","39:22.1",2362100,275200,"0 + 1 + 2 + 1","4",TRUE,FALSE,NA
1,1018300,"CHARVATOVA Lucie","CHARVATOVA L","Lucie","Charvátová","25",25,   17, 2240,Czech Republic,CZE,34,34,"34","+4:56.3","39:43.2",2383200,296300,"2 + 1 + 0 + 1","4",TRUE,FALSE,NA
1, 980274,"JISLOVA Jessica","JISLOVA J","Jessica","Jislová","31",31,   17, 2240,Czech Republic,CZE,35,35,"35","+5:07.6","39:54.5",2394500,307600,"0 + 1 + 0 + 1","2",TRUE,FALSE,NA
1, 980292,"FIALKOVA Ivona","FIALKOVA I","Ivona","Fialková","42",42,   14, 2233,Slovakia,SVK,36,36,"36","+5:19.4","40:06.3",2406300,319400,"0 + 4 + 1 + 2","7",TRUE,FALSE,NA
1,1475324,"COMOLA Samuela","COMOLA S","Samuela","Comola","57",57,    6, 2210,Italy,ITA,37,37,"37","+5:23.5","40:10.4",2410400,323500,"0 + 1 + 1 + 1","3",TRUE,FALSE,NA
1,1338227,"EGAN Clare","EGAN C","Clare","Egan","46",46,    5, 2209,United States,USA,38,38,"38","+5:30.1","40:17.0",2417000,330100,"0 + 0 + 2 + 2","4",TRUE,FALSE,NA
1,1632782,"BASERGA Amy","BASERGA A","Amy","Baserga","54",54,  149, 2213,Switzerland,SUI,39,39,"39","+5:31.1","40:18.0",2418000,331100,"1 + 0 + 1 + 1","3",TRUE,FALSE,NA
1, 823338,"DUNKLEE Susan","DUNKLEE S","Susan","Dunklee","27",27,    5, 2209,United States,USA,40,40,"40","+5:32.0","40:18.9",2418900,332000,"0 + 0 + 2 + 1","3",TRUE,FALSE,NA
1,1137086,"MIRONOVA Svetlana","MIRONOVA S","Svetlana","Mironova","47",47,23062,73035,ROC,ROC,41,41,"41","+5:38.5","40:25.4",2425400,338500,"0 + 0 + 1 + 5","6",TRUE,FALSE,NA
1, 759916,"TACHIZAKI Fuyuko","TACHIZAKI F","Fuyuko","Tachizaki","39",39,   18, 2241,Japan,JPN,42,42,"42","+5:40.9","40:27.8",2427800,340900,"0 + 1 + 1 + 1","3",TRUE,FALSE,NA
1,1137085,"MINKKINEN Suvi","MINKKINEN S","Suvi","Minkkinen","51",51,  161, 2237,Finland,FIN,43,43,"43","+5:51.1","40:38.0",2438000,351100,"0 + 0 + 0 + 0","0",TRUE,FALSE,NA
1,1137045,"SCHWAIGER Julia","SCHWAIGER J","Julia","Schwaiger","45",45,  151, 2219,Austria,AUT,44,44,"44","+5:55.3","40:42.2",2442200,355300,"0 + 0 + 1 + 2","3",TRUE,FALSE,NA
1,1137084,"KUELM Susan","KUELM S","Susan","Külm","44",44,    8, 2217,Estonia,EST,45,45,"45","+6:10.4","40:57.3",2457300,370400,"1 + 1 + 1 + 0","3",TRUE,FALSE,NA
1,1245766,"MAGNUSSON Anna","MAGNUSSON A","Anna","Magnusson","7", 7,  154, 2222,Sweden,SWE,46,46,"46","+6:13.0","40:59.9",2459900,373000,"1 + 3 + 0 + 2","6",TRUE,FALSE,NA
1,1635357,"IRWIN Deedra","IRWIN D","Deedra","Irwin","37",37,    5, 2209,United States,USA,47,47,"47","+6:14.1","41:01.0",2461000,374100,"0 + 0 + 1 + 3","4",TRUE,FALSE,NA
1, 823185,"BENDIKA Baiba","BENDIKA B","Baiba","Bendika","50",50,    9, 2218,Latvia,LAT,48,48,"48","+6:25.0","41:11.9",2471900,385000,"2 + 1 + 2 + 1","6",TRUE,FALSE,NA
1,1119483,"TOMINGAS Tuuli","TOMINGAS T","Tuuli","Tomingas","33",33,    8, 2217,Estonia,EST,49,49,"49","+6:25.3","41:12.2",2472200,385300,"0 + 2 + 3 + 2","7",TRUE,FALSE,NA
1,1137072,"OJA Regina","OJA R","Regina","Oja","56",56,    8, 2217,Estonia,EST,50,50,"50","+6:27.6","41:14.5",2474500,387600,"3 + 1 + 0 + 1","5",TRUE,FALSE,NA
1,1338606,"KLEMENCIC Polona","KLEMENCIC P","Polona","Klemencic","59",59,   30, 2783,Slovenia,SLO,51,51,"51","+6:44.6","41:31.5",2491500,404600,"0 + 1 + 2 + 1","4",TRUE,FALSE,NA
1, 823285,"VISHNEVSKAYA SHEPORENKO Galina","VISHNEVSKAYA SHEPORENKO G","Galina","Vishnevskaya Sheporenko","52",52,  160, 2236,Kazakhstan,KAZ,52,52,"52","+7:01.0","41:47.9",2507900,421000,"1 + 0 + 0 + 3","4",TRUE,FALSE,NA
1, 657144,"TANG Jialin","TANG J","Jialin","Tang","35",35,   26, 2770,China,CHN,53,53,"53","+7:01.4","41:48.3",2508300,421400,"1 + 0 + 1 + 2","4",TRUE,FALSE,NA
1, 823214,"LUNDER Emma","LUNDER E","Emma","Lunder","32",32,  159, 2231,Canada,CAN,54,54,"54","+7:32.4","42:19.3",2539300,452400,"1 + 3 + 2 + 1","7",TRUE,FALSE,NA
1, 771319,"PETRENKO Iryna","PETRENKO I","Iryna","Petrenko","40",40,   13, 2232,Ukraine,UKR,55,55,"55","+8:16.8","43:03.7",2583700,496800,"1 + 1 + 2 + 0","4",TRUE,FALSE,NA
1,1629027,"AVVAKUMOVA Ekaterina","AVVAKUMOVA E","Ekaterina","Avvakumova","49",49,  106, 4391,South Korea,KOR,56,56,"56","LAP","LAP",NA,NA,"3 + 4","7",TRUE,FALSE,"LAP"
1,1768993,"VOBORNIKOVA Tereza","VOBORNIKOVA T","Tereza","Voborníková","58",58,   17, 2240,Czech Republic,CZE,57,57,"57","LAP","LAP",NA,NA,"4 + 0 + 3","7",TRUE,FALSE,"LAP"
1, 844449,"TALIHAERM Johanna","TALIHAERM J","Johanna","Talihärm","43",43,    8, 2217,Estonia,EST,NA,58,NA,"DNS","DNS",NA,NA,NA,NA,TRUE,FALSE,"DNS"
1,1137047,"BRAISAZ-BOUCHET Justine","BRAISAZ-BOUCHET J","Justine","Braisaz-Bouchet","48",48,  144, 2202,France,FRA,NA,59,NA,"DNS","DNS",NA,NA,NA,NA,TRUE,FALSE,"DNS"
1,1352000,"ZUK Kamila","ZUK K","Kamila","Zuk","53",53,  150, 2214,Poland,POL,NA,60,NA,"DNS","DNS",NA,NA,NA,NA,TRUE,FALSE,"DNS"
