"Event","MatchID"
"Men's Combined",1969861
"Men's Downhill",1969862
"Men's Giant Slalom",1969864
"Men's Slalom",1969863
"Men's Super-G",1969865
"Team Event",1969871
"Women's Combined",1969866
"Women's Downhill",1969867
"Women's Giant Slalom",1969869
"Women's Slalom",1969868
"Women's Super-G",1969870
