"n_ParticipantType1","n_ParticipantType2","n_ParticipantID1","n_ParticipantID2","c_Participant1","c_Participant2","c_ParticipantShort1","c_ParticipantShort2","c_ParticipantLastName1","c_ParticipantLastName2","c_Bib1","c_Bib2","n_StartOrder1","n_StartOrder2","NOC.n_ID1","NOC.n_ID2","NOC.n_GeoID1","NOC.n_GeoID2","NOC.c_Name1","NOC.c_Name2","NOC.c_Short1","NOC.c_Short2","n_Rank1","n_Rank2","n_RankSort1","n_RankSort2","c_Rank1","c_Rank2","c_Result1","c_Result2","c_ResultAbs1","c_ResultAbs2","n_PointsAbs1","n_PointsAbs2","c_ODF_QualificationMark1","c_ODF_QualificationMark2","c_ResultInfo_11","c_ResultInfo_12","c_ResultInfo_21","c_ResultInfo_22","c_ResultInfo_31","c_ResultInfo_32","c_ResultInfo_41","c_ResultInfo_42","c_ResultInfo_51","c_ResultInfo_52","b_Completed1","b_Completed2","b_Upcoming1","b_Upcoming2","TeamMemberList.n_Position1","TeamMemberList.n_Position2","TeamMemberList.n_Position3","TeamMemberList.n_Position4","TeamMemberList.n_PersonID1","TeamMemberList.n_PersonID2","TeamMemberList.n_PersonID3","TeamMemberList.n_PersonID4","TeamMemberList.c_Person1","TeamMemberList.c_Person2","TeamMemberList.c_Person3","TeamMemberList.c_Person4","TeamMemberList.c_PersonFirstName1","TeamMemberList.c_PersonFirstName2","TeamMemberList.c_PersonFirstName3","TeamMemberList.c_PersonFirstName4","TeamMemberList.c_PersonLastName1","TeamMemberList.c_PersonLastName2","TeamMemberList.c_PersonLastName3","TeamMemberList.c_PersonLastName4","TeamMemberList.c_PersonShort1","TeamMemberList.c_PersonShort2","TeamMemberList.c_PersonShort3","TeamMemberList.c_PersonShort4","TeamMemberList.c_Bib1","TeamMemberList.c_Bib2","TeamMemberList.c_Bib3","TeamMemberList.c_Bib4","TeamMemberList.n_Position1.1","TeamMemberList.n_Position2.1","TeamMemberList.n_Position3.1","TeamMemberList.n_Position4.1","TeamMemberList.n_PersonID1.1","TeamMemberList.n_PersonID2.1","TeamMemberList.n_PersonID3.1","TeamMemberList.n_PersonID4.1","TeamMemberList.c_Person1.1","TeamMemberList.c_Person2.1","TeamMemberList.c_Person3.1","TeamMemberList.c_Person4.1","TeamMemberList.c_PersonFirstName1.1","TeamMemberList.c_PersonFirstName2.1","TeamMemberList.c_PersonFirstName3.1","TeamMemberList.c_PersonFirstName4.1","TeamMemberList.c_PersonLastName1.1","TeamMemberList.c_PersonLastName2.1","TeamMemberList.c_PersonLastName3.1","TeamMemberList.c_PersonLastName4.1","TeamMemberList.c_PersonShort1.1","TeamMemberList.c_PersonShort2.1","TeamMemberList.c_PersonShort3.1","TeamMemberList.c_PersonShort4.1","TeamMemberList.c_Bib1.1","TeamMemberList.c_Bib2.1","TeamMemberList.c_Bib3.1","TeamMemberList.c_Bib4.1"
"4","4","383","939","Norway","United States","NOR","USA","Norway","United States","4","6","1","2","153","5","2221","2209","Norway","United States","NOR","USA","1","2","1","2","1","2","2","2","2","2","2000","2000","w",NA,"25.46","24.72","24.02","24.96","24.32","24.84","DNF","24.04","48.34","48.76","TRUE","TRUE","FALSE","FALSE","1","2","3","4","1087660","1342956","1479807","1479794","TVIBERG Maria Therese","SOLHEIM Fabian Wilkens","STJERNESUND Thea Louise","HAUGAN Timon","Maria Therese","Fabian Wilkens","Thea Louise","Timon","Tviberg","Solheim","Stjernesund","Haugan","TVIBERG MT","SOLHEIM FW","STJERNESUND TL","HAUGAN T","43 - Run 1","46 - Run 2","42 - Run 3","45 - Run 4","1","2","3","4","1119649","720759","920906","1475275","MOLTZAN Paula","FORD Tommy","SHIFFRIN Mikaela","RADAMUS River","Paula","Tommy","Mikaela","River","Moltzan","Ford","Shiffrin","Radamus","MOLTZAN P","FORD T","SHIFFRIN M","RADAMUS R","62 - Run 1","65 - Run 2","63 - Run 3","66 - Run 4"
"4","4","2181","358","Austria","Germany","AUT","GER","Austria","Germany","1","7","1","2","151","2","2219","2206","Austria","Germany","AUT","GER","1","2","1","2","1","2","2","2","2","2","2000","2000","W",NA,"25.11","24.59","23.72","24.33","24.55","DNF","25.17","23.87","48.27","48.46","TRUE","TRUE","FALSE","FALSE","1","2","3","4","1342989","1108741","1351921","1020876","TRUPPE Katharina","BRENNSTEINER Stefan","LIENSBERGER Katharina","STROLZ Johannes","Katharina","Stefan","Katharina","Johannes","Truppe","Brennsteiner","Liensberger","Strolz","TRUPPE K","BRENNSTEINER S","LIENSBERGER K","STROLZ J","13 - Run 1","15 - Run 2","12 - Run 3","17 - Run 4","1","2","3","4","718808","1742615","2177175","1020826","DUERR Lena","RAUCHFUSS Julian","AICHER Emma","SCHMID Alexander","Lena","Julian","Emma","Alexander","Dürr","Rauchfuss","Aicher","Schmid","DUERR L","RAUCHFUSS J","AICHER E","SCHMID A","72 - Run 1","75 - Run 2","71 - Run 3","76 - Run 4"
