"sport_id","match_id","event_name"
103,1969390,"Men's 500m"
103,1969392,"Men's 1000m"
103,1969394,"Men's 1500m"
103,1969396,"Men's 5000m"
103,1969398,"Men's 10,000m"
103,1969400,"Men's Mass Start"
103,1969402,"Men's Team Pursuit"
103,1969391,"Women's 500m"
103,1969393,"Women's 1000m"
103,1969395,"Women's 1500m"
103,1969397,"Women's 3000m"
103,1969399,"Women's 5000m"
103,1969401,"Women's Mass Start"
103,1969403,"Women's Team Pursuit"
