"n_ParticipantType","n_ParticipantID","c_Participant","c_ParticipantShort","c_ParticipantFirstName","c_ParticipantLastName","c_Bib","n_StartOrder","NOC.n_ID","NOC.n_GeoID","NOC.c_Name","NOC.c_Short","n_Rank","n_RankSort","c_Rank","c_Result","c_ResultAbs","n_TimeAbs","n_TimeRel","b_Completed","b_Upcoming","n_BDF_StartTime","c_BDF_StartTime","n_BDF_VideoSessionID","c_ClientStreamURL","c_ODF_IRM"
1, 603448,"FEUZ Beat","FEUZ B","Beat","Feuz","13",13, 149, 2213,Switzerland,SUI, 1, 1,"1","1:42.69","1:42.69",102690,    0,TRUE,FALSE,1518048013,"456724:42:55",11,"https://stream.nbcolympics.com/alpine-skiing-downhill-mens",NA
1, 409997,"CLAREY Johan","CLAREY J","Johan","Clarey","19",19, 144, 2202,France,FRA, 2, 2,"2","+0.10","1:42.79",102790,  100,TRUE,FALSE,1518048019,"456724:57:10",11,"https://stream.nbcolympics.com/alpine-skiing-downhill-mens",NA
1, 720723,"MAYER Matthias","MAYER M","Matthias","Mayer","9", 9, 151, 2219,Austria,AUT, 3, 3,"3","+0.16","1:42.85",102850,  160,TRUE,FALSE,1518048009,"456724:32:13",11,"https://stream.nbcolympics.com/alpine-skiing-downhill-mens",NA
1,1367386,"CRAWFORD James","CRAWFORD J","James","Crawford","12",12, 159, 2231,Canada,CAN, 4, 4,"4","+0.23","1:42.92",102920,  230,TRUE,FALSE,1518048012,"456724:40:42",11,"https://stream.nbcolympics.com/alpine-skiing-downhill-mens",NA
1,1020824,"KILDE Aleksander Aamodt","KILDE AA","Aleksander Aamodt","Kilde","11",11, 153, 2221,Norway,NOR, 5, 5,"5","+0.51","1:43.20",103200,  510,TRUE,FALSE,1518048011,"456724:38:27",11,"https://stream.nbcolympics.com/alpine-skiing-downhill-mens",NA
1, 720760,"PARIS Dominik","PARIS D","Dominik","Paris","15",15,   6, 2210,Italy,ITA, 6, 6,"6","+0.52","1:43.21",103210,  520,TRUE,FALSE,1518048015,"456724:47:28",11,"https://stream.nbcolympics.com/alpine-skiing-downhill-mens",NA
1,1351962,"ODERMATT Marco","ODERMATT M","Marco","Odermatt","17",17, 149, 2213,Switzerland,SUI, 7, 7,"7","+0.71","1:43.40",103400,  710,TRUE,FALSE,1518048017,"456728:47:04",11,"https://stream.nbcolympics.com/alpine-skiing-downhill-mens",NA
1, 836079,"KRIECHMAYR Vincent","KRIECHMAYR V","Vincent","Kriechmayr","1", 1, 151, 2219,Austria,AUT, 8, 8,"8","+0.76","1:43.45",103450,  760,TRUE,FALSE,1518048001,"456723:59:59",11,"https://stream.nbcolympics.com/alpine-skiing-downhill-mens",NA
1, 764585,"FRANZ Max","FRANZ M","Max","Franz","20",20, 151, 2219,Austria,AUT, 9, 9,"9","+0.83","1:43.52",103520,  830,TRUE,FALSE,1518048020,"456724:59:28",11,"https://stream.nbcolympics.com/alpine-skiing-downhill-mens",NA
1, 720726,"KLINE Bostjan","KLINE B","Boštjan","Kline","23",23,  30, 2783,Slovenia,SLO,10,10,"10","+1.06","1:43.75",103750, 1060,TRUE,FALSE,1518048023,"456725:12:13",11,"https://stream.nbcolympics.com/alpine-skiing-downhill-mens",NA
1, 836086,"MUZATON Maxence","MUZATON M","Maxence","Muzaton","25",25, 144, 2202,France,FRA,11,11,"11","+1.13","1:43.82",103820, 1130,TRUE,FALSE,1518048025,"456725:16:30",11,"https://stream.nbcolympics.com/alpine-skiing-downhill-mens",NA
1,1020822,"SEJERSTED Adrian Smiseth","SEJERSTED AS","Adrian Smiseth","Sejersted","22",22, 153, 2221,Norway,NOR,11,12,"11","+1.13","1:43.82",103820, 1130,TRUE,FALSE,1518048022,"456725:08:29",11,"https://stream.nbcolympics.com/alpine-skiing-downhill-mens",NA
1, 550143,"BAUMANN Romed","BAUMANN R","Romed","Baumann","14",14,   2, 2206,Germany,GER,13,13,"13","+1.15","1:43.84",103840, 1150,TRUE,FALSE,1518048014,"456724:45:12",11,"https://stream.nbcolympics.com/alpine-skiing-downhill-mens",NA
1, 991637,"COCHRAN-SIEGLE Ryan","COCHRAN-SIEGLE R","Ryan","Cochran-Siegle","16",16,   5, 2209,United States,USA,14,14,"14","+1.22","1:43.91",103910, 1220,TRUE,FALSE,1518048016,"456724:50:29",11,"https://stream.nbcolympics.com/alpine-skiing-downhill-mens",NA
1, 716911,"MARSAGLIA Matteo","MARSAGLIA M","Matteo","Marsaglia","8", 8,   6, 2210,Italy,ITA,15,15,"15","+1.37","1:44.06",104060, 1370,TRUE,FALSE,1518048008,"456724:29:59",11,"https://stream.nbcolympics.com/alpine-skiing-downhill-mens",NA
1,1195378,"HINTERMANN Niels","HINTERMANN N","Niels","Hintermann","7", 7, 149, 2213,Switzerland,SUI,16,16,"16","+1.39","1:44.08",104080, 1390,TRUE,FALSE,1518048007,"456724:27:42",11,"https://stream.nbcolympics.com/alpine-skiing-downhill-mens",NA
1,1635589,"ETXEZARRETA Adur","ETXEZARRETA A","Adur","Etxezarreta","32",32, 145, 2203,Spain,ESP,17,17,"17","+1.43","1:44.12",104120, 1430,TRUE,FALSE,1518048032,"456725:30:29",11,"https://stream.nbcolympics.com/alpine-skiing-downhill-mens",NA
1, 720710,"SANDER Andreas","SANDER A","Andreas","Sander","6", 6,   2, 2206,Germany,GER,17,18,"17","+1.43","1:44.12",104120, 1430,TRUE,FALSE,1518048006,"456724:25:26",11,"https://stream.nbcolympics.com/alpine-skiing-downhill-mens",NA
1,1020827,"BENNETT Bryce","BENNETT B","Bryce","Bennett","3", 3,   5, 2209,United States,USA,19,19,"19","+1.56","1:44.25",104250, 1560,TRUE,FALSE,1518048003,"456724:18:45",11,"https://stream.nbcolympics.com/alpine-skiing-downhill-mens",NA
1, 720707,"GANONG Travis","GANONG T","Travis","Ganong","18",18,   5, 2209,United States,USA,20,20,"20","+1.70","1:44.39",104390, 1700,TRUE,FALSE,1518048018,"456724:54:55",11,"https://stream.nbcolympics.com/alpine-skiing-downhill-mens",NA
1,1761976,"HEMETSBERGER Daniel","HEMETSBERGER D","Daniel","Hemetsberger","5", 5, 151, 2219,Austria,AUT,21,21,"21","+1.90","1:44.59",104590, 1900,TRUE,FALSE,1518048005,"456724:23:13",11,"https://stream.nbcolympics.com/alpine-skiing-downhill-mens",NA
1,1367372,"SEGER Brodie","SEGER B","Brodie","Seger","29",29, 159, 2231,Canada,CAN,22,22,"22","+1.99","1:44.68",104680, 1990,TRUE,FALSE,1518048029,"456725:24:30",11,"https://stream.nbcolympics.com/alpine-skiing-downhill-mens",NA
