"n_ParticipantType","n_ParticipantID","c_Participant","c_ParticipantShort","c_ParticipantFirstName","c_ParticipantLastName","c_Bib","n_StartOrder","NOC.n_ID","NOC.n_GeoID","NOC.c_Name","NOC.c_Short","n_Rank","n_RankSort","c_Rank","c_Result","c_ResultAbs","n_TimeAbs","n_TimeRel","b_Completed","b_Upcoming","n_BDF_StartTime","c_BDF_StartTime","n_BDF_VideoSessionID","c_ClientStreamURL","c_ODF_IRM"
1,1198642,"SCHEYER Christine","SCHEYER C","Christine","Scheyer","10",10,  151, 2219,Austria,AUT, 1, 1,"1","1:32.42","1:32.42", 92420,   0,TRUE,FALSE,1518048010,"456962:50:09",17,"https://stream.nbcolympics.com/alpine-skiing-combined-womens-downhill",NA
1, 915831,"LEDECKA Ester","LEDECKA E","Ester","Ledecká","5", 5,   17, 2240,Czech Republic,CZE, 2, 2,"2","+0.01","1:32.43", 92430,  10,TRUE,FALSE,1518048005,"456962:38:57",17,"https://stream.nbcolympics.com/alpine-skiing-combined-womens-downhill",NA
1, 769612,"SIEBENHOFER Ramona","SIEBENHOFER R","Ramona","Siebenhofer","11",11,  151, 2219,Austria,AUT, 3, 3,"3","+0.14","1:32.56", 92560, 140,TRUE,FALSE,1518048011,"456962:54:07",17,"https://stream.nbcolympics.com/alpine-skiing-combined-womens-downhill",NA
1,1021111,"MIRADOLI Romane","MIRADOLI R","Romane","Miradoli","12",12,  144, 2202,France,FRA, 4, 4,"4","+0.53","1:32.95", 92950, 530,TRUE,FALSE,1518048012,"456962:56:23",17,"https://stream.nbcolympics.com/alpine-skiing-combined-womens-downhill",NA
1, 920906,"SHIFFRIN Mikaela","SHIFFRIN M","Mikaela","Shiffrin","9", 9,    5, 2209,United States,USA, 5, 5,"5","+0.56","1:32.98", 92980, 560,TRUE,FALSE,1518048009,"456962:47:52",17,"https://stream.nbcolympics.com/alpine-skiing-combined-womens-downhill",NA
1, 603440,"FERK SAIONI Marusa","FERK SAIONI M","Maruša","Ferk Saioni","19",19,   30, 2783,Slovenia,SLO, 6, 6,"6","+0.65","1:33.07", 93070, 650,TRUE,FALSE,1518048019,"456963:13:27",17,"https://stream.nbcolympics.com/alpine-skiing-combined-womens-downhill",NA
1,1475282,"CASHMAN Keely","CASHMAN K","Keely","Cashman","8", 8,    5, 2209,United States,USA, 7, 7,"7","+0.67","1:33.09", 93090, 670,TRUE,FALSE,1518048008,"456962:45:37",17,"https://stream.nbcolympics.com/alpine-skiing-combined-womens-downhill",NA
1, 711462,"BRIGNONE Federica","BRIGNONE F","Federica","Brignone","16",16,    6, 2210,Italy,ITA, 8, 8,"8","+0.69","1:33.11", 93110, 690,TRUE,FALSE,1518048016,"456963:11:24",17,"https://stream.nbcolympics.com/alpine-skiing-combined-womens-downhill",NA
1,1245596,"DELAGO Nicol","DELAGO N","Nicol","Delago","6", 6,    6, 2210,Italy,ITA, 9, 9,"9","+0.70","1:33.12", 93120, 700,TRUE,FALSE,1518048006,"456962:41:11",17,"https://stream.nbcolympics.com/alpine-skiing-combined-womens-downhill",NA
1, 836674,"NUFER Priska","NUFER P","Priska","Nufer","18",18,  149, 2213,Switzerland,SUI,10,10,"10","+0.73","1:33.15", 93150, 730,TRUE,FALSE,1518048018,"456963:11:08",17,"https://stream.nbcolympics.com/alpine-skiing-combined-womens-downhill",NA
1, 836102,"HOLDENER Wendy","HOLDENER W","Wendy","Holdener","20",20,  149, 2213,Switzerland,SUI,11,11,"11","+0.99","1:33.41", 93410, 990,TRUE,FALSE,1518048020,"456963:15:39",17,"https://stream.nbcolympics.com/alpine-skiing-combined-womens-downhill",NA
1,1128102,"GISIN Michelle","GISIN M","Michelle","Gisin","7", 7,  149, 2213,Switzerland,SUI,12,12,"12","+1.00","1:33.42", 93420,1000,TRUE,FALSE,1518048007,"456962:43:25",17,"https://stream.nbcolympics.com/alpine-skiing-combined-womens-downhill",NA
1,1147303,"BASSINO Marta","BASSINO M","Marta","Bassino","15",15,    6, 2210,Italy,ITA,13,13,"13","+1.03","1:33.45", 93450,1030,TRUE,FALSE,1518048015,"456963:04:28",17,"https://stream.nbcolympics.com/alpine-skiing-combined-womens-downhill",NA
