"n_ParticipantType","n_ParticipantID","c_Participant","c_ParticipantShort","c_ParticipantFirstName","c_ParticipantLastName","c_Bib","n_StartOrder","NOC.n_ID","NOC.n_GeoID","NOC.c_Name","NOC.c_Short","n_Rank","n_RankSort","c_Rank","c_Result","c_ResultAbs","n_TimeAbs","n_TimeRel","b_Completed","b_Upcoming","n_BDF_StartTime","c_BDF_StartTime","n_BDF_VideoSessionID","c_ClientStreamURL","c_ODF_IRM"
1,1128102,"GISIN Michelle","GISIN M","Michelle","Gisin","7",12,  149, 2213,Switzerland,SUI, 1, 1,"1","52.25","52.25",52250,    0,TRUE,FALSE,1518048012,"456967:03:13",18,"https://stream.nbcolympics.com/alpine-skiing-combined-womens-slalom",NA
1,1367414,"HUBER Katharina","HUBER K","Katharina","Huber","3",19,  151, 2219,Austria,AUT, 2, 2,"2","+0.87","53.12",53120,  870,TRUE,FALSE,1518048019,"456966:32:24",18,"https://stream.nbcolympics.com/alpine-skiing-combined-womens-slalom",NA
1, 836102,"HOLDENER Wendy","HOLDENER W","Wendy","Holdener","20",11,  149, 2213,Switzerland,SUI, 3, 3,"3","+1.06","53.31",53310, 1060,TRUE,FALSE,1518048011,"456966:23:49",18,"https://stream.nbcolympics.com/alpine-skiing-combined-womens-slalom",NA
1, 711462,"BRIGNONE Federica","BRIGNONE F","Federica","Brignone","16", 8,    6, 2210,Italy,ITA, 4, 4,"4","+2.16","54.41",54410, 2160,TRUE,FALSE,1518048008,"456966:11:20",18,"https://stream.nbcolympics.com/alpine-skiing-combined-womens-slalom",NA
1, 915831,"LEDECKA Ester","LEDECKA E","Ester","Ledecká","5", 2,   17, 2240,Czech Republic,CZE, 5, 5,"5","+3.64","55.89",55890, 3640,TRUE,FALSE,1518048002,"456966:01:39",18,"https://stream.nbcolympics.com/alpine-skiing-combined-womens-slalom",NA
1,1147288,"GAUCHE Laura","GAUCHE L","Laura","Gauché","17",17,  144, 2202,France,FRA, 6, 6,"6","+3.71","55.96",55960, 3710,TRUE,FALSE,1518048017,"456966:29:16",18,"https://stream.nbcolympics.com/alpine-skiing-combined-womens-slalom",NA
1,1198642,"SCHEYER Christine","SCHEYER C","Christine","Scheyer","10", 1,  151, 2219,Austria,AUT, 7, 7,"7","+4.58","56.83",56830, 4580,TRUE,FALSE,1518048001,"456966:00:04",18,"https://stream.nbcolympics.com/alpine-skiing-combined-womens-slalom",NA
1,1367442,"MANGAN Patricia","MANGAN P","Patricia","Mangan","25",20,    5, 2209,United States,USA, 8, 8,"8","+4.80","57.05",57050, 4800,TRUE,FALSE,1518048020,"456966:33:45",18,"https://stream.nbcolympics.com/alpine-skiing-combined-womens-slalom",NA
1, 603440,"FERK SAIONI Marusa","FERK SAIONI M","Maruša","Ferk Saioni","19", 6,   30, 2783,Slovenia,SLO, 8, 9,"8","+4.80","57.05",57050, 4800,TRUE,FALSE,1518048006,"456966:08:08",18,"https://stream.nbcolympics.com/alpine-skiing-combined-womens-slalom",NA
1, 769612,"SIEBENHOFER Ramona","SIEBENHOFER R","Ramona","Siebenhofer","11", 3,  151, 2219,Austria,AUT,10,10,"10","+4.88","57.13",57130, 4880,TRUE,FALSE,1518048003,"456966:03:10",18,"https://stream.nbcolympics.com/alpine-skiing-combined-womens-slalom",NA
1,1479801,"PLESHKOVA Julia","PLESHKOVA J","Julia","Pleshkova","22",14,23062,73035,ROC,ROC,11,11,"11","+4.91","57.16",57160, 4910,TRUE,FALSE,1518048014,"456966:25:01",18,"https://stream.nbcolympics.com/alpine-skiing-combined-womens-slalom",NA
