"n_ParticipantType","n_ParticipantID","c_Participant","c_ParticipantShort","c_ParticipantFirstName","c_ParticipantLastName","c_Bib","n_StartOrder","NOC.n_ID","NOC.n_GeoID","NOC.c_Name","NOC.c_Short","n_Rank","n_RankSort","c_Rank","c_Result","c_ResultAbs","n_TimeAbs","n_TimeRel","b_Completed","b_Upcoming","n_BDF_StartTime","c_BDF_StartTime","n_BDF_VideoSessionID","c_ClientStreamURL","c_ODF_IRM"
1,1020824,"KILDE Aleksander Aamodt","KILDE AA","Aleksander Aamodt","Kilde","10",10, 153, 2221,Norway,NOR, 1, 1,"1","1:43.12","1:43.12",103120,    0,TRUE,FALSE,1518048010,"456794:52:27",9,"https://stream.nbcolympics.com/alpine-skiing-combined-mens-downhill",NA
1,1367386,"CRAWFORD James","CRAWFORD J","James","Crawford","11",11, 159, 2231,Canada,CAN, 2, 2,"2","+0.02","1:43.14",103140,   20,TRUE,FALSE,1518048011,"456794:56:29",9,"https://stream.nbcolympics.com/alpine-skiing-combined-mens-downhill",NA
1,1367372,"SEGER Brodie","SEGER B","Brodie","Seger","21",21, 159, 2231,Canada,CAN, 3, 3,"3","+0.42","1:43.54",103540,  420,TRUE,FALSE,1518048021,"456795:36:12",9,"https://stream.nbcolympics.com/alpine-skiing-combined-mens-downhill",NA
1,1020876,"STROLZ Johannes","STROLZ J","Johannes","Strolz","6", 6, 151, 2219,Austria,AUT, 4, 4,"4","+0.75","1:43.87",103870,  750,TRUE,FALSE,1518048006,"456794:46:36",9,"https://stream.nbcolympics.com/alpine-skiing-combined-mens-downhill",NA
1,1023183,"SCHWARZ Marco","SCHWARZ M","Marco","Schwarz","5", 5, 151, 2219,Austria,AUT, 5, 5,"5","+0.95","1:44.07",104070,  950,TRUE,FALSE,1518048005,"456794:41:11",9,"https://stream.nbcolympics.com/alpine-skiing-combined-mens-downhill",NA
1, 832201,"MURISIER Justin","MURISIER J","Justin","Murisier","9", 9, 149, 2213,Switzerland,SUI, 6, 6,"6","+1.02","1:44.14",104140, 1020,TRUE,FALSE,1518048009,"456794:50:12",9,"https://stream.nbcolympics.com/alpine-skiing-combined-mens-downhill",NA
1, 649224,"INNERHOFER Christof","INNERHOFER C","Christof","Innerhofer","12",12,   6, 2210,Italy,ITA, 7, 7,"7","+1.07","1:44.19",104190, 1070,TRUE,FALSE,1518048012,"456795:04:12",9,"https://stream.nbcolympics.com/alpine-skiing-combined-mens-downhill",NA
1,1147279,"THOMPSON Broderick","THOMPSON B","Broderick","Thompson","7", 7, 159, 2231,Canada,CAN, 8, 8,"8","+1.27","1:44.39",104390, 1270,TRUE,FALSE,1518048007,"456794:49:28",9,"https://stream.nbcolympics.com/alpine-skiing-combined-mens-downhill",NA
1,1351928,"ZABYSTRAN Jan","ZABYSTRAN J","Jan","Zabystran","3", 3,  17, 2240,Czech Republic,CZE, 9, 9,"9","+1.42","1:44.54",104540, 1420,TRUE,FALSE,1518048003,"456794:34:28",9,"https://stream.nbcolympics.com/alpine-skiing-combined-mens-downhill",NA
1,1352175,"HAASER Raphael","HAASER R","Raphael","Haaser","18",18, 151, 2219,Austria,AUT,10,10,"10","+1.51","1:44.63",104630, 1510,TRUE,FALSE,1518048018,"456795:14:25",9,"https://stream.nbcolympics.com/alpine-skiing-combined-mens-downhill",NA
1, 764388,"PINTURAULT Alexis","PINTURAULT A","Alexis","Pinturault","13",13, 144, 2202,France,FRA,11,11,"11","+1.92","1:45.04",105040, 1920,TRUE,FALSE,1518048013,"456795:00:56",9,"https://stream.nbcolympics.com/alpine-skiing-combined-mens-downhill",NA
1,1351730,"SZOLLOS Barnabas","SZOLLOS B","Barnabas","Szollos","1", 1,  29, 2777,Israel,ISR,11,12,"11","+1.92","1:45.04",105040, 1920,TRUE,FALSE,1518048001,"456794:29:59",9,"https://stream.nbcolympics.com/alpine-skiing-combined-mens-downhill",NA
