"n_ParticipantType","n_ParticipantID","c_Participant","c_ParticipantShort","c_ParticipantLastName","c_Bib","n_StartOrder","NOC.n_ID","NOC.n_GeoID","NOC.c_Name","NOC.c_Short","n_Rank","n_RankSort","c_Rank","c_Result","c_ResultAbs","n_PointsAbs","b_Completed","b_Upcoming","n_BDF_VideoSessionID","n_Position1","n_Position2","n_Position3","n_Position4","n_PersonID1","n_PersonID2","n_PersonID3","n_PersonID4","c_Person1","c_Person2","c_Person3","c_Person4","c_PersonFirstName1","c_PersonFirstName2","c_PersonFirstName3","c_PersonFirstName4","c_PersonLastName1","c_PersonLastName2","c_PersonLastName3","c_PersonLastName4","c_PersonShort1","c_PersonShort2","c_PersonShort3","c_PersonShort4","c_Bib1","c_Bib2","c_Bib3","c_Bib4","n_BDF_VideoSessionID1","n_BDF_VideoSessionID2","n_BDF_VideoSessionID3","n_BDF_VideoSessionID4"
4,  2224,"Austria","AUT","Austria","10",7,  151, 2219,Austria,AUT,1,1,"1","484.3","484.3",484300,TRUE,FALSE,1,"1","2","3","4","1004005","1205271","1555396","335566","KRAFT Stefan","HUBER Daniel","HOERL Jan","FETTNER Manuel","Stefan","Daniel","Jan","Manuel","Kraft","Huber","Hörl","Fettner","KRAFT S","HUBER D","HOERL J","FETTNER M","10-1","10-2","10-3","10-4","1","1","1","1"
4,  2830,"Germany","GER","Germany","11",8,    2, 2206,Germany,GER,2,2,"2","476.4","476.4",476400,TRUE,FALSE,1,"1","2","3","4","1351783","837288","1002160","1119517","SCHMID Constantin","LEYHE Stephan","EISENBICHLER Markus","GEIGER Karl","Constantin","Stephan","Markus","Karl","Schmid","Leyhe","Eisenbichler","Geiger","SCHMID C","LEYHE S","EISENBICHLER M","GEIGER K","11-1","11-2","11-3","11-4","1","1","1","1"
4,  2309,"Slovenia","SLO","Slovenia","8",5,   30, 2783,Slovenia,SLO,3,3,"3","467.0","467.0",467000,TRUE,FALSE,1,"1","2","3","4","1555503","1128732","1555823","765887","KOS Lovro","PREVC Cene","ZAJC Timi","PREVC Peter","Lovro","Cene","Timi","Peter","Kos","Prevc","Zajc","Prevc","KOS L","PREVC C","ZAJC T","PREVC P","8-1","8-2","8-3","8-4","1","1","1","1"
4,  3016,"Norway","NOR","Norway","9",6,  153, 2221,Norway,NOR,4,4,"4","465.6","465.6",465600,TRUE,FALSE,1,"1","2","3","4","1357034","1135365","766277","1352160","GRANERUD Halvor Egner","TANDE Daniel-Andre","JOHANSSON Robert","LINDVIK Marius","Halvor Egner","Daniel-André","Robert","Marius","Granerud","Tande","Johansson","Lindvik","GRANERUD HE","TANDE DA","JOHANSSON R","LINDVIK M","9-1","9-2","9-3","9-4","1","1","1","1"
4,  2797,"Poland","POL","Poland","6",3,  150, 2214,Poland,POL,5,5,"5","445.6","445.6",445600,TRUE,FALSE,1,"1","2","3","4","603430","1354502","763030","486641","ZYLA Piotr","WASEK Pawel","KUBACKI Dawid","STOCH Kamil","Piotr","Pawel","Dawid","Kamil","Zyla","Wasek","Kubacki","Stoch","ZYLA P","WASEK P","KUBACKI D","STOCH K","6-1","6-2","6-3","6-4","1","1","1","1"
4,  1034,"Japan","JPN","Japan","7",4,   18, 2241,Japan,JPN,6,6,"6","444.3","444.3",444300,TRUE,FALSE,1,"1","2","3","4","1020435","1357036","762491","1240224","SATO Yukiya","NAKAMURA Naoki","KOBAYASHI Junshiro","KOBAYASHI Ryoyu","Yukiya","Naoki","Junshiro","Ryoyu","Sato","Nakamura","Kobayashi","Kobayashi","SATO Y","NAKAMURA N","KOBAYASHI J","KOBAYASHI R","7-1","7-2","7-3","7-4","1","1","1","1"
4,  2736,"Switzerland","SUI","Switzerland","5",2,  149, 2213,Switzerland,SUI,7,7,"7","424.5","424.5",424500,TRUE,FALSE,1,"1","2","3","4","1555302","721201","309712","1023270","PETER Dominik","DESCHWANDEN Gregor","AMMANN Simon","PEIER Killian","Dominik","Gregor","Simon","Killian","Peter","Deschwanden","Ammann","Peier","PETER D","DESCHWANDEN G","AMMANN S","PEIER K","5-1","5-2","5-3","5-4","1","1","1","1"
4,475663,"ROC","ROC","ROC","4",1,23062,73035,ROC,ROC,8,8,"8","395.9","395.9",395900,TRUE,FALSE,1,"1","2","3","4","1948109","832858","1135375","1018160","SADREEV Danil","TROFIMOV Roman","NAZAROV Mikhail","KLIMOV Evgeniy","Danil","Roman","Mikhail","Evgeniy","Sadreev","Trofimov","Nazarov","Klimov","SADREEV D","TROFIMOV R","NAZAROV M","KLIMOV E","4-1","4-2","4-3","4-4","1","1","1","1"
