"n_ParticipantType","n_ParticipantID","c_Participant","c_ParticipantShort","c_ParticipantFirstName","c_ParticipantLastName","c_Bib","n_StartOrder","NOC.n_ID","NOC.n_GeoID","NOC.c_Name","NOC.c_Short","n_Rank","n_RankSort","c_Rank","c_Result","c_ResultAbs","n_PointsAbs","c_ODF_QualificationMark","c_ResultInfo_1","b_Completed","b_Upcoming","n_BDF_StartTime","c_BDF_StartTime","n_BDF_VideoSessionID","c_ClientStreamURL"
1,1240224,"KOBAYASHI Ryoyu","KOBAYASHI R","Ryoyu","Kobayashi","49",49,   18, 2241,Japan,JPN, 1, 1,"1","145.4","145.4",145400,"Q","104.5",TRUE,FALSE,1518048049,"456707:48:06",212,"https://stream.nbcolympics.com/ski-jumping-mens-normal-hill-final"
1, 765887,"PREVC Peter","PREVC P","Peter","Prevc","33",33,   30, 2783,Slovenia,SLO, 2, 2,"2","139.2","139.2",139200,"Q","103.0",TRUE,FALSE,1518048033,"456707:52:14",212,"https://stream.nbcolympics.com/ski-jumping-mens-normal-hill-final"
1, 486641,"STOCH Kamil","STOCH K","Kamil","Stoch","32",32,  150, 2214,Poland,POL, 3, 3,"3","136.3","136.3",136300,"Q","101.5",TRUE,FALSE,1518048032,"456707:30:18",212,"https://stream.nbcolympics.com/ski-jumping-mens-normal-hill-final"
1,1018160,"KLIMOV Evgeniy","KLIMOV E","Evgeniy","Klimov","27",27,23062,73035,ROC,ROC, 4, 4,"4","135.0","135.0",135000,"Q","104.0",TRUE,FALSE,1518048027,"456707:28:25",212,"https://stream.nbcolympics.com/ski-jumping-mens-normal-hill-final"
1, 335566,"FETTNER Manuel","FETTNER M","Manuel","Fettner","34",34,  151, 2219,Austria,AUT, 5, 5,"5","134.5","134.5",134500,"Q","102.5",TRUE,FALSE,1518048034,"456707:32:19",212,"https://stream.nbcolympics.com/ski-jumping-mens-normal-hill-final"
1,1351783,"SCHMID Constantin","SCHMID C","Constantin","Schmid","35",35,    2, 2206,Germany,GER, 6, 6,"6","134.4","134.4",134400,"Q","102.0",TRUE,FALSE,1518048035,"456707:33:12",212,"https://stream.nbcolympics.com/ski-jumping-mens-normal-hill-final"
1,1948109,"SADREEV Danil","SADREEV D","Danil","Sadreev","26",26,23062,73035,ROC,ROC, 7, 7,"7","134.1","134.1",134100,"Q","107.5",TRUE,FALSE,1518048026,"456707:22:56",212,"https://stream.nbcolympics.com/ski-jumping-mens-normal-hill-final"
1, 763030,"KUBACKI Dawid","KUBACKI D","Dawid","Kubacki","25",25,  150, 2214,Poland,POL, 8, 8,"8","133.1","133.1",133100,"Q","104.0",TRUE,FALSE,1518048025,"456707:22:01",212,"https://stream.nbcolympics.com/ski-jumping-mens-normal-hill-final"
1,1019328,"LANISEK Anze","LANISEK A","Anže","Lanišek","46",46,   30, 2783,Slovenia,SLO, 9, 9,"9","130.6","130.6",130600,"Q","99.0",TRUE,FALSE,1518048046,"456707:44:55",212,"https://stream.nbcolympics.com/ski-jumping-mens-normal-hill-final"
1, 409229,"AALTO Antti","AALTO A","Antti","Aalto","18",18,  161, 2237,Finland,FIN,10,10,"10","130.5","130.5",130500,"Q","101.5",TRUE,FALSE,1518048018,"456707:15:44",212,"https://stream.nbcolympics.com/ski-jumping-mens-normal-hill-final"
1, 650679,"KOUDELKA Roman","KOUDELKA R","Roman","Koudelka","14",14,   17, 2240,Czech Republic,CZE,11,11,"11","130.4","130.4",130400,"Q","102.0",TRUE,FALSE,1518048014,NA,212,"https://stream.nbcolympics.com/ski-jumping-mens-normal-hill-final"
1, 764058,"BOYD-CLOWES Mackenzie","BOYD-CLOWES M","Mackenzie","Boyd-Clowes","19",19,  159, 2231,Canada,CAN,12,12,"12","129.8","129.8",129800,"Q","100.5",TRUE,FALSE,1518048019,"456707:16:39",212,"https://stream.nbcolympics.com/ski-jumping-mens-normal-hill-final"
1, 837288,"LEYHE Stephan","LEYHE S","Stephan","Leyhe","36",36,    2, 2206,Germany,GER,13,13,"13","129.3","129.3",129300,"Q","97.5",TRUE,FALSE,1518048036,"456707:34:14",212,"https://stream.nbcolympics.com/ski-jumping-mens-normal-hill-final"
1,1004005,"KRAFT Stefan","KRAFT S","Stefan","Kraft","43",43,  151, 2219,Austria,AUT,14,14,"14","129.2","129.2",129200,"Q","98.0",TRUE,FALSE,1518048043,"456707:41:51",212,"https://stream.nbcolympics.com/ski-jumping-mens-normal-hill-final"
1,1555396,"HOERL Jan","HOERL J","Jan","Hörl","44",44,  151, 2219,Austria,AUT,15,15,"15","128.9","128.9",128900,"Q","98.0",TRUE,FALSE,1518048044,"456707:42:52",212,"https://stream.nbcolympics.com/ski-jumping-mens-normal-hill-final"
1, 766277,"JOHANSSON Robert","JOHANSSON R","Robert","Johansson","40",40,  153, 2221,Norway,NOR,16,16,"16","128.8","128.8",128800,"Q","97.0",TRUE,FALSE,1518048040,"456707:38:44",212,"https://stream.nbcolympics.com/ski-jumping-mens-normal-hill-final"
1,1352160,"LINDVIK Marius","LINDVIK M","Marius","Lindvik","47",47,  153, 2221,Norway,NOR,17,17,"17","128.4","128.4",128400,"Q","96.5",TRUE,FALSE,1518048047,"456707:45:58",212,"https://stream.nbcolympics.com/ski-jumping-mens-normal-hill-final"
1,1555823,"ZAJC Timi","ZAJC T","Timi","Zajc","39",39,   30, 2783,Slovenia,SLO,18,18,"18","128.2","128.2",128200,"Q","97.0",TRUE,FALSE,1518048039,"456707:37:37",212,"https://stream.nbcolympics.com/ski-jumping-mens-normal-hill-final"
1,1205271,"HUBER Daniel","HUBER D","Daniel","Huber","42",42,  151, 2219,Austria,AUT,19,19,"19","128.1","128.1",128100,"Q","96.0",TRUE,FALSE,1518048042,"456707:40:51",212,"https://stream.nbcolympics.com/ski-jumping-mens-normal-hill-final"
1, 721201,"DESCHWANDEN Gregor","DESCHWANDEN G","Gregor","Deschwanden","29",29,  149, 2213,Switzerland,SUI,20,20,"20","127.6","127.6",127600,"Q","99.5",TRUE,FALSE,1518048029,"456707:26:16",212,"https://stream.nbcolympics.com/ski-jumping-mens-normal-hill-final"
1,1119517,"GEIGER Karl","GEIGER K","Karl","Geiger","50",50,    2, 2206,Germany,GER,21,21,"21","127.5","127.5",127500,"Q","96.0",TRUE,FALSE,1518048050,"456707:49:14",212,"https://stream.nbcolympics.com/ski-jumping-mens-normal-hill-final"
1,1357034,"GRANERUD Halvor Egner","GRANERUD HE","Halvor Egner","Granerud","48",48,  153, 2221,Norway,NOR,22,22,"22","127.4","127.4",127400,"Q","97.5",TRUE,FALSE,1518048048,"456707:46:58",212,"https://stream.nbcolympics.com/ski-jumping-mens-normal-hill-final"
1, 579104,"HULA Stefan","HULA S","Stefan","Hula","13",13,  150, 2214,Poland,POL,23,23,"23","127.0","127.0",127000,"Q","103.0",TRUE,FALSE,1518048013,"456707:12:12",212,"https://stream.nbcolympics.com/ski-jumping-mens-normal-hill-final"
1, 760924,"ZOGRAFSKI Vladimir","ZOGRAFSKI V","Vladimir","Zografski","23",23,  148, 2211,Bulgaria,BUL,24,24,"24","126.7","126.7",126700,"Q","99.0",TRUE,FALSE,1518048023,"456707:20:11",212,"https://stream.nbcolympics.com/ski-jumping-mens-normal-hill-final"
1, 309712,"AMMANN Simon","AMMANN S","Simon","Ammann","24",24,  149, 2213,Switzerland,SUI,25,25,"25","123.7","123.7",123700,"Q","101.0",TRUE,FALSE,1518048024,"456707:21:03",212,"https://stream.nbcolympics.com/ski-jumping-mens-normal-hill-final"
1, 762491,"KOBAYASHI Junshiro","KOBAYASHI J","Junshiro","Kobayashi","28",28,   18, 2241,Japan,JPN,26,26,"26","123.0","123.0",123000,"Q","97.5",TRUE,FALSE,1518048028,"456707:25:23",212,"https://stream.nbcolympics.com/ski-jumping-mens-normal-hill-final"
1, 603430,"ZYLA Piotr","ZYLA P","Piotr","Zyla","31",31,  150, 2214,Poland,POL,27,27,"27","121.6","121.6",121600,"Q","95.0",TRUE,FALSE,1518048031,"456707:29:24",212,"https://stream.nbcolympics.com/ski-jumping-mens-normal-hill-final"
1,1555503,"KOS Lovro","KOS L","Lovro","Kos","37",37,   30, 2783,Slovenia,SLO,28,28,"28","120.9","120.9",120900,"Q","95.0",TRUE,FALSE,1518048037,"456707:35:40",212,"https://stream.nbcolympics.com/ski-jumping-mens-normal-hill-final"
1, 832858,"TROFIMOV Roman","TROFIMOV R","Roman","Trofimov","22",22,23062,73035,ROC,ROC,29,29,"29","120.8","120.8",120800,"Q","97.5",TRUE,FALSE,1518048022,"456707:19:19",212,"https://stream.nbcolympics.com/ski-jumping-mens-normal-hill-final"
1, 764059,"KOZISEK Cestmir","KOZISEK C","Cestmír","Kožíšek","6", 6,   17, 2240,Czech Republic,CZE,30,30,"30","119.3","119.3",119300,"Q","100.0",TRUE,FALSE,1518048006,"456707:04:28",212,"https://stream.nbcolympics.com/ski-jumping-mens-normal-hill-final"
1,1002160,"EISENBICHLER Markus","EISENBICHLER M","Markus","Eisenbichler","45",45,    2, 2206,Germany,GER,31,31,"31","118.4","118.4",118400,NA,"92.0",TRUE,FALSE,1518048045,"456707:43:53",212,"https://stream.nbcolympics.com/ski-jumping-mens-normal-hill-final"
1,1020435,"SATO Yukiya","SATO Y","Yukiya","Sato","38",38,   18, 2241,Japan,JPN,32,32,"32","118.1","118.1",118100,NA,"95.0",TRUE,FALSE,1518048038,"456707:36:37",212,"https://stream.nbcolympics.com/ski-jumping-mens-normal-hill-final"
1,1135375,"NAZAROV Mikhail","NAZAROV M","Mikhail","Nazarov","16",16,23062,73035,ROC,ROC,32,33,"32","118.1","118.1",118100,NA,"97.0",TRUE,FALSE,1518048016,"456707:14:02",212,"https://stream.nbcolympics.com/ski-jumping-mens-normal-hill-final"
1,1351781,"AIGRO Artti","AIGRO A","Artti","Aigro","20",20,    8, 2217,Estonia,EST,34,34,"34","116.7","116.7",116700,NA,"97.0",TRUE,FALSE,1518048020,"456707:17:30",212,"https://stream.nbcolympics.com/ski-jumping-mens-normal-hill-final"
1,1555302,"PETER Dominik","PETER D","Dominik","Peter","21",21,  149, 2213,Switzerland,SUI,35,35,"35","116.0","116.0",116000,NA,"95.5",TRUE,FALSE,1518048021,"456707:18:22",212,"https://stream.nbcolympics.com/ski-jumping-mens-normal-hill-final"
1,1345833,"IPCIOGLU Fatih Arda","IPCIOGLU FA","Fatih Arda","Ipcioglu","12",12,   33, 2786,Turkey,TUR,36,36,"36","115.0","115.0",115000,NA,"99.0",TRUE,FALSE,1518048012,"456707:09:49",212,"https://stream.nbcolympics.com/ski-jumping-mens-normal-hill-final"
1,1023270,"PEIER Killian","PEIER K","Killian","Peier","41",41,  149, 2213,Switzerland,SUI,37,37,"37","114.6","114.6",114600,NA,"90.5",TRUE,FALSE,1518048041,"456707:39:40",212,"https://stream.nbcolympics.com/ski-jumping-mens-normal-hill-final"
1,1357036,"NAKAMURA Naoki","NAKAMURA N","Naoki","Nakamura","30",30,   18, 2241,Japan,JPN,38,38,"38","114.5","114.5",114500,NA,"93.5",TRUE,FALSE,1518048030,"456707:27:08",212,"https://stream.nbcolympics.com/ski-jumping-mens-normal-hill-final"
1,1205286,"LARSON Casey","LARSON C","Casey","Larson","1", 1,    5, 2209,United States,USA,39,39,"39","113.2","113.2",113200,NA,"96.5",TRUE,FALSE,1518048001,"456707:00:07",212,"https://stream.nbcolympics.com/ski-jumping-mens-normal-hill-final"
1,1478518,"MALTSEV Kevin","MALTSEV K","Kevin","Maltsev","2", 2,    8, 2217,Estonia,EST,40,40,"40","112.5","112.5",112500,NA,"96.5",TRUE,FALSE,1518048002,"456707:00:59",212,"https://stream.nbcolympics.com/ski-jumping-mens-normal-hill-final"
1,1555356,"BRESADOLA Giovanni","BRESADOLA G","Giovanni","Bresadola","15",15,    6, 2210,Italy,ITA,41,41,"41","110.3","110.3",110300,NA,"93.5",TRUE,FALSE,1518048015,"456707:13:07",212,"https://stream.nbcolympics.com/ski-jumping-mens-normal-hill-final"
1,1357040,"TKACHENKO Sergey","TKACHENKO S","Sergey","Tkachenko","4", 4,  160, 2236,Kazakhstan,KAZ,41,42,"41","110.3","110.3",110300,NA,"95.0",TRUE,FALSE,1518048004,"456707:02:44",212,"https://stream.nbcolympics.com/ski-jumping-mens-normal-hill-final"
1,1205318,"BICKNER Kevin","BICKNER K","Kevin","Bickner","8", 8,    5, 2209,United States,USA,43,43,"43","108.1","108.1",108100,NA,"95.0",TRUE,FALSE,1518048008,"456707:06:11",212,"https://stream.nbcolympics.com/ski-jumping-mens-normal-hill-final"
1,1626710,"DEAN Decker","DEAN D","Decker","Dean","17",17,    5, 2209,United States,USA,44,44,"44","106.6","106.6",106600,NA,"90.0",TRUE,FALSE,1518048017,"456707:14:57",212,"https://stream.nbcolympics.com/ski-jumping-mens-normal-hill-final"
1,1240218,"SOUKUP Matthew","SOUKUP M","Matthew","Soukup","11",11,  159, 2231,Canada,CAN,45,45,"45","103.0","103.0",103000,NA,"92.0",TRUE,FALSE,1518048011,"456707:08:57",212,"https://stream.nbcolympics.com/ski-jumping-mens-normal-hill-final"
1,1555273,"VASSILYEV Danil","VASSILYEV D","Danil","Vassilyev","10",10,  160, 2236,Kazakhstan,KAZ,46,46,"46","101.0","101.0",101000,NA,"92.0",TRUE,FALSE,1518048010,"456707:08:03",212,"https://stream.nbcolympics.com/ski-jumping-mens-normal-hill-final"
1,1478529,"MARUSIAK Yevhen","MARUSIAK Y","Yevhen","Marusiak","3", 3,   13, 2232,Ukraine,UKR,47,47,"47","97.4","97.4", 97400,NA,"91.5",TRUE,FALSE,1518048003,"456707:01:50",212,"https://stream.nbcolympics.com/ski-jumping-mens-normal-hill-final"
1,1555272,"CACINA Daniel Andrei","CACINA DA","Daniel Andrei","Cacina","9", 9,  164, 2244,Romania,ROU,48,48,"48","95.8","95.8", 95800,NA,"89.5",TRUE,FALSE,1518048009,"456707:07:10",212,"https://stream.nbcolympics.com/ski-jumping-mens-normal-hill-final"
1,1478523,"GASIENICA Patrick","GASIENICA P","Patrick","Gasienica","7", 7,    5, 2209,United States,USA,49,49,"49","89.8","89.8", 89800,NA,"87.0",TRUE,FALSE,1518048007,"456707:05:21",212,"https://stream.nbcolympics.com/ski-jumping-mens-normal-hill-final"
1,1555207,"FELDOREANU Andrei","FELDOREANU A","Andrei","Feldoreanu","5", 5,  164, 2244,Romania,ROU,50,50,"50","84.3","84.3", 84300,NA,"82.0",TRUE,FALSE,1518048005,"456707:03:35",212,"https://stream.nbcolympics.com/ski-jumping-mens-normal-hill-final"
