"n_ParticipantType","n_ParticipantID","c_Participant","c_ParticipantShort","c_ParticipantFirstName","c_ParticipantLastName","c_Bib","n_StartOrder","NOC.n_ID","NOC.n_GeoID","NOC.c_Name","NOC.c_Short","n_Rank","n_RankSort","c_Rank","c_Result","c_ResultAbs","n_PointsAbs","c_ODF_QualificationMark","c_ResultInfo_1","b_Completed","b_Upcoming","n_BDF_StartTime","c_BDF_StartTime","n_BDF_VideoSessionID","c_ClientStreamURL"
1,1352160,"LINDVIK Marius","LINDVIK M","Marius","Lindvik","53",53,  153, 2221,Norway,NOR, 1, 1,"1","136.4","136.4",136400,"Q","135.0",TRUE,FALSE,1518048053,"456828:11:00",22,"https://stream.nbcolympics.com/ski-jumping-mens-large-hill-qualification"
1,1357034,"GRANERUD Halvor Egner","GRANERUD HE","Halvor Egner","Granerud","54",54,  153, 2221,Norway,NOR, 2, 2,"2","131.6","131.6",131600,"Q","133.5",TRUE,FALSE,1518048054,"456827:55:15",22,"https://stream.nbcolympics.com/ski-jumping-mens-large-hill-qualification"
1, 765887,"PREVC Peter","PREVC P","Peter","Prevc","40",40,   30, 2783,Slovenia,SLO, 3, 3,"3","128.3","128.3",128300,"Q","131.0",TRUE,FALSE,1518048040,"456827:38:07",22,"https://stream.nbcolympics.com/ski-jumping-mens-large-hill-qualification"
1,1004005,"KRAFT Stefan","KRAFT S","Stefan","Kraft","50",50,  151, 2219,Austria,AUT, 4, 4,"4","127.6","127.6",127600,"Q","128.5",TRUE,FALSE,1518048050,"456827:50:05",22,"https://stream.nbcolympics.com/ski-jumping-mens-large-hill-qualification"
1,1948109,"SADREEV Danil","SADREEV D","Danil","Sadreev","31",31,23062,73035,ROC,ROC, 5, 5,"5","127.3","127.3",127300,"Q","136.5",TRUE,FALSE,1518048031,"456827:40:30",22,"https://stream.nbcolympics.com/ski-jumping-mens-large-hill-qualification"
1,1002160,"EISENBICHLER Markus","EISENBICHLER M","Markus","Eisenbichler","52",52,    2, 2206,Germany,GER, 6, 6,"6","123.3","123.3",123300,"Q","129.0",TRUE,FALSE,1518048052,"456828:08:58",22,"https://stream.nbcolympics.com/ski-jumping-mens-large-hill-qualification"
1, 409229,"AALTO Antti","AALTO A","Antti","Aalto","22",22,  161, 2237,Finland,FIN, 7, 7,"7","123.0","123.0",123000,"Q","126.5",TRUE,FALSE,1518048022,"456827:20:53",22,"https://stream.nbcolympics.com/ski-jumping-mens-large-hill-qualification"
1, 486641,"STOCH Kamil","STOCH K","Kamil","Stoch","39",39,  150, 2214,Poland,POL, 8, 8,"8","122.5","122.5",122500,"Q","128.0",TRUE,FALSE,1518048039,"456827:53:58",22,"https://stream.nbcolympics.com/ski-jumping-mens-large-hill-qualification"
1,1240224,"KOBAYASHI Ryoyu","KOBAYASHI R","Ryoyu","Kobayashi","55",55,   18, 2241,Japan,JPN, 9, 9,"9","121.3","121.3",121300,"Q","128.0",TRUE,FALSE,1518048055,"456828:13:57",22,"https://stream.nbcolympics.com/ski-jumping-mens-large-hill-qualification"
1,1128732,"PREVC Cene","PREVC C","Cene","Prevc","48",48,   30, 2783,Slovenia,SLO,10,10,"10","121.1","121.1",121100,"Q","128.5",TRUE,FALSE,1518048048,"456827:48:07",22,"https://stream.nbcolympics.com/ski-jumping-mens-large-hill-qualification"
