"n_ParticipantType","n_ParticipantID","c_Participant","c_ParticipantShort","c_ParticipantFirstName","c_ParticipantLastName","n_StartOrder","NOC.n_ID","NOC.n_GeoID","NOC.c_Name","NOC.c_Short","n_Rank","n_RankSort","c_Rank","c_Result","c_ResultAbs","n_PointsAbs","c_ResultInfo_1","c_ResultInfo_2","c_ResultInfo_3","b_Completed","b_Upcoming","n_BDF_StartTime","c_BDF_StartTime","n_BDF_VideoSessionID","c_ClientStreamURL"
1,1203661,"CHEN Nathan","CHEN N","Nathan","Chen",24,    5, 2209,United States,USA, 1, 1,"1","218.63","218.63",218630,"121.41","97.22","0.00",TRUE,FALSE,1518048024,"456798:11:32",176,"https://stream.nbcolympics.com/figure-skating-mens-free-skate"
1,1879961,"KAGIYAMA Yuma","KAGIYAMA Y","Yuma","Kagiyama",23,   18, 2241,Japan,JPN, 2, 2,"2","201.93","201.93",201930,"107.99","93.94","0.00",TRUE,FALSE,1518048023,"456797:34:48",176,"https://stream.nbcolympics.com/figure-skating-mens-free-skate"
1, 767366,"HANYU Yuzuru","HANYU Y","Yuzuru","Hanyu",17,   18, 2241,Japan,JPN, 3, 3,"3","188.06","188.06",188060,"99.62","90.44","-2.00",TRUE,FALSE,1518048017,"456796:14:52",176,"https://stream.nbcolympics.com/figure-skating-mens-free-skate"
1,1483232,"GRASSL Daniel","GRASSL D","Daniel","Grassl",13,    6, 2210,Italy,ITA, 4, 4,"4","187.43","187.43",187430,"103.35","84.08","0.00",TRUE,FALSE,1518048013,"456795:43:26",176,"https://stream.nbcolympics.com/figure-skating-mens-free-skate"
1,1020612,"UNO Shoma","UNO S","Shoma","Uno",22,   18, 2241,Japan,JPN, 5, 5,"5","187.10","187.10",187100,"96.24","91.86","-1.00",TRUE,FALSE,1518048022,"456797:48:33",176,"https://stream.nbcolympics.com/figure-skating-mens-free-skate"
1, 920812,"BROWN Jason","BROWN J","Jason","Brown",19,    5, 2209,United States,USA, 6, 6,"6","184.00","184.00",184000,"87.66","96.34","0.00",TRUE,FALSE,1518048019,"456796:38:24",176,"https://stream.nbcolympics.com/figure-skating-mens-free-skate"
1,1475744,"CHA Jun-Hwan","CHA JH","Jun-Hwan","Cha",21,  106, 4391,South Korea,KOR, 7, 7,"7","182.87","182.87",182870,"93.59","90.28","-1.00",TRUE,FALSE,1518048021,"456797:48:24",176,"https://stream.nbcolympics.com/figure-skating-mens-free-skate"
1,1137841,"BOYANG Jin","BOYANG J","Boyang","Jin",14,   26, 2770,China,CHN, 8, 8,"8","179.45","179.45",179450,"97.23","82.22","0.00",TRUE,FALSE,1518048014,"456795:51:22",176,"https://stream.nbcolympics.com/figure-skating-mens-free-skate"
1,1702036,"SEMENENKO Evgeniy","SEMENENKO E","Evgeniy","Semenenko",18,23062,73035,ROC,ROC, 9, 9,"9","178.37","178.37",178370,"94.81","83.56","0.00",TRUE,FALSE,1518048018,"456796:22:56",176,"https://stream.nbcolympics.com/figure-skating-mens-free-skate"
1, 836437,"MESSING Keegan","MESSING K","Keegan","Messing",16,  159, 2231,Canada,CAN,10,10,"10","172.37","172.37",172370,"84.13","88.24","0.00",TRUE,FALSE,1518048016,"456796:06:51",176,"https://stream.nbcolympics.com/figure-skating-mens-free-skate"
