"n_ParticipantType","n_ParticipantID","c_Participant","c_ParticipantShort","c_ParticipantFirstName","c_ParticipantLastName","n_StartOrder","NOC.n_ID","NOC.n_GeoID","NOC.c_Name","NOC.c_Short","n_Rank","n_RankSort","c_Rank","c_Result","c_ResultAbs","n_PointsAbs","c_ODF_QualificationMark","c_ResultInfo_1","c_ResultInfo_2","c_ResultInfo_3","b_Completed","b_Upcoming","n_BDF_StartTime","c_BDF_StartTime","n_BDF_VideoSessionID","c_ClientStreamURL","c_ODF_IRM"
1,1745519,"MILYUKOV Konstantin","MILYUKOV K","Konstantin","Milyukov",13,  103, 4387,Belarus,BLR,21,21,"21","78.49","78.49", 78490,"Q","41.92","36.57","0.00",TRUE,FALSE,1518048013,"456747:07:50",175,"https://stream.nbcolympics.com/figure-skating-mens-short-program",NA
1,1421736,"SHMURATKO Ivan","SHMURATKO I","Ivan","Shmuratko", 9,   13, 2232,Ukraine,UKR,22,22,"22","78.11","78.11", 78110,"Q","41.08","37.03","0.00",TRUE,FALSE,1518048009,"456746:41:13",175,"https://stream.nbcolympics.com/figure-skating-mens-short-program",NA
1,1919083,"MOZALEV Andrey","MOZALEV A","Andrey","Mozalev",20,23062,73035,ROC,ROC,23,23,"23","77.05","77.05", 77050,"Q","36.76","41.29","-1.00",TRUE,FALSE,1518048020,"456749:44:40",175,"https://stream.nbcolympics.com/figure-skating-mens-short-program",NA
1,1421755,"BRITSCHGI Lukas","BRITSCHGI L","Lukas","Britschgi", 3,  149, 2213,Switzerland,SUI,24,24,"24","76.16","76.16", 76160,"Q","39.76","36.40","0.00",TRUE,FALSE,1518048003,"456746:02:22",175,"https://stream.nbcolympics.com/figure-skating-mens-short-program",NA
1, 715025,"BREZINA Michal","BREZINA M","Michal","Brezina",11,   17, 2240,Czech Republic,CZE,25,25,"25","75.19","75.19", 75190,NA,"36.69","39.50","-1.00",TRUE,FALSE,1518048011,"456746:53:39",175,"https://stream.nbcolympics.com/figure-skating-mens-short-program",NA
1, 825285,"BYCHENKO Alexei","BYCHENKO A","Alexei","Bychenko",10,   29, 2777,Israel,ISR,26,26,"26","68.01","68.01", 68010,NA,"33.02","35.99","-1.00",TRUE,FALSE,1518048010,"456749:41:13",175,"https://stream.nbcolympics.com/figure-skating-mens-short-program",NA
1,1429233,"LEE Si-Hyeong","LEE SH","Si-Hyeong","Lee", 7,  106, 4391,South Korea,KOR,27,27,"27","65.69","65.69", 65690,NA,"30.75","35.94","-1.00",TRUE,FALSE,1518048007,"456749:40:49",175,"https://stream.nbcolympics.com/figure-skating-mens-short-program",NA
1,1302043,"SELEVKO Aleksandr","SELEVKO A","Aleksandr","Selevko", 4,    8, 2217,Estonia,EST,28,28,"28","65.29","65.29", 65290,NA,"28.79","36.50","0.00",TRUE,FALSE,1518048004,"456745:41:44",175,"https://stream.nbcolympics.com/figure-skating-mens-short-program",NA
1,1148692,"SADOVSKY Roman","SADOVSKY R","Roman","Sadovsky", 1,  159, 2231,Canada,CAN,29,29,"29","62.77","62.77", 62770,NA,"24.99","37.78","0.00",TRUE,FALSE,1518048001,"456749:40:42",175,"https://stream.nbcolympics.com/figure-skating-mens-short-program",NA
1,1421783,"ZHOU Vincent","ZHOU V","Vincent","Zhou",12,    5, 2209,United States,USA,NA,30,NA,"WD","WD",NA,NA,NA,NA,NA,TRUE,FALSE,1518048012,NA,175,"https://stream.nbcolympics.com/figure-skating-mens-short-program","WD"
