"n_ParticipantType","n_ParticipantID","c_Participant","c_ParticipantShort","c_ParticipantLastName","n_StartOrder","NOC.n_ID","NOC.n_GeoID","NOC.c_Name","NOC.c_Short","n_Rank","n_RankSort","c_Rank","c_Result","c_ResultAbs","n_PointsAbs","c_ResultInfo_1","c_ResultInfo_2","c_ResultInfo_3","b_Completed","b_Upcoming","n_BDF_StartTime","n_BDF_VideoSessionID","c_ClientStreamURL","key","n_Position.1","n_Position.2","n_PersonID.1","n_PersonID.2","c_Person.1","c_Person.2","c_PersonFirstName.1","c_PersonFirstName.2","c_PersonLastName.1","c_PersonLastName.2","c_PersonShort.1","c_PersonShort.2","n_BDF_VideoSessionID.1","n_BDF_VideoSessionID.2","c_ClientStreamURL.1","c_ClientStreamURL.2"
2, 59871,"SUI W/HAN C","Sui/Han","Sui/Han",16,   26, 2770,China,CHN, 1, 1,"1","155.47","155.47",155470,"78.61","76.86","0.00",TRUE,FALSE,1518048016,182,"https://stream.nbcolympics.com/figure-skating-pairs-free-skate", 1,1,2, 822756, 822757,"SUI Wenjing","HAN Cong","Wenjing","Cong","Sui","Han","SUI W","HAN C",182,182,"https://stream.nbcolympics.com/figure-skating-pairs-free-skate","https://stream.nbcolympics.com/figure-skating-pairs-free-skate"
2, 67651,"TARASOVA E/MOROZOV V","Tarasova/Morozov","Tarasova/Morozov",15,23062,73035,ROC,ROC, 2, 2,"2","155.00","155.00",155000,"78.01","76.99","0.00",TRUE,FALSE,1518048015,182,"https://stream.nbcolympics.com/figure-skating-pairs-free-skate", 2,1,2, 836394,1138189,"TARASOVA Evgeniya","MOROZOV Vladimir","Evgeniya","Vladimir","Tarasova","Morozov","TARASOVA E","MOROZOV V",182,182,"https://stream.nbcolympics.com/figure-skating-pairs-free-skate","https://stream.nbcolympics.com/figure-skating-pairs-free-skate"
2,443457,"MISHINA A/GALIAMOV A","Mishina/Galiamov","Mishina/Galiamov",14,23062,73035,ROC,ROC, 3, 3,"3","154.95","154.95",154950,"79.71","75.24","0.00",TRUE,FALSE,1518048014,182,"https://stream.nbcolympics.com/figure-skating-pairs-free-skate", 3,1,2,1426960,1778023,"MISHINA Anastasia","GALIAMOV Aleksandr","Anastasia","Aleksandr","Mishina","Galiamov","MISHINA A","GALIAMOV A",182,182,"https://stream.nbcolympics.com/figure-skating-pairs-free-skate","https://stream.nbcolympics.com/figure-skating-pairs-free-skate"
2,430699,"BOYKOVA A/KOZLOVSKIY D","Boykova/Kozlovskiy","Boykova/Kozlovskiy",13,23062,73035,ROC,ROC, 4, 4,"4","141.91","141.91",141910,"70.75","71.16","0.00",TRUE,FALSE,1518048013,182,"https://stream.nbcolympics.com/figure-skating-pairs-free-skate", 4,1,2,1536928,1536929,"BOYKOVA Aleksandra","KOZLOVSKIY Dmitriy","Aleksandra","Dmitriy","Boykova","Kozlovskiy","BOYKOVA A","KOZLOVSKIY D",182,182,"https://stream.nbcolympics.com/figure-skating-pairs-free-skate","https://stream.nbcolympics.com/figure-skating-pairs-free-skate"
2,456934,"MIURA R/KIHARA R","Miura/Kihara","Miura/Kihara", 9,   18, 2241,Japan,JPN, 5, 5,"5","141.04","141.04",141040,"69.95","71.09","0.00",TRUE,FALSE,1518048009,182,"https://stream.nbcolympics.com/figure-skating-pairs-free-skate", 5,1,2,1641473, 836501,"MIURA Riku","KIHARA Ryuichi","Riku","Ryuichi","Miura","Kihara","MIURA R","KIHARA R",182,182,"https://stream.nbcolympics.com/figure-skating-pairs-free-skate","https://stream.nbcolympics.com/figure-skating-pairs-free-skate"
2,431222,"PENG C/JIN Y","Peng/Jin","Peng/Jin",12,   26, 2770,China,CHN, 6, 6,"6","138.74","138.74",138740,"69.03","69.71","0.00",TRUE,FALSE,1518048012,182,"https://stream.nbcolympics.com/figure-skating-pairs-free-skate", 6,1,2,1107664, 840168,"PENG Cheng","JIN Yang","Cheng","Yang","Peng","Jin","PENG C","JIN Y",182,182,"https://stream.nbcolympics.com/figure-skating-pairs-free-skate","https://stream.nbcolympics.com/figure-skating-pairs-free-skate"
2,467060,"KNIERIM A/FRAZIER B","Knierim/Frazier","Knierim/Frazier",11,    5, 2209,United States,USA, 7, 7,"7","138.45","138.45",138450,"68.97","69.48","0.00",TRUE,FALSE,1518048011,182,"https://stream.nbcolympics.com/figure-skating-pairs-free-skate", 7,1,2,1115709,1020524,"KNIERIM Alexa","FRAZIER Brandon","Alexa","Brandon","Knierim","Frazier","KNIERIM A","FRAZIER B",182,182,"https://stream.nbcolympics.com/figure-skating-pairs-free-skate","https://stream.nbcolympics.com/figure-skating-pairs-free-skate"
2,474826,"SAFINA K/BERULAVA L","Safina/Berulava","Safina/Berulava", 8,  163, 2239,Georgia,GEO, 8, 8,"8","126.33","126.33",126330,"63.88","62.45","0.00",TRUE,FALSE,1518048008,182,"https://stream.nbcolympics.com/figure-skating-pairs-free-skate", 8,1,2,2234995,2020155,"SAFINA Karina","BERULAVA Luka","Karina","Luka","Safina","Berulava","SAFINA K","BERULAVA L",182,182,"https://stream.nbcolympics.com/figure-skating-pairs-free-skate","https://stream.nbcolympics.com/figure-skating-pairs-free-skate"
2,431350,"CAIN-GRIBBLE A/LEDUC T","Cain-Gribble/Leduc","Cain-Gribble/Leduc",10,    5, 2209,United States,USA, 9, 9,"9","123.92","123.92",123920,"59.74","66.18","-2.00",TRUE,FALSE,1518048010,182,"https://stream.nbcolympics.com/figure-skating-pairs-free-skate", 9,1,2, 920870, 920876,"CAIN-GRIBBLE Ashley","LEDUC Timothy","Ashley","Timothy","Cain-Gribble","Leduc","CAIN-GRIBBLE A","LEDUC T",182,182,"https://stream.nbcolympics.com/figure-skating-pairs-free-skate","https://stream.nbcolympics.com/figure-skating-pairs-free-skate"
2, 67649,"MOORE-TOWERS K/MARINARO M","Moore-Towers/Marinaro","Moore-Towers/Marinaro", 4,  159, 2231,Canada,CAN,10,10,"10","118.86","118.86",118860,"53.83","65.03","0.00",TRUE,FALSE,1518048004,182,"https://stream.nbcolympics.com/figure-skating-pairs-free-skate",10,1,2, 816367, 836466,"MOORE-TOWERS Kirsten","MARINARO Michael","Kirsten","Michael","Moore-Towers","Marinaro","MOORE-TOWERS K","MARINARO M",182,182,"https://stream.nbcolympics.com/figure-skating-pairs-free-skate","https://stream.nbcolympics.com/figure-skating-pairs-free-skate"
