"n_ParticipantType","n_ParticipantID","c_Participant","c_ParticipantShort","c_ParticipantFirstName","c_ParticipantLastName","c_Bib","n_StartOrder","NOC.n_ID","NOC.n_GeoID","NOC.c_Name","NOC.c_Short","n_Rank","n_RankSort","c_Rank","c_Result","c_ResultAbs","n_TimeAbs","n_TimeRel","c_ResultInfo_1","c_ResultInfo_2","b_Completed","b_Upcoming","n_BDF_VideoSessionID","c_ODF_IRM"
1, 980274,"JISLOVA Jessica","JISLOVA J","Jessica","Jislová","23",23,   17, 2240,Czech Republic,CZE,27,28,"27","+4:04.8","48:17.5",2897500,244800,"0 + 1 + 0 + 1","2",TRUE,FALSE,1,NA
1,1338606,"KLEMENCIC Polona","KLEMENCIC P","Polona","Klemencic","2", 2,   30, 2783,Slovenia,SLO,29,29,"29","+4:06.1","48:18.8",2898800,246100,"0 + 2 + 0 + 0","2",TRUE,FALSE,1,NA
1, 659680,"BESCOND Anais","BESCOND A","Anaïs","Bescond","10",10,  144, 2202,France,FRA,30,30,"30","+4:13.3","48:26.0",2906000,253300,"2 + 1 + 0 + 1","4",TRUE,FALSE,1,NA
1,1137045,"SCHWAIGER Julia","SCHWAIGER J","Julia","Schwaiger","20",20,  151, 2219,Austria,AUT,31,31,"31","+4:29.5","48:42.2",2922200,269500,"2 + 1 + 0 + 0","3",TRUE,FALSE,1,NA
1, 656616,"EDER Mari","EDER M","Mari","Eder","18",18,  161, 2237,Finland,FIN,32,32,"32","+4:30.2","48:42.9",2922900,270200,"1 + 0 + 1 + 1","3",TRUE,FALSE,1,NA
1,1245794,"BANKES Megan","BANKES M","Megan","Bankes","25",25,  159, 2231,Canada,CAN,33,33,"33","+4:34.5","48:47.2",2927200,274500,"0 + 0 + 0 + 2","2",TRUE,FALSE,1,NA
1,1768993,"VOBORNIKOVA Tereza","VOBORNIKOVA T","Tereza","Voborníková","50",50,   17, 2240,Czech Republic,CZE,34,34,"34","+4:38.9","48:51.6",2931600,278900,"0 + 0 + 1 + 1","2",TRUE,FALSE,1,NA
1,1469807,"CHU Yuanmeng","CHU Y","Yuanmeng","Chu","58",58,   26, 2770,China,CHN,35,35,"35","+4:46.1","48:58.8",2938800,286100,"0 + 0 + 0 + 2","2",TRUE,FALSE,1,NA
1,1352000,"ZUK Kamila","ZUK K","Kamila","Zuk","43",43,  150, 2214,Poland,POL,36,36,"36","+4:50.0","49:02.7",2942700,290000,"0 + 2 + 1 + 0","3",TRUE,FALSE,1,NA
1,2079225,"STREMOUS Alina","STREMOUS A","Alina","Stremous","56",56,   23, 2251,Moldova,MDA,37,37,"37","+4:54.8","49:07.5",2947500,294800,"1 + 2 + 0 + 1","4",TRUE,FALSE,1,NA
1,1338325,"KALKENBERG Emilie","KALKENBERG E","Emilie","Kalkenberg","53",53,  153, 2221,Norway,NOR,38,38,"38","+4:56.1","49:08.8",2948800,296100,"3 + 0 + 0 + 1","4",TRUE,FALSE,1,NA
1,1338227,"EGAN Clare","EGAN C","Clare","Egan","59",59,    5, 2209,United States,USA,39,39,"39","+4:56.2","49:08.9",2948900,296200,"1 + 0 + 3 + 1","5",TRUE,FALSE,1,NA
1,1137047,"BRAISAZ-BOUCHET Justine","BRAISAZ-BOUCHET J","Justine","Braisaz-Bouchet","24",24,  144, 2202,France,FRA,40,40,"40","+4:57.4","49:10.1",2950100,297400,"0 + 2 + 2 + 1","5",TRUE,FALSE,1,NA
1, 771179,"LESHCHANKA Iryna","LESHCHANKA I","Iryna","Leshchanka","14",14,  103, 4387,Belarus,BLR,41,41,"41","+4:57.6","49:10.3",2950300,297600,"1 + 1 + 1 + 1","4",TRUE,FALSE,1,NA
1, 844403,"FIALKOVA Paulina","FIALKOVA P","Paulína","Fialková","6", 6,   14, 2233,Slovakia,SVK,42,42,"42","+4:58.0","49:10.7",2950700,298000,"0 + 2 + 1 + 1","4",TRUE,FALSE,1,NA
1,1119483,"TOMINGAS Tuuli","TOMINGAS T","Tuuli","Tomingas","5", 5,    8, 2217,Estonia,EST,43,43,"43","+5:07.6","49:20.3",2960300,307600,"0 + 1 + 1 + 2","4",TRUE,FALSE,1,NA
1, 823285,"VISHNEVSKAYA SHEPORENKO Galina","VISHNEVSKAYA SHEPORENKO G","Galina","Vishnevskaya Sheporenko","44",44,  160, 2236,Kazakhstan,KAZ,44,44,"44","+5:19.6","49:32.3",2972300,319600,"0 + 1 + 0 + 0","1",TRUE,FALSE,1,NA
1,1137050,"LIE Lotte","LIE L","Lotte","Lie","51",51,  147, 2205,Belgium,BEL,45,45,"45","+5:24.2","49:36.9",2976900,324200,"1 + 2 + 0 + 1","4",TRUE,FALSE,1,NA
1, 980292,"FIALKOVA Ivona","FIALKOVA I","Ivona","Fialková","49",49,   14, 2233,Slovakia,SVK,46,46,"46","+5:41.5","49:54.2",2994200,341500,"0 + 4 + 1 + 1","6",TRUE,FALSE,1,NA
1,1475309,"MENG Fanqi","MENG F","Fanqi","Meng","73",73,   26, 2770,China,CHN,47,47,"47","+5:43.8","49:56.5",2996500,343800,"0 + 0 + 0 + 2","2",TRUE,FALSE,1,NA
1,1245770,"KRUCHINKINA Elena","KRUCHINKINA E","Elena","Kruchinkina","35",35,  103, 4387,Belarus,BLR,48,48,"48","+5:44.1","49:56.8",2996800,344100,"0 + 3 + 0 + 1","4",TRUE,FALSE,1,NA
1, 759915,"SANFILIPPO Federica","SANFILIPPO F","Federica","Sanfilippo","33",33,    6, 2210,Italy,ITA,49,49,"49","+5:56.6","50:09.3",3009300,356600,"0 + 2 + 1 + 2","5",TRUE,FALSE,1,NA
1,1351980,"ZDRAVKOVA Maria","ZDRAVKOVA M","Maria","Zdravkova","81",81,  148, 2211,Bulgaria,BUL,50,50,"50","+6:00.4","50:13.1",3013100,360400,"0 + 1 + 0 + 0","1",TRUE,FALSE,1,NA
1, 704349,"KINNUNEN Nastassia","KINNUNEN N","Nastassia","Kinnunen","48",48,  161, 2237,Finland,FIN,51,51,"51","+6:00.8","50:13.5",3013500,360800,"0 + 1 + 2 + 1","4",TRUE,FALSE,1,NA
1,1351981,"TODOROVA Milena","TODOROVA M","Milena","Todorova","52",52,  148, 2211,Bulgaria,BUL,52,52,"52","+6:02.2","50:14.9",3014900,362200,"0 + 2 + 0 + 3","5",TRUE,FALSE,1,NA
1,1776669,"SLETTEMARK Ukaleq Astri","SLETTEMARK UA","Ukaleq Astri","Slettemark","55",55,  152, 2220,Denmark,DEN,53,53,"53","+6:14.7","50:27.4",3027400,374700,"0 + 0 + 0 + 0","0",TRUE,FALSE,1,NA
1,1338344,"SOLA Hanna","SOLA H","Hanna","Sola","27",27,  103, 4387,Belarus,BLR,54,54,"54","+6:23.2","50:35.9",3035900,383200,"3 + 2 + 1 + 1","7",TRUE,FALSE,1,NA
1, 980288,"ZBYLUT Kinga","ZBYLUT K","Kinga","Zbylut","88",88,  150, 2214,Poland,POL,55,55,"55","+6:42.0","50:54.7",3054700,402000,"0 + 1 + 1 + 1","3",TRUE,FALSE,1,NA
1,1362293,"USHKINA Natalia","USHKINA N","Natalia","Ushkina","57",57,  164, 2244,Romania,ROU,56,56,"56","+6:51.4","51:04.1",3064100,411400,"0 + 1 + 1 + 0","2",TRUE,FALSE,1,NA
1, 848468,"REID Joanne","REID J","Joanne","Reid","83",83,    5, 2209,United States,USA,57,57,"57","+6:53.6","51:06.3",3066300,413600,"0 + 3 + 0 + 2","5",TRUE,FALSE,1,NA
1, 823185,"BENDIKA Baiba","BENDIKA B","Baiba","Bendika","9", 9,    9, 2218,Latvia,LAT,58,58,"58","+6:57.6","51:10.3",3070300,417600,"1 + 3 + 0 + 2","6",TRUE,FALSE,1,NA
1, 657144,"TANG Jialin","TANG J","Jialin","Tang","37",37,   26, 2770,China,CHN,59,59,"59","+7:03.3","51:16.0",3076000,423300,"1 + 1 + 1 + 1","4",TRUE,FALSE,1,NA
1,1338585,"CARRARA Michela","CARRARA M","Michela","Carrara","75",75,    6, 2210,Italy,ITA,60,60,"60","+7:16.4","51:29.1",3089100,436400,"1 + 2 + 1 + 1","5",TRUE,FALSE,1,NA
1,1017695,"LESCINSKAITE Gabriele","LESCINSKAITE G","Gabriele","Lescinskaite","60",60,    7, 2215,Lithuania,LTU,61,61,"61","+7:26.5","51:39.2",3099200,446500,"1 + 1 + 0 + 2","4",TRUE,FALSE,1,NA
1, 397165,"GASPARIN Selina","GASPARIN S","Selina","Gasparin","77",77,  149, 2213,Switzerland,SUI,62,62,"62","+7:31.1","51:43.8",3103800,451100,"1 + 2 + 2 + 2","7",TRUE,FALSE,1,NA
1, 823338,"DUNKLEE Susan","DUNKLEE S","Susan","Dunklee","67",67,    5, 2209,United States,USA,63,63,"63","+7:33.3","51:46.0",3106000,453300,"1 + 1 + 0 + 2","4",TRUE,FALSE,1,NA
1,1633125,"KLEMENCIC Ziva","KLEMENCIC Z","Ziva","Klemencic","46",46,   30, 2783,Slovenia,SLO,64,64,"64","+7:38.9","51:51.6",3111600,458900,"0 + 1 + 0 + 3","4",TRUE,FALSE,1,NA
1,1632382,"HACHISUKA Asuka","HACHISUKA A","Asuka","Hachisuka","63",63,   18, 2241,Japan,JPN,65,65,"65","+7:45.3","51:58.0",3118000,465300,"0 + 1 + 0 + 3","4",TRUE,FALSE,1,NA
1, 844449,"TALIHAERM Johanna","TALIHAERM J","Johanna","Talihärm","68",68,    8, 2217,Estonia,EST,66,66,"66","+7:46.8","51:59.5",3119500,466800,"0 + 1 + 1 + 1","3",TRUE,FALSE,1,NA
1, 823214,"LUNDER Emma","LUNDER E","Emma","Lunder","47",47,  159, 2231,Canada,CAN,67,67,"67","+7:49.7","52:02.4",3122400,469700,"0 + 2 + 3 + 2","7",TRUE,FALSE,1,NA
1,1472971,"HORVATOVA Henrieta","HORVATOVA H","Henrieta","Horvátová","78",78,   14, 2233,Slovakia,SVK,68,68,"68","+8:03.4","52:16.1",3136100,483400,"0 + 1 + 1 + 1","3",TRUE,FALSE,1,NA
1,1632782,"BASERGA Amy","BASERGA A","Amy","Baserga","7", 7,  149, 2213,Switzerland,SUI,69,69,"69","+8:12.4","52:25.1",3145100,492400,"2 + 2 + 1 + 0","5",TRUE,FALSE,1,NA
1,1137031,"DICKSON Emily","DICKSON E","Emily","Dickson","85",85,  159, 2231,Canada,CAN,70,70,"70","+8:13.4","52:26.1",3146100,493400,"2 + 1 + 0 + 2","5",TRUE,FALSE,1,NA
1,1221175,"TANAKA Yurie","TANAKA Y","Yurie","Tanaka","86",86,   18, 2241,Japan,JPN,71,71,"71","+8:13.6","52:26.3",3146300,493600,"2 + 1 + 0 + 1","4",TRUE,FALSE,1,NA
