"n_ParticipantType","n_ParticipantID","c_Participant","c_ParticipantShort","c_ParticipantFirstName","c_ParticipantLastName","c_Bib","n_StartOrder","NOC.n_ID","NOC.n_GeoID","NOC.c_Name","NOC.c_Short","n_Rank","n_RankSort","c_Rank","c_Result","c_ResultAbs","n_TimeAbs","n_TimeRel","c_ResultInfo_1","c_ResultInfo_2","b_Completed","b_Upcoming","n_BDF_VideoSessionID"
1, 918902,"OLSBU ROEISELAND Marte","OLSBU ROEISELAND M","Marte","Olsbu Røiseland","5", 5,  153, 2221,Norway,NOR, 1, 1,"1","20:44.3","20:44.3",1244300,     0,"0 + 0","0",TRUE,FALSE,1
1,1632804,"OBERG Elvira","OBERG E","Elvira","Öberg","45",45,  154, 2222,Sweden,SWE, 2, 2,"2","+30.9","21:15.2",1275200, 30900,"0 + 0","0",TRUE,FALSE,1
1, 717491,"WIERER Dorothea","WIERER D","Dorothea","Wierer","22",22,    6, 2210,Italy,ITA, 3, 3,"3","+37.2","21:21.5",1281500, 37200,"0 + 0","0",TRUE,FALSE,1
1,1017687,"HAUSER Lisa Theresa","HAUSER LT","Lisa Theresa","Hauser","33",33,  151, 2219,Austria,AUT, 4, 4,"4","+47.3","21:31.6",1291600, 47300,"0 + 0","0",TRUE,FALSE,1
1,1338357,"TANDREVOLD Ingrid Landmark","TANDREVOLD IL","Ingrid Landmark","Tandrevold","30",30,  153, 2221,Norway,NOR, 5, 5,"5","+1:00.2","21:44.5",1304500, 60200,"0 + 0","0",TRUE,FALSE,1
1,1362292,"REZTSOVA Kristina","REZTSOVA K","Kristina","Reztsova","7", 7,23062,73035,ROC,ROC, 6, 6,"6","+1:05.0","21:49.3",1309300, 65000,"1 + 1","2",TRUE,FALSE,1
1,1245766,"MAGNUSSON Anna","MAGNUSSON A","Anna","Magnusson","35",35,  154, 2222,Sweden,SWE, 7, 7,"7","+1:05.9","21:50.2",1310200, 65900,"0 + 0","0",TRUE,FALSE,1
1, 760227,"DZHIMA Yuliia","DZHIMA Y","Yuliia","Dzhima","57",57,   13, 2232,Ukraine,UKR, 8, 8,"8","+1:07.5","21:51.8",1311800, 67500,"0 + 1","1",TRUE,FALSE,1
1, 659680,"BESCOND Anais","BESCOND A","Anaïs","Bescond","55",55,  144, 2202,France,FRA, 9, 9,"9","+1:08.8","21:53.1",1313100, 68800,"1 + 0","1",TRUE,FALSE,1
1,2079225,"STREMOUS Alina","STREMOUS A","Alina","Stremous","4", 4,   23, 2251,Moldova,MDA,10,10,"10","+1:15.2","21:59.5",1319500, 75200,"0 + 0","0",TRUE,FALSE,1
1, 720075,"ECKHOFF Tiril","ECKHOFF T","Tiril","Eckhoff","1", 1,  153, 2221,Norway,NOR,11,11,"11","+1:16.1","22:00.4",1320400, 76100,"1 + 1","2",TRUE,FALSE,1
1,1017701,"PERSSON Linn","PERSSON L","Linn","Persson","49",49,  154, 2222,Sweden,SWE,12,12,"12","+1:19.6","22:03.9",1323900, 79600,"0 + 1","1",TRUE,FALSE,1
1,1023355,"NIGMATULLINA Uliana","NIGMATULLINA U","Uliana","Nigmatullina","36",36,23062,73035,ROC,ROC,13,13,"13","+1:27.5","22:11.8",1331800, 87500,"2 + 0","2",TRUE,FALSE,1
1, 844403,"FIALKOVA Paulina","FIALKOVA P","Paulína","Fialková","18",18,   14, 2233,Slovakia,SVK,14,14,"14","+1:27.7","22:12.0",1332000, 87700,"0 + 1","1",TRUE,FALSE,1
1, 980215,"ALIMBEKAVA Dzinara","ALIMBEKAVA D","Dzinara","Alimbekava","24",24,  103, 4387,Belarus,BLR,15,15,"15","+1:28.5","22:12.8",1332800, 88500,"0 + 1","1",TRUE,FALSE,1
1, 720690,"HOJNISZ-STAREGA Monika","HOJNISZ-STAREGA M","Monika","Hojnisz-Starega","27",27,  150, 2214,Poland,POL,16,16,"16","+1:28.6","22:12.9",1332900, 88600,"1 + 0","1",TRUE,FALSE,1
1,1351981,"TODOROVA Milena","TODOROVA M","Milena","Todorova","6", 6,  148, 2211,Bulgaria,BUL,17,17,"17","+1:31.1","22:15.4",1335400, 91100,"1 + 0","1",TRUE,FALSE,1
1,1626878,"VOIGT Vanessa","VOIGT V","Vanessa","Voigt","38",38,    2, 2206,Germany,GER,18,18,"18","+1:31.4","22:15.7",1335700, 91400,"0 + 0","0",TRUE,FALSE,1
1,1017700,"OEBERG Hanna","OEBERG H","Hanna","Öberg","52",52,  154, 2222,Sweden,SWE,19,19,"19","+1:34.8","22:19.1",1339100, 94800,"1 + 2","3",TRUE,FALSE,1
1,1351842,"KAZAKEVICH Irina","KAZAKEVICH I","Irina","Kazakevich","43",43,23062,73035,ROC,ROC,20,20,"20","+1:39.4","22:23.7",1343700, 99400,"0 + 1","1",TRUE,FALSE,1
1, 909271,"INNERHOFER Katharina","INNERHOFER K","Katharina","Innerhofer","3", 3,  151, 2219,Austria,AUT,21,21,"21","+1:42.1","22:26.4",1346400,102100,"0 + 2","2",TRUE,FALSE,1
1, 703233,"HERRMANN Denise","HERRMANN D","Denise","Herrmann","9", 9,    2, 2206,Germany,GER,22,22,"22","+1:45.1","22:29.4",1349400,105100,"1 + 1","2",TRUE,FALSE,1
1,1017698,"HAECKI Lena","HAECKI L","Lena","Häcki","40",40,  149, 2213,Switzerland,SUI,23,23,"23","+1:46.0","22:30.3",1350300,106000,"1 + 1","2",TRUE,FALSE,1
1, 844441,"MERKUSHYNA Anastasiya","MERKUSHYNA A","Anastasiya","Merkushyna","70",70,   13, 2232,Ukraine,UKR,24,24,"24","+1:47.3","22:31.6",1351600,107300,"1 + 0","1",TRUE,FALSE,1
1,1018300,"CHARVATOVA Lucie","CHARVATOVA L","Lucie","Charvátová","56",56,   17, 2240,Czech Republic,CZE,25,25,"25","+1:51.3","22:35.6",1355600,111300,"0 + 1","1",TRUE,FALSE,1
1,1338344,"SOLA Hanna","SOLA H","Hanna","Sola","16",16,  103, 4387,Belarus,BLR,26,26,"26","+1:52.1","22:36.4",1356400,112100,"1 + 3","4",TRUE,FALSE,1
