"n_ParticipantType","n_ParticipantID","c_Participant","c_ParticipantShort","c_ParticipantFirstName","c_ParticipantLastName","c_Bib","n_StartOrder","NOC.n_ID","NOC.n_GeoID","NOC.c_Name","NOC.c_Short","n_Rank","n_RankSort","c_Rank","c_Result","c_ResultAbs","n_TimeAbs","n_TimeRel","c_ResultInfo_1","c_ResultInfo_2","b_Completed","b_Upcoming"
1, 980251,"BOE Johannes Thingnes","BOE JT","Johannes Thingnes","Bø","2", 2,  153, 2221,Norway,NOR, 1, 1,"1","38:14.4","38:14.4",2294400,     0,"1 + 0 + 1 + 2","4",TRUE,FALSE
1,1245820,"PONSILUOMA Martin","PONSILUOMA M","Martin","Ponsiluoma","18",18,  154, 2222,Sweden,SWE, 2, 2,"2","+40.3","38:54.7",2334700, 40300,"1 + 0 + 0 + 1","2",TRUE,FALSE
1, 823293,"CHRISTIANSEN Vetle Sjaastad","CHRISTIANSEN VS","Vetle Sjåstad","Christiansen","8", 8,  153, 2221,Norway,NOR, 3, 3,"3","+1:12.5","39:26.9",2366900, 72500,"2 + 0 + 1 + 0","3",TRUE,FALSE
1, 923163,"FILLON MAILLET Quentin","FILLON MAILLET Q","Quentin","Fillon Maillet","1", 1,  144, 2202,France,FRA, 4, 4,"4","+1:25.6","39:40.0",2380000, 85600,"1 + 1 + 0 + 3","5",TRUE,FALSE
1, 717512,"WINDISCH Dominik","WINDISCH D","Dominik","Windisch","23",23,    6, 2210,Italy,ITA, 5, 5,"5","+1:38.4","39:52.8",2392800, 98400,"0 + 2 + 1 + 0","3",TRUE,FALSE
1,1338639,"LAEGREID Sturla Holm","LAEGREID SH","Sturla Holm","Lægreid","9", 9,  153, 2221,Norway,NOR, 6, 6,"6","+1:46.1","40:00.5",2400500,106100,"1 + 2 + 1 + 1","5",TRUE,FALSE
1, 451771,"EDER Simon","EDER S","Simon","Eder","26",26,  151, 2219,Austria,AUT, 7, 7,"7","+1:56.4","40:10.8",2410800,116400,"2 + 0 + 0 + 0","2",TRUE,FALSE
1, 717496,"DOLL Benedikt","DOLL B","Benedikt","Doll","12",12,    2, 2206,Germany,GER, 8, 8,"8","+2:31.4","40:45.8",2445800,151400,"0 + 0 + 2 + 4","6",TRUE,FALSE
1,1338646,"SEPPALA Tero","SEPPALA T","Tero","Seppälä","14",14,  161, 2237,Finland,FIN, 9, 9,"9","+2:32.7","40:47.1",2447100,152700,"1 + 0 + 2 + 2","5",TRUE,FALSE
1, 839313,"KUEHN Johannes","KUEHN J","Johannes","Kühn","15",15,    2, 2206,Germany,GER,10,10,"10","+2:38.3","40:52.7",2452700,158300,"1 + 0 + 2 + 2","5",TRUE,FALSE
