"n_ParticipantType","n_ParticipantID","c_Participant","c_ParticipantShort","c_ParticipantFirstName","c_ParticipantLastName","c_Bib","n_StartOrder","n_ID","n_GeoID","c_Name","c_Short","n_Rank","n_RankSort","c_Rank","c_Result","c_ResultAbs","n_TimeAbs","n_TimeRel","b_Completed","b_Upcoming"
1,850493,"JACKSON Erin","JACKSON E","Erin","Jackson","278",27,5,2209,"United States","USA",1,1,"1","37.04","37.04",37040,0,TRUE,FALSE
1,723414,"TAKAGI Miho","TAKAGI M","Miho","Takagi","237",8,18,2241,"Japan","JPN",2,2,"2","37.12","37.12",37120,80,TRUE,FALSE
1,699671,"GOLIKOVA Angelina","GOLIKOVA A","Angelina","Golikova","265",25,23062,73035,"ROC","ROC",3,3,"3","37.21","37.21",37210,170,TRUE,FALSE
1,818550,"HERZOG Vanessa","HERZOG V","Vanessa","Herzog","202",7,151,2219,"Austria","AUT",4,4,"4","37.28","37.28",37280,240,TRUE,FALSE
1,1342250,"LEERDAM Jutta","LEERDAM J","Jutta","Leerdam","251",14,1,2201,"Netherlands","NED",5,5,"5","37.34","37.34",37340,300,TRUE,FALSE
1,1342216,"KOK Femke","KOK F","Femke","Kok","250",17,1,2201,"Netherlands","NED",6,6,"6","37.39","37.39",37390,350,TRUE,FALSE
1,1223497,"MIN-SUN Kim","MIN-SUN K","Min Sun","Kim","243",20,106,4391,"South Korea","KOR",7,7,"7","37.60","37.60",37600,560,TRUE,FALSE
1,1246977,"KACHANOVA Daria","KACHANOVA D","Daria","Kachanova","268",22,23062,73035,"ROC","ROC",8,8,"8","37.65","37.65",37650,610,TRUE,FALSE
1,1023292,"ZIOMEK Kaja","ZIOMEK K","Kaja","Ziomek","263",28,150,2214,"Poland","POL",9,9,"9","37.70","37.70",37700,660,TRUE,FALSE
1,720273,"FATKULINA Olga","FATKULINA O","Olga","Fatkulina","264",29,23062,73035,"ROC","ROC",10,10,"10","37.76","37.76",37760,720,TRUE,FALSE
1,1334897,"WOJCIK Andzelika","WOJCIK A","Andzelika","Wójcik","262",30,150,2214,"Poland","POL",11,11,"11","37.78","37.78",37780,740,TRUE,FALSE
1,762617,"JIN Jingzhu","JIN J","Jingzhu","Jin","219",13,26,2770,"China","CHN",12,12,"12","37.88","37.88",37880,840,TRUE,FALSE
1,1342267,"DE JONG Michelle","DE JONG M","Michelle","de Jong","247",16,1,2201,"Netherlands","NED",13,13,"13","37.97","37.97",37970,930,TRUE,FALSE
1,1156996,"TIAN Ruining","TIAN R","Ruining","Tian","222",23,26,2770,"China","CHN",14,14,"14","37.982","37.982",37982,940,TRUE,FALSE
1,454013,"GO Arisa","GO A","Arisa","Go","231",19,18,2241,"Japan","JPN",15,15,"15","37.983","37.983",37983,940,TRUE,FALSE
1,671585,"BOWE Brittany","BOWE B","Brittany","Bowe","276",10,5,2209,"United States","USA",16,16,"16","38.04","38.04",38040,1000,TRUE,FALSE
1,234611,"KODAIRA Nao","KODAIRA N","Nao","Kodaira","233",26,18,2241,"Japan","JPN",17,17,"17","38.09","38.09",38090,1050,TRUE,FALSE
1,1221419,"GOETZ Kimi","GOETZ K","Kimi","Goetz","277",21,5,2209,"United States","USA",18,18,"18","38.25","38.25",38250,1210,TRUE,FALSE
1,1454310,"NIFONTOVA Anna","NIFONTOVA A","Anna","Nifontova","204",24,103,4387,"Belarus","BLR",19,19,"19","38.30","38.30",38300,1260,TRUE,FALSE
1,720274,"AYDOVA Yekaterina","AYDOVA Y","Yekaterina","Aydova","239",11,160,2236,"Kazakhstan","KAZ",20,20,"20","38.54","38.54",38540,1500,TRUE,FALSE
1,713224,"HUDEY Marsha","HUDEY M","Marsha","Hudey","209",9,159,2231,"Canada","CAN",21,21,"21","38.79","38.79",38790,1750,TRUE,FALSE
1,1630231,"MCDOUGALL Brooklyn","MCDOUGALL B","Brooklyn","McDougall","211",18,159,2231,"Canada","CAN",22,22,"22","38.84","38.84",38840,1800,TRUE,FALSE
1,818528,"RIPSRUD Martine","RIPSRUD M","Martine","Ripsrud","256",6,153,2221,"Norway","NOR",23,23,"23","38.95","38.95",38950,1910,TRUE,FALSE
1,1559983,"SAMSONSEN Julie Nistad","SAMSONSEN JN","Julie Nistad","Samsonsen","257",4,153,2221,"Norway","NOR",24,24,"24","39.02","39.02",39020,1980,TRUE,FALSE
1,1023494,"ZDRAHALOVA Nikola","ZDRAHALOVA N","Nikola","Zdráhalová","226",5,17,2240,"Czech Republic","CZE",25,25,"25","39.18","39.18",39180,2140,TRUE,FALSE
1,582076,"HUANG Yu-Ting","HUANG YT","Yu-Ting","Huang","274",12,31,2784,"Chinese Taipei","TPE",26,26,"26","39.23","39.23",39230,2190,TRUE,FALSE
1,832380,"MCLEAN Heather","MCLEAN H","Heather","McLean","212",15,159,2231,"Canada","CAN",27,27,"27","39.31","39.31",39310,2270,TRUE,FALSE
1,1039390,"TAS Sandrine","TAS S","Sandrine","Tas","203",3,147,2205,"Belgium","BEL",28,28,"28","39.37","39.37",39370,2330,TRUE,FALSE
1,1362333,"HOGAS Mihaela","HOGAS M","Mihaela","Hogas","272",1,164,2244,"Romania","ROU",29,29,"29","39.45","39.45",39450,2410,TRUE,FALSE
1,843269,"RODRIGUEZ Victoria","RODRIGUEZ V","Victoria","Rodríguez","201",2,24,2768,"Argentina","ARG",30,30,"30","39.70","39.70",39700,2660,TRUE,FALSE
