"n_ParticipantType","n_ParticipantID","c_Participant","c_ParticipantShort","c_ParticipantFirstName","c_ParticipantLastName","c_Bib","n_StartOrder","n_ID","n_GeoID","c_Name","c_Short","n_Rank","n_RankSort","c_Rank","c_Result","c_ResultAbs","n_TimeAbs","n_TimeRel","b_Completed","b_Upcoming"
1,1023480,"VAN DER POEL Nils","VAN DER POEL N","Nils","van der Poel","80",9,154,2222,"Sweden","SWE",1,1,"1","12:30.74","12:30.74",750740,0,TRUE,FALSE
1,1184564,"ROEST Patrick","ROEST P","Patrick","Roest","55",4,1,2201,"Netherlands","NED",2,2,"2","12:44.59","12:44.59",764590,13850,TRUE,FALSE
1,1275708,"GHIOTTO Davide","GHIOTTO D","Davide","Ghiotto","27",10,6,2210,"Italy","ITA",3,3,"3","12:45.98","12:45.98",765980,15240,TRUE,FALSE
1,189690,"BERGSMA Jorrit","BERGSMA J","Jorrit","Bergsma","49",8,1,2201,"Netherlands","NED",4,4,"4","12:48.94","12:48.94",768940,18200,TRUE,FALSE
1,699657,"RUMYANTSEV Aleksandr","RUMYANTSEV A","Aleksandr","Rumyantsev","76",7,23062,73035,"ROC","ROC",5,5,"5","12:51.33","12:51.33",771330,20590,TRUE,FALSE
1,1552450,"FISH Graeme","FISH G","Graeme","Fish","8",2,159,2231,"Canada","CAN",6,6,"6","12:58.80","12:58.80",778800,28060,TRUE,FALSE
1,334955,"BECKERT Patrick","BECKERT P","Patrick","Beckert","23",6,2,2206,"Germany","GER",7,7,"7","13:01.23","13:01.23",781230,30490,TRUE,FALSE
1,188853,"BLOEMEN Ted-Jan","BLOEMEN TJ","Ted-Jan","Bloemen","6",11,159,2231,"Canada","CAN",8,8,"8","13:01.39","13:01.39",781390,30650,TRUE,FALSE
1,1053179,"MALFATTI Michele","MALFATTI M","Michele","Malfatti","29",3,6,2210,"Italy","ITA",9,9,"9","13:01.42","13:01.42",781420,30680,TRUE,FALSE
1,730582,"SWINGS Bart","SWINGS B","Bart","Swings","2",12,147,2205,"Belgium","BEL",10,10,"10","13:02.43","13:02.43",782430,31690,TRUE,FALSE
1,1113755,"TSUCHIYA Ryosuke","TSUCHIYA R","Ryosuke","Tsuchiya","38",5,18,2241,"Japan","JPN",11,11,"11","13:02.49","13:02.49",782490,31750,TRUE,FALSE
1,679087,"MICHAEL Peter","MICHAEL P","Peter","Michael","65",1,158,2230,"New Zealand","NZL",12,12,"12","13:33.53","13:33.53",813530,62790,TRUE,FALSE
