"n_ParticipantType","n_ParticipantID","c_Participant","c_ParticipantShort","c_ParticipantFirstName","c_ParticipantLastName","c_Bib","n_StartOrder","NOC.n_ID","NOC.n_GeoID","NOC.c_Name","NOC.c_Short","n_Rank","n_RankSort","c_Rank","c_Result","c_ResultAbs","n_TimeAbs","n_TimeRel","b_Completed","b_Upcoming"
1, 700821,"NUIS Kjeld","NUIS K","Kjeld","Nuis","53",21,    1, 2201,Netherlands,NED, 1, 1,"1","1:43.21","1:43.21",103210,   0,TRUE,FALSE
1, 749959,"KROL Thomas","KROL T","Thomas","Krol","52",18,    1, 2201,Netherlands,NED, 2, 2,"2","1:43.55","1:43.55",103550, 340,TRUE,FALSE
1,1246985,"KIM Min-Seok","KIM MS","Min-Seok","Kim","45",20,  106, 4391,South Korea,KOR, 3, 3,"3","1:44.24","1:44.24",104240,1030,TRUE,FALSE
1,1936561,"KONGSHAUG Peder","KONGSHAUG P","Peder","Kongshaug","60",19,  153, 2221,Norway,NOR, 4, 4,"4","1:44.39","1:44.39",104390,1180,TRUE,FALSE
1,1630234,"HOWE Connor","HOWE C","Connor","Howe","10",29,  159, 2231,Canada,CAN, 5, 5,"5","1:44.86","1:44.86",104860,1650,TRUE,FALSE
1, 580696,"MANTIA Joey","MANTIA J","Joey","Mantia","85",25,    5, 2209,United States,USA, 6, 6,"6","1:45.26","1:45.26",105260,2050,TRUE,FALSE
1,1720677,"ZHONGYAN Ning","ZHONGYAN N","Zhongyan","Ning","15",27,   26, 2770,China,CHN, 7, 7,"7","1:45.28","1:45.28",105280,2070,TRUE,FALSE
1,1223486,"TROFIMOV Sergey","TROFIMOV S","Sergey","Trofimov","77",17,23062,73035,ROC,ROC, 8, 8,"8","1:45.32","1:45.32",105320,2110,TRUE,FALSE
1, 761305,"BOSKER Marcel","BOSKER M","Marcel","Bosker","50", 7,    1, 2201,Netherlands,NED, 9, 9,"9","1:45.42","1:45.42",105420,2210,TRUE,FALSE
1,1023471,"ICHINOHE Seitaro","ICHINOHE S","Seitaro","Ichinohe","32",24,   18, 2241,Japan,JPN,10,10,"10","1:45.53","1:45.53",105530,2320,TRUE,FALSE
1, 919825,"LEHMAN Emery","LEHMAN E","Emery","Lehman","84",16,    5, 2209,United States,USA,11,11,"11","1:45.78","1:45.78",105780,2570,TRUE,FALSE
1,1362308,"JOHANSSON Allan Dahl","JOHANSSON AD","Allan Dahl","Johansson","59",28,  153, 2221,Norway,NOR,12,12,"12","1:45.81","1:45.81",105810,2600,TRUE,FALSE
1, 730582,"SWINGS Bart","SWINGS B","Bart","Swings","2",23,  147, 2205,Belgium,BEL,13,13,"13","1:45.82","1:45.82",105820,2610,TRUE,FALSE
1,1778799,"ALDOSHKIN Daniil","ALDOSHKIN D","Daniil","Aldoshkin","71",12,23062,73035,ROC,ROC,14,14,"14","1:46.33","1:46.33",106330,3120,TRUE,FALSE
1, 582171,"ZAKHAROV Ruslan","ZAKHAROV R","Ruslan","Zakharov","78", 4,23062,73035,ROC,ROC,15,15,"15","1:46.46","1:46.46",106460,3250,TRUE,FALSE
1,1762256,"ULEKLEIV Kristian","ULEKLEIV K","Kristian","Ulekleiv","64",22,  153, 2221,Norway,NOR,16,16,"16","1:46.56","1:46.56",106560,3350,TRUE,FALSE
