"n_PersonID","Team","c_Person","c_PersonShort","c_PersonFirstName","c_PersonLastName","c_FunctionShort","n_Sort","c_Value_GAME_SUCCESS","c_Value_CW","c_Value_CCW","c_Value_DRAW","c_Value_TAKEOUT","c_ValueRelative_GAME_SUCCESS","c_ValueRelative_CW","c_ValueRelative_CCW","c_ValueRelative_DRAW","c_ValueRelative_TAKEOUT"
1245715,"CHN","LING Zhi","LING Z","Zhi","Ling","M",5,"23","11","12","17","6","84","84","83","81","92"
2272511,"CHN","FAN Suyuan","FAN S","Suyuan","Fan","F",5,"15","6","9","10","5","73","67","78","93","35"
338028,"CAN","MORRIS John","MORRIS J","John","Morris","M",5,"24","9","15","18","6","88","89","87","88","88"
842605,"CAN","HOMAN Rachel","HOMAN R","Rachel","Homan","F",5,"15","7","8","12","3","80","89","72","79","83"
