"n_ParticipantType","n_ParticipantID","c_Participant","c_ParticipantShort","c_ParticipantFirstName","c_ParticipantLastName","c_Bib","n_StartOrder","NOC.n_ID","NOC.n_GeoID","NOC.c_Name","NOC.c_Short","n_Rank","n_RankSort","c_Rank","c_Result","c_ResultAbs","n_TimeAbs","n_TimeRel","b_Completed","b_Upcoming","c_ODF_IRM"
1, 723414,"TAKAGI Miho","TAKAGI M","Miho","Takagi","237",25,   18, 2241,Japan,JPN, 1, 1,"1","1:13.19","1:13.19",73190,   0,TRUE,FALSE,NA
1,1342250,"LEERDAM Jutta","LEERDAM J","Jutta","Leerdam","251",22,    1, 2201,Netherlands,NED, 2, 2,"2","1:13.83","1:13.83",73830, 640,TRUE,FALSE,NA
1, 671585,"BOWE Brittany","BOWE B","Brittany","Bowe","276",30,    5, 2209,United States,USA, 3, 3,"3","1:14.61","1:14.61",74610,1420,TRUE,FALSE,NA
1, 699671,"GOLIKOVA Angelina","GOLIKOVA A","Angelina","Golikova","265",26,23062,73035,ROC,ROC, 4, 4,"4","1:14.71","1:14.71",74710,1520,TRUE,FALSE,NA
1, 816627,"DE JONG Antoinette","DE JONG A","Antoinette","de Jong","246", 6,    1, 2201,Netherlands,NED, 5, 5,"5","1:14.92","1:14.92",74920,1730,TRUE,FALSE,NA
1, 222453,"WUST Ireen","WUST I","Ireen","Wüst","253",24,    1, 2201,Netherlands,NED, 6, 6,"6","1:15.11","1:15.11",75110,1920,TRUE,FALSE,NA
1,1221419,"GOETZ Kimi","GOETZ K","Kimi","Goetz","277",21,    5, 2209,United States,USA, 7, 7,"7","1:15.40","1:15.40",75400,2210,TRUE,FALSE,NA
1, 818550,"HERZOG Vanessa","HERZOG V","Vanessa","Herzog","202", 9,  151, 2219,Austria,AUT, 8, 8,"8","1:15.644","1:15.644",75644,2450,TRUE,FALSE,NA
1,1246977,"KACHANOVA Daria","KACHANOVA D","Daria","Kachanova","268",29,23062,73035,ROC,ROC, 9, 9,"9","1:15.649","1:15.649",75649,2450,TRUE,FALSE,NA
1, 234611,"KODAIRA Nao","KODAIRA N","Nao","Kodaira","233",28,   18, 2241,Japan,JPN,10,10,"10","1:15.65","1:15.65",75650,2460,TRUE,FALSE,NA
1,1453623,"MOROZOVA Nadezhda","MOROZOVA N","Nadezhda","Morozova","240",11,  160, 2236,Kazakhstan,KAZ,11,11,"11","1:15.69","1:15.69",75690,2500,TRUE,FALSE,NA
1,1778797,"SCOTT Alexa","SCOTT A","Alexa","Scott","214", 3,  159, 2231,Canada,CAN,12,12,"12","1:15.79","1:15.79",75790,2600,TRUE,FALSE,NA
1, 720273,"FATKULINA Olga","FATKULINA O","Olga","Fatkulina","264",19,23062,73035,ROC,ROC,13,13,"13","1:15.87","1:15.87",75870,2680,TRUE,FALSE,NA
1,1221511,"LI Qishi","LI Q","Qishi","Li","220",27,   26, 2770,China,CHN,14,14,"14","1:15.99","1:15.99",75990,2800,TRUE,FALSE,NA
1,1458630,"YIN Qi","YIN Q","Qi","Yin","223",10,   26, 2770,China,CHN,15,15,"15","1:16.00","1:16.00",76000,2810,TRUE,FALSE,NA
1,1223497,"MIN-SUN Kim","MIN-SUN K","Min Sun","Kim","243",15,  106, 4391,South Korea,KOR,16,16,"16","1:16.49","1:16.49",76490,3300,TRUE,FALSE,NA
1,1362332,"BOSIEK Karolina","BOSIEK K","Karolina","Bosiek","259",16,  150, 2214,Poland,POL,17,17,"17","1:16.54","1:16.54",76540,3350,TRUE,FALSE,NA
1,1559989,"WIKLUND Ragne","WIKLUND R","Ragne","Wiklund","258", 8,  153, 2221,Norway,NOR,18,18,"18","1:16.59","1:16.59",76590,3400,TRUE,FALSE,NA
1, 720274,"AYDOVA Yekaterina","AYDOVA Y","Yekaterina","Aydova","239",20,  160, 2236,Kazakhstan,KAZ,19,19,"19","1:16.70","1:16.70",76700,3510,TRUE,FALSE,NA
