"n_ParticipantType1","n_ParticipantType2","n_ParticipantID1","n_ParticipantID2","c_Participant1","c_Participant2","c_ParticipantShort1","c_ParticipantShort2","c_ParticipantLastName1","c_ParticipantLastName2","n_StartOrder1","n_StartOrder2","NOC.n_ID1","NOC.n_ID2","NOC.n_GeoID1","NOC.n_GeoID2","NOC.c_Name1","NOC.c_Name2","NOC.c_Short1","NOC.c_Short2","n_Rank1","n_Rank2","n_RankSort1","n_RankSort2","c_Rank1","c_Rank2","c_Result1","c_Result2","c_ResultAbs1","c_ResultAbs2","n_TimeAbs1","n_TimeAbs2","n_TimeRel1","n_TimeRel2","c_ODF_QualificationMark1","c_ODF_QualificationMark2","b_Completed1","b_Completed2","b_Upcoming1","b_Upcoming2","TeamMemberList.n_Position1","TeamMemberList.n_Position2","TeamMemberList.n_Position3","TeamMemberList.n_PersonID1","TeamMemberList.n_PersonID2","TeamMemberList.n_PersonID3","TeamMemberList.c_Person1","TeamMemberList.c_Person2","TeamMemberList.c_Person3","TeamMemberList.c_PersonFirstName1","TeamMemberList.c_PersonFirstName2","TeamMemberList.c_PersonFirstName3","TeamMemberList.c_PersonLastName1","TeamMemberList.c_PersonLastName2","TeamMemberList.c_PersonLastName3","TeamMemberList.c_PersonShort1","TeamMemberList.c_PersonShort2","TeamMemberList.c_PersonShort3","TeamMemberList.c_Bib1","TeamMemberList.c_Bib2","TeamMemberList.c_Bib3","TeamMemberList.n_Position1.1","TeamMemberList.n_Position2.1","TeamMemberList.n_Position3.1","TeamMemberList.n_PersonID1.1","TeamMemberList.n_PersonID2.1","TeamMemberList.n_PersonID3.1","TeamMemberList.c_Person1.1","TeamMemberList.c_Person2.1","TeamMemberList.c_Person3.1","TeamMemberList.c_PersonFirstName1.1","TeamMemberList.c_PersonFirstName2.1","TeamMemberList.c_PersonFirstName3.1","TeamMemberList.c_PersonLastName1.1","TeamMemberList.c_PersonLastName2.1","TeamMemberList.c_PersonLastName3.1","TeamMemberList.c_PersonShort1.1","TeamMemberList.c_PersonShort2.1","TeamMemberList.c_PersonShort3.1","TeamMemberList.c_Bib1.1","TeamMemberList.c_Bib2.1","TeamMemberList.c_Bib3.1"
"4","4","33728","475665","Japan","ROC","JPN","ROC","Japan","ROC","2","1","18","23062","2241","73035","Japan","ROC","JPN","ROC","1","2","1","2","1","2","2:58.93","3:05.92","2:58.93","3:05.92","178930","185920","0","6990","FA","FB","TRUE","TRUE","FALSE","FALSE","1","2","3","1146729","723414","818501","SATO Ayano","TAKAGI Miho","TAKAGI Nana","Ayano","Miho","Nana","Sato","Takagi","Takagi","SATO A","TAKAGI M","TAKAGI N","2","3","4","1","2","3","1023486","699664","1246989","GOLUBEVA Elizaveta","LALENKOVA Evgenia","VORONINA Natalya","Elizaveta","Evgenia","Natalya","Golubeva","Lalenkova","Voronina","GOLUBEVA E","LALENKOVA E","VORONINA N","1","3","4"
"4","4","33731","33712","Canada","Netherlands","CAN","NED","Canada","Netherlands","2","1","159","1","2231","2201","Canada","Netherlands","CAN","NED","1","2","1","2","1","2","2:54.96","2:55.94","2:54.96","2:55.94","174960","175940","0","980","FA","FB","TRUE","TRUE","FALSE","FALSE","1","2","3","652005","751659","1228816","BLONDIN Ivanie","MALTAIS Valerie","WEIDEMANN Isabelle","Ivanie","Valérie","Isabelle","Blondin","Maltais","Weidemann","BLONDIN I","MALTAIS V","WEIDEMANN I","1","2","4","1","2","3","816627","642928","222453","DE JONG Antoinette","SCHOUTEN Irene","WUST Ireen","Antoinette","Irene","Ireen","de Jong","Schouten","Wüst","DE JONG A","SCHOUTEN I","WUST I","1","3","4"
