"n_ParticipantType","n_ParticipantID","c_Participant","c_ParticipantShort","c_ParticipantLastName","n_StartOrder","NOC.n_ID","NOC.n_GeoID","NOC.c_Name","NOC.c_Short","n_Rank","n_RankSort","c_Rank","c_Result","c_ResultAbs","n_TimeAbs","n_TimeRel","c_ODF_QualificationMark","b_Completed","b_Upcoming","key"
4, 33743,"Norway","NOR","Norway",6,  153, 2221,Norway,NOR,1,1,"1","3:37.47","3:37.47",217470,    0,"SF1",TRUE,FALSE,1
4, 33735,"United States","USA","United States",5,    5, 2209,United States,USA,2,2,"2","3:37.51","3:37.51",217510,   40,"SF2",TRUE,FALSE,2
4,475665,"ROC","ROC","ROC",8,23062,73035,ROC,ROC,3,3,"3","3:38.67","3:38.67",218670, 1200,"SF2",TRUE,FALSE,3
4, 33712,"Netherlands","NED","Netherlands",3,    1, 2201,Netherlands,NED,4,4,"4","3:38.90","3:38.90",218900, 1430,"SF1",TRUE,FALSE,4
4, 33731,"Canada","CAN","Canada",4,  159, 2231,Canada,CAN,5,5,"5","3:40.17","3:40.17",220170, 2700,"FC",TRUE,FALSE,5
4, 33714,"South Korea","KOR","Korea",1,  106, 4391,South Korea,KOR,6,6,"6","3:41.89","3:41.89",221890, 4420,"FC",TRUE,FALSE,6
4, 33746,"Italy","ITA","Italy",2,    6, 2210,Italy,ITA,7,7,"7","3:42.04","3:42.04",222040, 4570,"FD",TRUE,FALSE,7
4, 33738,"China","CHN","China",7,   26, 2770,China,CHN,8,8,"8","3:52.25","3:52.25",232250,14780,"FD",TRUE,FALSE,8
