"n_ParticipantType","n_ParticipantID","c_Participant","c_ParticipantShort","c_ParticipantFirstName","c_ParticipantLastName","c_Bib","n_StartOrder","NOC.n_ID","NOC.n_GeoID","NOC.c_Name","NOC.c_Short","n_Rank","n_RankSort","c_Rank","c_Result","c_ResultAbs","n_TimeAbs","n_TimeRel","b_Completed","b_Upcoming"
1, 642928,"SCHOUTEN Irene","SCHOUTEN I","Irene","Schouten","252",11,    1, 2201,Netherlands,NED, 1, 1,"1","6:43.51","6:43.51",403510,    0,TRUE,FALSE
1,1228816,"WEIDEMANN Isabelle","WEIDEMANN I","Isabelle","Weidemann","215", 9,  159, 2231,Canada,CAN, 2, 2,"2","6:48.18","6:48.18",408180, 4670,TRUE,FALSE
1, 210868,"SABLIKOVA Martina","SABLIKOVA M","Martina","Sáblíková","225", 7,   17, 2240,Czech Republic,CZE, 3, 3,"3","6:50.09","6:50.09",410090, 6580,TRUE,FALSE
1, 703475,"LOLLOBRIGIDA Francesca","LOLLOBRIGIDA F","Francesca","Lollobrigida","230",12,    6, 2210,Italy,ITA, 4, 4,"4","6:51.76","6:51.76",411760, 8250,TRUE,FALSE
1,1559989,"WIKLUND Ragne","WIKLUND R","Ragne","Wiklund","258",10,  153, 2221,Norway,NOR, 5, 5,"5","6:56.34","6:56.34",416340,12830,TRUE,FALSE
1,1246989,"VORONINA Natalya","VORONINA N","Natalya","Voronina","271", 6,23062,73035,ROC,ROC, 6, 6,"6","6:56.99","6:56.99",416990,13480,TRUE,FALSE
1, 217463,"IN 'T HOF Sanne","IN 'T HOF S","Sanne","in 't Hof","249", 5,    1, 2201,Netherlands,NED, 7, 7,"7","6:59.77","6:59.77",419770,16260,TRUE,FALSE
1, 813169,"OSHIGIRI Misaki","OSHIGIRI M","Misaki","Oshigiri","235", 8,   18, 2241,Japan,JPN, 8, 8,"8","7:01.17","7:01.17",421170,17660,TRUE,FALSE
1, 985487,"ZUEVA Marina","ZUEVA M","Marina","Zueva","207", 2,  103, 4387,Belarus,BLR, 9, 9,"9","7:02.91","7:02.91",422910,19400,TRUE,FALSE
1,2076415,"HORIKAWA Momoka","HORIKAWA M","Momoka","Horikawa","232", 1,   18, 2241,Japan,JPN,10,10,"10","7:06.92","7:06.92",426920,23410,TRUE,FALSE
1,1146730,"HAN Mei","HAN M","Mei","Han","218", 3,   26, 2770,China,CHN,11,11,"11","7:08.37","7:08.37",428370,24860,TRUE,FALSE
1,1146782,"CZYSZCZON Magdalena","CZYSZCZON M","Magdalena","Czyszczon","261", 4,  150, 2214,Poland,POL,12,12,"12","7:21.49","7:21.49",441490,37980,TRUE,FALSE
