"n_ParticipantType","n_ParticipantID","c_Participant","c_ParticipantShort","c_ParticipantFirstName","c_ParticipantLastName","c_Bib","n_StartOrder","NOC.n_ID","NOC.n_GeoID","NOC.c_Name","NOC.c_Short","n_Rank","n_RankSort","c_Rank","c_Result","c_ResultAbs","n_TimeAbs","n_TimeRel","b_Completed","b_Upcoming"
1,1023480,"VAN DER POEL Nils","VAN DER POEL N","Nils","van der Poel","80",19,  154, 2222,Sweden,SWE, 1, 1,"1","6:08.84","6:08.84",368840,    0,TRUE,FALSE
1,1184564,"ROEST Patrick","ROEST P","Patrick","Roest","55",10,    1, 2201,Netherlands,NED, 2, 2,"2","6:09.31","6:09.31",369310,  470,TRUE,FALSE
1,1716678,"ENGEBRAATEN Hallgeir","ENGEBRAATEN H","Hallgeir","Engebråten","58", 6,  153, 2221,Norway,NOR, 3, 3,"3","6:09.88","6:09.88",369880, 1040,TRUE,FALSE
1,1223486,"TROFIMOV Sergey","TROFIMOV S","Sergey","Trofimov","77", 5,23062,73035,ROC,ROC, 4, 4,"4","6:10.27","6:10.27",370270, 1430,TRUE,FALSE
1, 189690,"BERGSMA Jorrit","BERGSMA J","Jorrit","Bergsma","49",11,    1, 2201,Netherlands,NED, 5, 5,"5","6:13.18","6:13.18",373180, 4340,TRUE,FALSE
1, 699657,"RUMYANTSEV Aleksandr","RUMYANTSEV A","Aleksandr","Rumyantsev","76",15,23062,73035,ROC,ROC, 6, 6,"6","6:15.02","6:15.02",375020, 6180,TRUE,FALSE
1, 730582,"SWINGS Bart","SWINGS B","Bart","Swings","2",20,  147, 2205,Belgium,BEL, 7, 7,"7","6:16.90","6:16.90",376900, 8060,TRUE,FALSE
1,1275708,"GHIOTTO Davide","GHIOTTO D","Davide","Ghiotto","27",16,    6, 2210,Italy,ITA, 8, 8,"8","6:16.92","6:16.92",376920, 8080,TRUE,FALSE
1, 170973,"KRAMER Sven","KRAMER S","Sven","Kramer","51", 1,    1, 2201,Netherlands,NED, 9, 9,"9","6:17.04","6:17.04",377040, 8200,TRUE,FALSE
1, 188853,"BLOEMEN Ted-Jan","BLOEMEN TJ","Ted-Jan","Bloemen","6",18,  159, 2231,Canada,CAN,10,10,"10","6:19.11","6:19.11",379110,10270,TRUE,FALSE
1, 334955,"BECKERT Patrick","BECKERT P","Patrick","Beckert","23",13,    2, 2206,Germany,GER,11,11,"11","6:19.58","6:19.58",379580,10740,TRUE,FALSE
1,1023471,"ICHINOHE Seitaro","ICHINOHE S","Seitaro","Ichinohe","32",12,   18, 2241,Japan,JPN,12,12,"12","6:19.81","6:19.81",379810,10970,TRUE,FALSE
1, 840726,"RIJHNEN Felix","RIJHNEN F","Felix","Rijhnen","25", 4,    2, 2206,Germany,GER,13,13,"13","6:19.86","6:19.86",379860,11020,TRUE,FALSE
1, 582171,"ZAKHAROV Ruslan","ZAKHAROV R","Ruslan","Zakharov","78",17,23062,73035,ROC,ROC,14,14,"14","6:21.00","6:21.00",381000,12160,TRUE,FALSE
1,1053179,"MALFATTI Michele","MALFATTI M","Michele","Malfatti","29",14,    6, 2210,Italy,ITA,15,15,"15","6:21.47","6:21.47",381470,12630,TRUE,FALSE
1, 919825,"LEHMAN Emery","LEHMAN E","Emery","Lehman","84", 3,    5, 2209,United States,USA,16,16,"16","6:21.80","6:21.80",381800,12960,TRUE,FALSE
1,1482135,"CEPURAN Ethan","CEPURAN E","Ethan","Cepuran","81", 8,    5, 2209,United States,USA,17,17,"17","6:25.97","6:25.97",385970,17130,TRUE,FALSE
1,1184557,"WENGER Livio","WENGER L","Livio","Wenger","79", 7,  149, 2213,Switzerland,SUI,18,18,"18","6:27.01","6:27.01",387010,18170,TRUE,FALSE
1, 851601,"THORUP Viktor Hald","THORUP VH","Viktor Hald","Thorup","20", 2,  152, 2220,Denmark,DEN,19,19,"19","6:28.87","6:28.87",388870,20030,TRUE,FALSE
1, 919827,"GIOVANNINI Andrea","GIOVANNINI A","Andrea","Giovannini","28", 9,    6, 2210,Italy,ITA,20,20,"20","6:30.11","6:30.11",390110,21270,TRUE,FALSE
