"SportId","SportTypeId","Sport","SportShort","Season","Season_2","Edition","EventMatchId","ActiveNavigationMatchId","EventId","EventTypeId","Event","EventShort","EventSort","GenderId","Gender","GenderShort","GenderEventId","GenderEvent","GenderEventShort","DateStartLocal","DateStartLocal_2","DateStartUtc","DateStartUtc_2","DateEndLocal","DateEndLocal_2","DateEndUtc","DateEndUtc_2","VenueGeoId","Venue","LocationGeoId","Location","CountryGeoId","Country","CountryShort","StartList","Started","Finished","HasTableMatchs","Rank1ParticipantTypeId","Rank1Participant","Rank1ParticipantShort","Rank1PersonId","Rank1TeamId","Rank1Nocid","Rank1NocGeoId","Rank1NocGeoId_2","Rank1Noc","Rank1NocShort","Rank1TeamMember1PersonId","Rank1TeamMember1Person","Rank1TeamMember1PersonShort","Rank1TeamMember2PersonId","Rank1TeamMember2Person","Rank1TeamMember2PersonShort","Rank2ParticipantTypeId","Rank2Participant","Rank2ParticipantShort","Rank2PersonId","Rank2TeamId","Rank2Nocid","Rank2NocGeoId","Rank2NocGeoId_2","Rank2Noc","Rank2NocShort","Rank2TeamMember1PersonId","Rank2TeamMember1Person","Rank2TeamMember1PersonShort","Rank2TeamMember2PersonId","Rank2TeamMember2Person","Rank2TeamMember2PersonShort","Rank3ParticipantTypeId","Rank3Participant","Rank3ParticipantShort","Rank3PersonId","Rank3TeamId","Rank3Nocid","Rank3NocGeoId","Rank3NocGeoId_2","Rank3Noc","Rank3NocShort","Rank3TeamMember1PersonId","Rank3TeamMember1Person","Rank3TeamMember1PersonShort","Rank3TeamMember2PersonId","Rank3TeamMember2Person","Rank3TeamMember2PersonShort","RscCode"
217,3,"Figure Skating","FSK",20212022,"2021/2022","2022",1939314,2412557,10072,1,"Singles","S",10001,1,"Men","M",7712,"Men's Singles","Men's Singles","/Date(1644311700000+0000)/","2022-02-08T09:15:00","/Date(1644282900000+0000)/","2022-02-08T01:15:00","/Date(1644499620000+0000)/","2022-02-10T13:27:00","/Date(1644470820000+0000)/","2022-02-10T05:27:00",41407,"Capital Indoor Stadium",3647,"Beijing",2770,"China","CHN",FALSE,TRUE,TRUE,FALSE,1,"CHEN Nathan","CHEN N",1203661,413,5,2209,"2209","United States","USA",NA,NA,NA,NA,NA,NA,1,"KAGIYAMA Yuma","KAGIYAMA Y",1879961,331,18,2241,"2241","Japan","JPN",NA,NA,NA,NA,NA,NA,1,"UNO Shoma","UNO S",1020612,331,18,2241,"2241","Japan","JPN",NA,NA,NA,NA,NA,NA,"FSKMSINGLES-----------QUAL000100--"
217,3,"Figure Skating","FSK",20212022,"2021/2022","2022",1939315,2412563,10072,1,"Singles","S",10001,2,"Women","W",4137,"Women's Singles","Women's Singles","/Date(1644948000000+0000)/","2022-02-15T18:00:00","/Date(1644919200000+0000)/","2022-02-15T10:00:00","/Date(1645135060000+0000)/","2022-02-17T21:57:40","/Date(1645106260000+0000)/","2022-02-17T13:57:40",41407,"Capital Indoor Stadium",3647,"Beijing",2770,"China","CHN",FALSE,TRUE,TRUE,FALSE,1,"SHCHERBAKOVA Anna","SHCHERBAKOVA A",1855011,475659,23062,73035,"73035","ROC","ROC",NA,NA,NA,NA,NA,NA,1,"TRUSOVA Aleksandra","TRUSOVA A",1699923,475659,23062,73035,"73035","ROC","ROC",NA,NA,NA,NA,NA,NA,1,"SAKAMOTO Kaori","SAKAMOTO K",1208583,331,18,2241,"2241","Japan","JPN",NA,NA,NA,NA,NA,NA,"FSKWSINGLES-----------QUAL000100--"
217,3,"Figure Skating","FSK",20212022,"2021/2022","2022",1939316,2412567,10071,2,"Pairs","P",10003,4,"Mixed","X",5361,"Pairs","Pairs","/Date(1645209000000+0000)/","2022-02-18T18:30:00","/Date(1645180200000+0000)/","2022-02-18T10:30:00","/Date(1645307620000+0000)/","2022-02-19T21:53:40","/Date(1645278820000+0000)/","2022-02-19T13:53:40",41407,"Capital Indoor Stadium",3647,"Beijing",2770,"China","CHN",FALSE,TRUE,TRUE,FALSE,2,"Sui/Han","Sui/Han",-1,59871,26,2770,"2770","China","CHN",822756,"Sui Wenjing","Sui W J",822757,"Han Cong","Han C",2,"Tarasova/Morozov","Tarasova/Morozov",NA,67651,23062,73035,"73035","ROC","ROC",836394,"Evgeniya Tarasova","E. Tarasova",1138189,"Vladimir Morozov","V. Morozov",2,"Mishina/Galiamov","Mishina/Galiamov",NA,443457,23062,73035,"73035","ROC","ROC",1426960,"Anastasia Mishina","A. Mishina",1778023,"Aleksandr Galiamov","A. Galiamov","FSKXPAIRS-------------QUAL000100--"
217,3,"Figure Skating","FSK",20212022,"2021/2022","2022",1939317,2412560,10070,2,"Ice Dance","D",10004,4,"Mixed","X",7760,"Ice Dance","Ice Dance","/Date(1644692400000+0000)/","2022-02-12T19:00:00","/Date(1644663600000+0000)/","2022-02-12T11:00:00","/Date(1644842180000+0000)/","2022-02-14T12:36:20","/Date(1644813380000+0000)/","2022-02-14T04:36:20",41407,"Capital Indoor Stadium",3647,"Beijing",2770,"China","CHN",FALSE,TRUE,TRUE,FALSE,2,"Papadakis/Cizeron","Papadakis/Cizeron",-1,66624,144,2202,"2202","France","FRA",840259,"Gabriella Papadakis","G. Papadakis",840260,"Guillaume Cizeron","G. Cizeron",2,"Sinitsina/Katsalapov","Sinitsina/Katsalapov",NA,67659,23062,73035,"73035","ROC","ROC",836542,"Viktoria Sinitsina","V. Sinitsina",834312,"Nikita Katsalapov","N. Katsalapov",2,"Hubbell/Donohue","Hubbell/Donohue",NA,61873,5,2209,"2209","United States","USA",720893,"Madison Hubbell","M. Hubbell",809677,"Zach Donohue","Z. Donohue","FSKXICEDANCE----------QUAL000100--"
217,3,"Figure Skating","FSK",20212022,"2021/2022","2022",1939313,2412552,12319,4,"Team Event","Team",10007,4,"Mixed","X",6025,"Team Event","Team Event","/Date(1643968500000+0000)/","2022-02-04T09:55:00","/Date(1643939700000+0000)/","2022-02-04T01:55:00","/Date(1644236500000+0000)/","2022-02-07T12:21:40","/Date(1644207700000+0000)/","2022-02-07T04:21:40",41407,"Capital Indoor Stadium",3647,"Beijing",2770,"China","CHN",FALSE,TRUE,TRUE,FALSE,4,"ROC","ROC",-1,475659,23062,73035,"73035","ROC","ROC",NA,NA,NA,NA,NA,NA,4,"United States","USA",NA,413,5,2209,"2209","United States","USA",NA,NA,NA,NA,NA,NA,4,"Japan","JPN",NA,331,18,2241,"2241","Japan","JPN",NA,NA,NA,NA,NA,NA,"FSKXTEAM--------------QUAL0004DC--"
