"n_ParticipantType","n_ParticipantID","c_Participant","c_ParticipantShort","c_ParticipantFirstName","c_ParticipantLastName","c_Bib","n_StartOrder","NOC.n_ID","NOC.n_GeoID","NOC.c_Name","NOC.c_Short","n_Rank","n_RankSort","c_Rank","c_Result","c_ResultAbs","n_PointsAbs","c_ODF_QualificationMark","c_ResultInfo_1","c_ResultInfo_2","b_Completed","b_Upcoming","n_BDF_VideoSessionID","c_ODF_IRM"
1,1568767,"SADOWSKI-SYNNOTT Zoi","SADOWSKI-SYNNOTT Z","Zoi","Sadowski-Synnott","1", 2,158,2230,New Zealand,NZL, 1, 1,"1","86.75","86.75",86750,"Q","73.58","86.75",TRUE,FALSE,1,NA
1,1780043,"MURASE Kokomo","MURASE K","Kokomo","Murase","6",10, 18,2241,Japan,JPN, 2, 2,"2","81.45","81.45",81450,"Q","74.95","81.45",TRUE,FALSE,1,NA
1, 723851,"RUKAJARVI Enni","RUKAJARVI E","Enni","Rukajärvi","3", 1,161,2237,Finland,FIN, 3, 3,"3","78.83","78.83",78830,"Q","66.75","78.83",TRUE,FALSE,1,NA
1,1131249,"GASSER Anna","GASSER A","Anna","Gasser","4", 4,151,2219,Austria,AUT, 4, 4,"4","75.00","75.00",75000,"Q","50.71","75.00",TRUE,FALSE,1,NA
1, 807332,"ANDERSON Jamie","ANDERSON J","Jamie","Anderson","2", 5,  5,2209,United States,USA, 5, 5,"5","74.35","74.35",74350,"Q","74.35","53.26",TRUE,FALSE,1,NA
1,1368941,"MARINO Julia","MARINO J","Julia","Marino","9",19,  5,2209,United States,USA, 6, 6,"6","71.78","71.78",71780,"Q","2.91","71.78",TRUE,FALSE,1,NA
1,1019516,"BLOUIN Laurie","BLOUIN L","Laurie","Blouin","8",17,159,2231,Canada,CAN, 7, 7,"7","71.55","71.55",71550,"Q","66.85","71.55",TRUE,FALSE,1,NA
1,1471152,"COADY Tess","COADY T","Tess","Coady","5", 3,157,2229,Australia,AUS, 8, 8,"8","71.13","71.13",71130,"Q","55.98","71.13",TRUE,FALSE,1,NA
1,1359652,"LANGLAND Hailey","LANGLAND H","Hailey","Langland","12", 9,  5,2209,United States,USA, 9, 9,"9","68.71","68.71",68710,"Q","28.31","68.71",TRUE,FALSE,1,NA
1,1132383,"MORGAN Annika","MORGAN A","Annika","Morgan","11",24,  2,2206,Germany,GER,10,10,"10","67.63","67.63",67630,"Q","29.61","67.63",TRUE,FALSE,1,NA
1,1367876,"IWABUCHI Reira","IWABUCHI R","Reira","Iwabuchi","7",14, 18,2241,Japan,JPN,11,11,"11","67.00","67.00",67000,"Q","48.51","67.00",TRUE,FALSE,1,NA
1,1132374,"BURRI Ariane","BURRI A","Ariane","Burri","19",28,149,2213,Switzerland,SUI,12,12,"12","65.55","65.55",65550,"Q","33.15","65.55",TRUE,FALSE,1,NA
1,1487237,"PEPERKAMP Melissa","PEPERKAMP M","Melissa","Peperkamp","10",18,  1,2201,Netherlands,NED,13,13,"13","61.26","61.26",61260,NA,"61.26","60.18",TRUE,FALSE,1,NA
1,1761931,"POPPE Evy","POPPE E","Evy","Poppe","13",22,147,2205,Belgium,BEL,14,14,"14","56.80","56.80",56800,NA,"47.08","56.80",TRUE,FALSE,1,NA
1,1495000,"BAIRD Jasmine","BAIRD J","Jasmine","Baird","14",20,159,2231,Canada,CAN,15,15,"15","49.50","49.50",49500,NA,"49.50","14.41",TRUE,FALSE,1,NA
1,1132439,"EILERTSEN Hanne","EILERTSEN H","Hanne","Eilertsen","22", 8,153,2221,Norway,NOR,16,16,"16","48.35","48.35",48350,NA,"48.35","35.30",TRUE,FALSE,1,NA
1,1854986,"RUMMEL Courtney","RUMMEL C","Courtney","Rummel","16",23,  5,2209,United States,USA,17,17,"17","48.30","48.30",48300,NA,"37.18","48.30",TRUE,FALSE,1,NA
1,1131276,"ORMEROD Katie","ORMEROD K","Katie","Ormerod","17", 6,211,4058,Great Britain,GBR,18,18,"18","47.38","47.38",47380,NA,"47.38","44.01",TRUE,FALSE,1,NA
1,1132565,"ONITSUKA Miyabi","ONITSUKA M","Miyabi","Onitsuka","20",13, 18,2241,Japan,JPN,19,19,"19","46.58","46.58",46580,NA,"42.60","46.58",TRUE,FALSE,1,NA
1,1953347,"GISLER Bianca","GISLER B","Bianca","Gisler","21",27,149,2213,Switzerland,SUI,20,20,"20","40.35","40.35",40350,NA,"40.35","38.43",TRUE,FALSE,1,NA
1,1486464,"NIEMELAE Carola","NIEMELAE C","Carola","Niemelä","26", 7,161,2237,Finland,FIN,21,21,"21","38.43","38.43",38430,NA,"22.36","38.43",TRUE,FALSE,1,NA
1, 835165,"VOIGT Brooke","VOIGT B","Brooke","Voigt","18",26,159,2231,Canada,CAN,22,22,"22","37.11","37.11",37110,NA,"37.11","12.78",TRUE,FALSE,1,NA
1,2167018,"WAKUSHIMA Cool","WAKUSHIMA C","Cool","Wakushima","15",30,158,2230,New Zealand,NZL,23,23,"23","34.46","34.46",34460,NA,"34.46","DNS",TRUE,FALSE,1,NA
1, 887832,"PRIBOSIC Urska","PRIBOSIC U","Urška","Pribošic","29",29, 30,2783,Slovenia,SLO,24,24,"24","32.00","32.00",32000,NA,"27.48","32.00",TRUE,FALSE,1,NA
1,2252852,"RONG Ge","RONG G","Ge","Rong","28",11, 26,2770,China,CHN,25,25,"25","29.36","29.36",29360,NA,"29.36","13.01",TRUE,FALSE,1,NA
1, 705866,"PANCOCHOVA Sarka","PANCOCHOVA S","Šárka","Pancochová","23",21, 17,2240,Czech Republic,CZE,26,26,"26","25.51","25.51",25510,NA,"25.51","17.18",TRUE,FALSE,1,NA
1, 981974,"LEFEVRE Lucile","LEFEVRE L","Lucile","Lefèvre","25",12,144,2202,France,FRA,27,27,"27","23.16","23.16",23160,NA,"23.16","21.98",TRUE,FALSE,1,NA
1,1785727,"KOZUBACK Kamilla","KOZUBACK K","Kamilla","Kozuback","31",25, 28,2776,Hungary,HUN,28,28,"28","21.95","21.95",21950,NA,"21.95","19.58",TRUE,FALSE,1,NA
1, 887837,"MEDLOVA Klaudia","MEDLOVA K","Klaudia","Medlová","27",15, 14,2233,Slovakia,SVK,NA,29,NA,"DNS","DNS",NA,NA,"DNS","DNS",TRUE,FALSE,1,"DNS"
