"n_ParticipantType","n_ParticipantID","c_Participant","c_ParticipantShort","c_ParticipantFirstName","c_ParticipantLastName","c_Bib","n_StartOrder","NOC.n_ID","NOC.n_GeoID","NOC.c_Name","NOC.c_Short","n_Rank","n_RankSort","c_Rank","c_Result","c_ResultAbs","n_PointsAbs","c_ResultInfo_1","c_ResultInfo_2","c_ResultInfo_3","b_Completed","b_Upcoming","n_BDF_VideoSessionID"
1,1132380,"HIRANO Ayumu","HIRANO A","Ayumu","Hirano","3",12, 18,2241,Japan,JPN, 1, 1,"1","96.00","96.00",96000,"33.75","91.75","96.00",TRUE,FALSE,1
1, 764037,"JAMES Scotty","JAMES S","Scott","James","2",11,157,2229,Australia,AUS, 2, 2,"2","92.50","92.50",92500,"16.50","92.50","47.75",TRUE,FALSE,1
1, 818966,"SCHERRER Jan","SCHERRER J","Jan","Scherrer","4", 5,149,2213,Switzerland,SUI, 3, 3,"3","87.25","87.25",87250,"70.50","87.25","7.50",TRUE,FALSE,1
1, 347042,"WHITE Shaun","WHITE S","Shaun","White","9", 9,  5,2209,United States,USA, 4, 4,"4","85.00","85.00",85000,"72.00","85.00","14.75",TRUE,FALSE,1
1, 915590,"GOLD Taylor","GOLD T","Taylor","Gold","8", 6,  5,2209,United States,USA, 5, 5,"5","81.75","81.75",81750,"81.75","25.00","20.00",TRUE,FALSE,1
1,1795490,"GUSELI Valentino","GUSELI V","Valentino","Guseli","14", 8,157,2229,Australia,AUS, 6, 6,"6","79.75","79.75",79750,"75.75","79.75","79.75",TRUE,FALSE,1
1,1027739,"JOSEY Chase","JOSEY C","Chase","Josey","11", 1,  5,2209,United States,USA, 7, 7,"7","79.50","79.50",79500,"62.50","23.00","79.50",TRUE,FALSE,1
1,1132368,"HOEFLICH Andre","HOEFLICH A","André","Höflich","6", 3,  2,2206,Germany,GER, 8, 8,"8","76.00","76.00",76000,"13.25","76.00","50.00",TRUE,FALSE,1
1,1724084,"HIRANO Kaishu","HIRANO K","Kaishu","Hirano","13", 4, 18,2241,Japan,JPN, 9, 9,"9","75.50","75.50",75500,"75.50","37.75","15.75",TRUE,FALSE,1
1,1471137,"TOTSUKA Yuto","TOTSUKA Y","Yuto","Totsuka","1", 7, 18,2241,Japan,JPN,10,10,"10","69.75","69.75",69750,"62.00","69.75","26.50",TRUE,FALSE,1
1, 753816,"BURGENER Pat","BURGENER P","Patrick","Burgener","7", 2,149,2213,Switzerland,SUI,11,11,"11","69.50","69.50",69500,"54.50","5.75","69.50",TRUE,FALSE,1
1,1629590,"HIRANO Ruka","HIRANO R","Ruka","Hirano","5",10, 18,2241,Japan,JPN,12,12,"12","13.00","13.00",13000,"13.00","11.75","9.25",TRUE,FALSE,1
