"n_ParticipantType","n_ParticipantID","c_Participant","c_ParticipantShort","c_ParticipantFirstName","c_ParticipantLastName","c_Bib","n_StartOrder","NOC.n_ID","NOC.n_GeoID","NOC.c_Name","NOC.c_Short","n_Rank","n_RankSort","c_Rank","c_Result","c_ResultAbs","n_PointsAbs","c_ODF_QualificationMark","c_ResultInfo_1","c_ResultInfo_2","b_Completed","b_Upcoming","n_BDF_VideoSessionID"
1,1132403,"KIM Chloe","KIM C","Chloe","Kim","2", 2,  5,2209,United States,USA, 1, 1,"1","87.75","87.75",87750,"Q","87.75","8.75",TRUE,FALSE,1
1,1634643,"ONO Mitsuki","ONO M","Mitsuki","Ono","7",10, 18,2241,Japan,JPN, 2, 2,"2","83.75","83.75",83750,"Q","79.50","83.75",TRUE,FALSE,1
1, 764036,"XUETONG Cai","XUETONG C","Xuetong","Cai","1", 4, 26,2770,China,CHN, 3, 3,"3","83.25","83.25",83250,"Q","83.25","55.50",TRUE,FALSE,1
1, 595636,"CASTELLET Queralt","CASTELLET Q","Queralt","Castellet","4", 3,145,2203,Spain,ESP, 4, 4,"4","78.75","78.75",78750,"Q","78.75","49.50",TRUE,FALSE,1
1,1367887,"TOMITA Sena","TOMITA S","Sena","Tomita","6",16, 18,2241,Japan,JPN, 5, 5,"5","75.75","75.75",75750,"Q","75.75","52.00",TRUE,FALSE,1
1,1629595,"TOMITA Ruki","TOMITA R","Ruki","Tomita","8", 9, 18,2241,Japan,JPN, 6, 6,"6","74.25","74.25",74250,"Q","74.25","66.25",TRUE,FALSE,1
1, 655769,"JIAYU Liu","JIAYU L","Jiayu","Liu","3", 1, 26,2770,China,CHN, 7, 7,"7","72.25","72.25",72250,"Q","15.25","72.25",TRUE,FALSE,1
1,1132418,"WICKI Berenice","WICKI B","Berenice","Wicki","12", 6,149,2213,Switzerland,SUI, 8, 8,"8","71.50","71.50",71500,"Q","71.50","40.50",TRUE,FALSE,1
1,1363554,"HOSKING Elizabeth","HOSKING E","Elizabeth","Hosking","10",20,159,2231,Canada,CAN, 9, 9,"9","70.50","70.50",70500,"Q","10.00","70.50",TRUE,FALSE,1
1,1957598,"D'HONDT Brooke","D'HONDT B","Brooke","D'Hondt","16",17,159,2231,Canada,CAN,10,10,"10","70.00","70.00",70000,"Q","69.25","70.00",TRUE,FALSE,1
1,1132518,"ETTEL Leilani","ETTEL L","Leilani","Ettel","17",11,  2,2206,Germany,GER,11,11,"11","68.75","68.75",68750,"Q","68.75","15.75",TRUE,FALSE,1
1,1370498,"QIU Leng","QIU L","Leng","Qiu","13",12, 26,2770,China,CHN,12,12,"12","66.25","66.25",66250,"Q","63.50","66.25",TRUE,FALSE,1
1,1252384,"MASTRO Maddie","MASTRO M","Maddie","Mastro","5", 5,  5,2209,United States,USA,13,13,"13","65.75","65.75",65750,NA,"65.75","51.50",TRUE,FALSE,1
1,1206149,"ARTHUR Emily","ARTHUR E","Emily","Arthur","18",19,157,2229,Australia,AUS,14,14,"14","62.50","62.50",62500,NA,"62.50","19.75",TRUE,FALSE,1
1,1471146,"IMAI Kurumi","IMAI K","Kurumi","Imai","11",13, 18,2241,Japan,JPN,15,15,"15","54.75","54.75",54750,NA,"54.75","49.75",TRUE,FALSE,1
1,1481556,"MAUD Tessa","MAUD T","Tessa","Maud","15",18,  5,2209,United States,USA,16,16,"16","53.50","53.50",53500,NA,"53.50","10.00",TRUE,FALSE,1
1,1238976,"KALAPOS Zoe","KALAPOS Z","Zoe","Kalapos","14",21,  5,2209,United States,USA,17,17,"17","51.75","51.75",51750,NA,"20.00","51.75",TRUE,FALSE,1
1, 705866,"PANCOCHOVA Sarka","PANCOCHOVA S","Šárka","Pancochová","20",22, 17,2240,Czech Republic,CZE,18,18,"18","41.75","41.75",41750,NA,"41.75","18.75",TRUE,FALSE,1
1,1785727,"KOZUBACK Kamilla","KOZUBACK K","Kamilla","Kozuback","22",15, 28,2776,Hungary,HUN,19,19,"19","35.50","35.50",35500,NA,"35.50","15.00",TRUE,FALSE,1
1,1724110,"LEE Na Yoon","LEE NY","Na Yoon","Lee","21", 8,106,4391,South Korea,KOR,20,20,"20","34.50","34.50",34500,NA,"31.00","34.50",TRUE,FALSE,1
1,1132593,"SPITERI Jenise","SPITERI J","Jenise","Spiteri","19",14,233,4360,Malta,MLT,21,21,"21","25.25","25.25",25250,NA,"7.25","25.25",TRUE,FALSE,1
1,1370499,"WU Shaotong","WU S","Shaotong","Wu","9", 7, 26,2770,China,CHN,22,22,"22","16.75","16.75",16750,NA,"10.25","16.75",TRUE,FALSE,1
