"n_ParticipantType","n_ParticipantID","c_Participant","c_ParticipantShort","c_ParticipantFirstName","c_ParticipantLastName","c_Bib","n_StartOrder","NOC.n_ID","NOC.n_GeoID","NOC.c_Name","NOC.c_Short","n_Rank","n_RankSort","c_Rank","c_Result","c_ResultAbs","n_PointsAbs","c_ODF_QualificationMark","c_ResultInfo_1","c_ResultInfo_2","b_Completed","b_Upcoming","n_BDF_VideoSessionID"
1,1957526,"SU Yiming","SU Y","Yiming","Su","16",28,   26, 2770,China,CHN, 1, 1,"1","86.80","86.80",86800,"Q","86.80","41.93",TRUE,FALSE,1
1, 834210,"MCMORRIS Mark","MCMORRIS M","Mark","McMorris","3", 4,  159, 2231,Canada,CAN, 2, 2,"2","83.30","83.30",83300,"Q","62.70","83.30",TRUE,FALSE,1
1,1644468,"FITZSIMONS Sean","FITZSIMONS S","Sean","Fitzsimons","8",17,    5, 2209,United States,USA, 3, 3,"3","78.76","78.76",78760,"Q","78.76","26.75",TRUE,FALSE,1
1, 723859,"SANDBECH Staale","SANDBECH S","Ståle","Sandbech","21",15,  153, 2221,Norway,NOR, 4, 4,"4","78.61","78.61",78610,"Q","70.11","78.61",TRUE,FALSE,1
1,1238960,"GERARD Red","GERARD R","Red","Gerard","1", 1,    5, 2209,United States,USA, 5, 5,"5","78.20","78.20",78200,"Q","78.20","43.95",TRUE,FALSE,1
1,1471133,"OTSUKA Takeru","OTSUKA T","Takeru","Otsuka","17",26,   18, 2241,Japan,JPN, 6, 6,"6","74.93","74.93",74930,"Q","32.93","74.93",TRUE,FALSE,1
1,1341350,"LAUZI Emiliano","LAUZI E","Emiliano","Lauzi","25",19,    6, 2210,Italy,ITA, 7, 7,"7","71.71","71.71",71710,"Q","71.71","47.76",TRUE,FALSE,1
1, 905793,"TOUTANT Sebastien","TOUTANT S","Sébastien","Toutant","4", 2,  159, 2231,Canada,CAN, 8, 8,"8","71.06","71.06",71060,"Q","23.68","71.06",TRUE,FALSE,1
1,1132578,"ROISLAND Mons","ROISLAND M","Mons","Røisland","7",10,  153, 2221,Norway,NOR, 9, 9,"9","70.96","70.96",70960,"Q","70.96","41.41",TRUE,FALSE,1
1, 981078,"PARROT Max","PARROT M","Maxence","Parrot","11",13,  159, 2231,Canada,CAN,10,10,"10","70.11","70.11",70110,"Q","70.11","36.68",TRUE,FALSE,1
