"n_ParticipantType1","n_ParticipantType2","n_ParticipantType3","n_ParticipantType4","n_ParticipantID1","n_ParticipantID2","n_ParticipantID3","n_ParticipantID4","c_Participant1","c_Participant2","c_Participant3","c_Participant4","c_ParticipantShort1","c_ParticipantShort2","c_ParticipantShort3","c_ParticipantShort4","c_ParticipantFirstName1","c_ParticipantFirstName2","c_ParticipantFirstName3","c_ParticipantFirstName4","c_ParticipantLastName1","c_ParticipantLastName2","c_ParticipantLastName3","c_ParticipantLastName4","c_Bib1","c_Bib2","c_Bib3","c_Bib4","n_StartOrder1","n_StartOrder2","n_StartOrder3","n_StartOrder4","NOC.n_ID1","NOC.n_ID2","NOC.n_ID3","NOC.n_ID4","NOC.n_GeoID1","NOC.n_GeoID2","NOC.n_GeoID3","NOC.n_GeoID4","NOC.c_Name1","NOC.c_Name2","NOC.c_Name3","NOC.c_Name4","NOC.c_Short1","NOC.c_Short2","NOC.c_Short3","NOC.c_Short4","n_Rank1","n_Rank2","n_Rank3","n_Rank4","n_RankSort1","n_RankSort2","n_RankSort3","n_RankSort4","c_Rank1","c_Rank2","c_Rank3","c_Rank4","b_Completed1","b_Completed2","b_Completed3","b_Completed4","b_Upcoming1","b_Upcoming2","b_Upcoming3","b_Upcoming4","c_Result1","c_Result2","c_Result3","c_Result4"
"1","1","1","1","1352128","1368658","915754","930699","SURGET Merlin","VEDDER Jake","EGUIBAR Lucas","LEONI Tommaso","SURGET M","VEDDER J","EGUIBAR L","LEONI T","Merlin","Jake","Lucas","Tommaso","Surget","Vedder","Eguibar","Leoni","16","18","21","19","1","2","4","3","144","5","145","6","2202","2209","2203","2210","France","United States","Spain","Italy","FRA","USA","ESP","ITA","1","2","3","4","1","2","3","4","1","2","3","4","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE",NA,"+0.76","+17.50","+53.83"
"1","1","1","1","911250","1632059","722574","807792","HAEMMERLE Alessandro","GRONDIN Eliot","VISINTIN Omar","LUEFTNER Julian","HAEMMERLE A","GRONDIN E","VISINTIN O","LUEFTNER J","Alessandro","Eliot","Omar","Julian","Hämmerle","Grondin","Visintin","Lüftner","4","1","6","2","3","1","4","2","151","159","6","151","2219","2231","2210","2219","Austria","Canada","Italy","Austria","AUT","CAN","ITA","AUT","1","2","3","4","1","2","3","4","1","2","3","4","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE",NA,"+0.02","+0.48","+0.64"
