"n_ParticipantType1","n_ParticipantType2","n_ParticipantID1","n_ParticipantID2","c_Participant1","c_Participant2","c_ParticipantShort1","c_ParticipantShort2","c_ParticipantFirstName1","c_ParticipantFirstName2","c_ParticipantLastName1","c_ParticipantLastName2","c_Bib1","c_Bib2","n_StartOrder1","n_StartOrder2","NOC.n_ID1","NOC.n_ID2","NOC.n_GeoID1","NOC.n_GeoID2","NOC.c_Name1","NOC.c_Name2","NOC.c_Short1","NOC.c_Short2","n_Rank1","n_Rank2","n_RankSort1","n_RankSort2","c_Rank1","c_Rank2","c_Result1","c_Result2","c_ResultAbs1","c_ResultAbs2","n_TimeAbs1","n_TimeAbs2","n_TimeRel1","n_TimeRel2","c_ODF_QualificationMark1","c_ODF_QualificationMark2","b_Completed1","b_Completed2","b_Upcoming1","b_Upcoming2","c_ODF_IRM1","c_ODF_IRM2"
"1","1","915831","1027538","LEDECKA Ester","DEKKER Michelle","LEDECKA E","DEKKER M","Ester","Michelle","Ledecká","Dekker","1","13","2","1","17","1","2240","2201","Czech Republic","Netherlands","CZE","NED","1","2","1","2","1","2","43.88","DNF","43.88","DNF","43880",NA,"0",NA,"Q",NA,"TRUE","TRUE","FALSE","FALSE",NA,"DNF"
"1","1","1252358","597246","ULBING Daniela","KOTNIK Gloria","ULBING D","KOTNIK G","Daniela","Gloria","Ulbing","Kotnik","7","14","1","2","151","30","2219","2783","Austria","Slovenia","AUT","SLO","1","2","1","2","1","2","44.13","+0.21","44.13","44.35","44130","44350","0","210","Q",NA,"TRUE","TRUE","FALSE","FALSE",NA,NA
