"n_ParticipantType","n_ParticipantID","c_Participant","c_ParticipantShort","c_ParticipantFirstName","c_ParticipantLastName","c_Bib","n_StartOrder","NOC.n_ID","NOC.n_GeoID","NOC.c_Name","NOC.c_Short","n_Rank","n_RankSort","c_Rank","c_Result","c_ResultAbs","n_PointsAbs","c_ODF_QualificationMark","c_ResultInfo_1","c_ResultInfo_2","c_ResultInfo_3","b_Completed","b_Upcoming","n_BDF_VideoSessionID","c_ODF_IRM"
1,1568767,"SADOWSKI-SYNNOTT Zoi","SADOWSKI-SYNNOTT Z","Zoi","Sadowski-Synnott","2", 4,  158, 2230,New Zealand,NZL, 1, 1,"1","176.50","176.50",176500,"Q","85.50","62.25","91.00",TRUE,FALSE,1,NA
1,1780043,"MURASE Kokomo","MURASE K","Kokomo","Murase","6",17,   18, 2241,Japan,JPN, 2, 2,"2","171.00","171.00",171000,"Q","85.00","72.75","86.00",TRUE,FALSE,1,NA
1,1367876,"IWABUCHI Reira","IWABUCHI R","Reira","Iwabuchi","3", 2,   18, 2241,Japan,JPN, 3, 3,"3","158.50","158.50",158500,"Q","83.00","75.50","11.75",TRUE,FALSE,1,NA
1,1019516,"BLOUIN Laurie","BLOUIN L","Laurie","Blouin","9",14,  159, 2231,Canada,CAN, 4, 4,"4","156.25","156.25",156250,"Q","68.00","67.25","88.25",TRUE,FALSE,1,NA
1,1132565,"ONITSUKA Miyabi","ONITSUKA M","Miyabi","Onitsuka","1", 1,   18, 2241,Japan,JPN, 5, 5,"5","154.25","154.25",154250,"Q","80.75","72.25","73.50",TRUE,FALSE,1,NA
1,1131249,"GASSER Anna","GASSER A","Anna","Gasser","7",24,  151, 2219,Austria,AUT, 6, 6,"6","153.50","153.50",153500,"Q","73.25","62.25","80.25",TRUE,FALSE,1,NA
1,1471152,"COADY Tess","COADY T","Tess","Coady","8",15,  157, 2229,Australia,AUS, 7, 7,"7","136.25","136.25",136250,"Q","74.00","54.75","62.25",TRUE,FALSE,1,NA
1,1132383,"MORGAN Annika","MORGAN A","Annika","Morgan","11",25,    2, 2206,Germany,GER, 8, 8,"8","132.25","132.25",132250,"Q","12.00","64.25","68.00",TRUE,FALSE,1,NA
1,2252852,"RONG Ge","RONG G","Ge","Rong","30",13,   26, 2770,China,CHN, 9, 9,"9","129.75","129.75",129750,"Q","10.75","64.00","65.75",TRUE,FALSE,1,NA
1,1495000,"BAIRD Jasmine","BAIRD J","Jasmine","Baird","17",18,  159, 2231,Canada,CAN,10,10,"10","129.50","129.50",129500,"Q","69.00","60.50","69.00",TRUE,FALSE,1,NA
1,1487237,"PEPERKAMP Melissa","PEPERKAMP M","Melissa","Peperkamp","13", 8,    1, 2201,Netherlands,NED,11,11,"11","128.25","128.25",128250,"Q","60.00","68.25","58.00",TRUE,FALSE,1,NA
1,1359652,"LANGLAND Hailey","LANGLAND H","Hailey","Langland","15",19,    5, 2209,United States,USA,12,12,"12","127.50","127.50",127500,"Q","62.00","65.50","21.25",TRUE,FALSE,1,NA
1,1953347,"GISLER Bianca","GISLER B","Bianca","Gisler","23", 9,  149, 2213,Switzerland,SUI,13,13,"13","127.25","127.25",127250,NA,"50.00","63.50","63.75",TRUE,FALSE,1,NA
1, 705866,"PANCOCHOVA Sarka","PANCOCHOVA S","Šárka","Pancochová","20",11,   17, 2240,Czech Republic,CZE,14,14,"14","123.00","123.00",123000,NA,"20.75","62.75","60.25",TRUE,FALSE,1,NA
1, 807332,"ANDERSON Jamie","ANDERSON J","Jamie","Anderson","4", 5,    5, 2209,United States,USA,15,15,"15","119.75","119.75",119750,NA,"30.00","29.50","89.75",TRUE,FALSE,1,NA
1, 887837,"MEDLOVA Klaudia","MEDLOVA K","Klaudia","Medlová","22",10,   14, 2233,Slovakia,SVK,16,16,"16","113.25","113.25",113250,NA,"62.25","51.00","29.75",TRUE,FALSE,1,NA
1,1785727,"KOZUBACK Kamilla","KOZUBACK K","Kamilla","Kozuback","31",12,   28, 2776,Hungary,HUN,17,17,"17","110.50","110.50",110500,NA,"51.50","5.50","59.00",TRUE,FALSE,1,NA
