"n_ParticipantType","n_ParticipantID","c_Participant","c_ParticipantShort","c_ParticipantFirstName","c_ParticipantLastName","c_Bib","n_StartOrder","NOC.n_ID","NOC.n_GeoID","NOC.c_Name","NOC.c_Short","n_Rank","n_RankSort","c_Rank","c_Result","c_ResultAbs","n_TimeAbs","n_TimeRel","c_ODF_QualificationMark","c_ResultInfo_1","b_Completed","b_Upcoming","n_BDF_StartTime","c_ClientStreamURL","c_ResultInfo_2","c_ODF_IRM"
1, 930698,"MOIOLI Michela","MOIOLI M","Michela","Moioli","4", 4,    6, 2210,Italy,ITA, 1, 1,"1","1:22.19","1:22.19",82190,   0,"Q","1:22.19",TRUE,FALSE,1518048004,"https://stream.nbcolympics.com/snowboarding-snowboard-cross-womens-qualifying",NA,NA
1,1027306,"BANKES Charlotte","BANKES C","Charlotte","Bankes","3", 3,  211, 4058,Great Britain,GBR, 2, 2,"2","+0.53","1:22.72",82720, 530,"Q","1:22.72",TRUE,FALSE,1518048003,"https://stream.nbcolympics.com/snowboarding-snowboard-cross-womens-qualifying",NA,NA
1,1368671,"ODINE Meryeta","ODINE M","Meryeta","Odine","14",14,  159, 2231,Canada,CAN, 3, 3,"3","+0.82","1:23.01",83010, 820,"Q","1:23.01",TRUE,FALSE,1518048014,"https://stream.nbcolympics.com/snowboarding-snowboard-cross-womens-qualifying",NA,NA
1,1724106,"GASKILL Stacy","GASKILL S","Stacy","Gaskill","1", 1,    5, 2209,United States,USA, 4, 4,"4","+0.95","1:23.14",83140, 950,"Q","1:23.14",TRUE,FALSE,1518048001,"https://stream.nbcolympics.com/snowboarding-snowboard-cross-womens-qualifying",NA,NA
1, 476735,"JACOBELLIS Lindsey","JACOBELLIS L","Lindsey","Jacobellis","6", 6,    5, 2209,United States,USA, 5, 5,"5","+1.25","1:23.44",83440,1250,"Q","1:23.44",TRUE,FALSE,1518048006,"https://stream.nbcolympics.com/snowboarding-snowboard-cross-womens-qualifying",NA,NA
1,1629567,"PEREIRA DE SOUSA MABILEAU Julia","PEREIRA DE SOUSA MABILEAU J","Julia","Pereira De Sousa","10",10,  144, 2202,France,FRA, 6, 6,"6","+1.70","1:23.89",83890,1700,"Q","1:23.89",TRUE,FALSE,1518048010,"https://stream.nbcolympics.com/snowboarding-snowboard-cross-womens-qualifying",NA,NA
1, 720819,"GULINI Faye","GULINI F","Faye","Gulini","5", 5,    5, 2209,United States,USA, 7, 7,"7","+1.79","1:23.98",83980,1790,"Q","1:23.98",TRUE,FALSE,1518048005,"https://stream.nbcolympics.com/snowboarding-snowboard-cross-womens-qualifying",NA,NA
1, 764262,"TRESPEUCH Chloe","TRESPEUCH C","Chloé","Trespeuch","7", 7,  144, 2202,France,FRA, 8, 8,"8","+2.08","1:24.27",84270,2080,"Q","1:24.27",TRUE,FALSE,1518048007,"https://stream.nbcolympics.com/snowboarding-snowboard-cross-womens-qualifying",NA,NA
1,1352333,"ZERKHOLD Pia","ZERKHOLD P","Pia","Zerkhold","8", 8,  151, 2219,Austria,AUT, 9, 9,"9","+2.34","1:24.53",84530,2340,"Q","1:24.53",TRUE,FALSE,1518048008,"https://stream.nbcolympics.com/snowboarding-snowboard-cross-womens-qualifying",NA,NA
1,1221174,"PAUL Kristina","PAUL K","Kristina","Paul","16",16,23062,73035,ROC,ROC,10,10,"10","+2.57","1:24.76",84760,2570,"Q","1:24.76",TRUE,FALSE,1518048016,"https://stream.nbcolympics.com/snowboarding-snowboard-cross-womens-qualifying",NA,NA
1,1351776,"CARPANO Caterina","CARPANO C","Caterina","Carpano","25",25,    6, 2210,Italy,ITA,11,11,"11","+2.68","1:24.87",84870,2680,"Q","1:24.87",TRUE,FALSE,1518048025,"https://stream.nbcolympics.com/snowboarding-snowboard-cross-womens-qualifying",NA,NA
1,1239015,"PETIT LENOIR Manon","PETIT LENOIR M","Manon","Petit Lenoir","15",15,  144, 2202,France,FRA,12,12,"12","+2.77","1:24.96",84960,2770,"Q","1:24.96",TRUE,FALSE,1518048015,"https://stream.nbcolympics.com/snowboarding-snowboard-cross-womens-qualifying",NA,NA
1,1019518,"MCMANIMAN Audrey","MCMANIMAN A","Audrey","McManiman","12",12,  159, 2231,Canada,CAN,13,13,"13","+2.79","1:24.98",84980,2790,"Q","1:24.98",TRUE,FALSE,1518048012,"https://stream.nbcolympics.com/snowboarding-snowboard-cross-womens-qualifying",NA,NA
1,1963164,"BAFF Josie","BAFF J","Josie","Baff","20",20,  157, 2229,Australia,AUS,14,14,"14","+2.92","1:25.11",85110,2920,"Q","1:25.11",TRUE,FALSE,1518048020,"https://stream.nbcolympics.com/snowboarding-snowboard-cross-womens-qualifying",NA,NA
1,1352348,"HEDIGER Sophie","HEDIGER S","Sophie","Hediger","22",22,  149, 2213,Switzerland,SUI,15,15,"15","+2.95","1:25.14",85140,2950,"Q","1:25.14",TRUE,FALSE,1518048022,"https://stream.nbcolympics.com/snowboarding-snowboard-cross-womens-qualifying",NA,NA
1,1240890,"TIERNEY Meghan","TIERNEY M","Meghan","Tierney","23",23,    5, 2209,United States,USA,16,16,"16","+2.97","1:25.16",85160,2970,"Q","1:25.16",TRUE,FALSE,1518048023,"https://stream.nbcolympics.com/snowboarding-snowboard-cross-womens-qualifying",NA,NA
1,1239010,"CASANOVA Lara","CASANOVA L","Lara","Casanova","17",17,  149, 2213,Switzerland,SUI,17,17,"17","+1.93","1:24.12",84120,1930,"Q","1:26.89",TRUE,FALSE,1518048017,"https://stream.nbcolympics.com/snowboarding-snowboard-cross-womens-qualifying","1:24.12",NA
