"n_ParticipantType","n_ParticipantID","c_Participant","c_ParticipantShort","c_ParticipantFirstName","c_ParticipantLastName","c_Bib","n_StartOrder","NOC.n_ID","NOC.n_GeoID","NOC.c_Name","NOC.c_Short","n_Rank","n_RankSort","c_Rank","c_Result","c_ResultAbs","n_PointsAbs","c_ResultInfo_1","c_ResultInfo_2","c_ResultInfo_3","b_Completed","b_Upcoming","n_BDF_VideoSessionID"
1,1642245,"GU Eileen","GU E","Eileen","Gu","4", 8,   26, 2770,China,CHN, 1, 1,"1","188.25","188.25",188250,"93.75","88.50","94.50",TRUE,FALSE,1
1,1447594,"LEDEUX Tess","LEDEUX T","Tess","Ledeux","2",11,  144, 2202,France,FRA, 2, 2,"2","187.50","187.50",187500,"94.50","93.00","73.50",TRUE,FALSE,1
1,1475771,"GREMAUD Mathilde","GREMAUD M","Mathilde","Gremaud","1", 7,  149, 2213,Switzerland,SUI, 3, 3,"3","182.50","182.50",182500,"89.25","93.25","26.00",TRUE,FALSE,1
1,1761769,"OLDHAM Megan","OLDHAM M","Megan","Oldham","8",12,  159, 2231,Canada,CAN, 4, 4,"4","178.00","178.00",178000,"85.00","89.25","88.75",TRUE,FALSE,1
1,1857620,"MUIR Kirsty","MUIR K","Kirsty","Muir","12", 6,  211, 4058,Great Britain,GBR, 5, 5,"5","169.00","169.00",169000,"90.25","78.75","15.50",TRUE,FALSE,1
1,1372769,"HOEFFLIN Sarah","HOEFFLIN S","Sarah","Hoefflin","6", 4,  149, 2213,Switzerland,SUI, 6, 6,"6","158.75","158.75",158750,"82.50","53.00","76.25",TRUE,FALSE,1
1,1254074,"KILLI Johanne","KILLI J","Johanne","Killi","5", 3,  153, 2221,Norway,NOR, 7, 7,"7","153.25","153.25",153250,"87.75","58.50","65.50",TRUE,FALSE,1
1,1642243,"ASSELIN Olivia","ASSELIN O","Olivia","Asselin","19", 2,  159, 2231,Canada,CAN, 8, 8,"8","147.50","147.50",147500,"62.00","60.25","85.50",TRUE,FALSE,1
1,1372713,"KARAVA Anni","KARAVA A","Anni","Karava","24", 1,  161, 2237,Finland,FIN, 9, 9,"9","136.50","136.50",136500,"81.00","54.00","82.50",TRUE,FALSE,1
1,1591888,"TATALINA Anastasia","TATALINA A","Anastasiya","Tatalina","11",10,23062,73035,ROC,ROC,10,10,"10","122.50","122.50",122500,"75.50","22.25","47.00",TRUE,FALSE,1
1,1021660,"STEVENS Darian","STEVENS D","Darian","Stevens","22", 5,    5, 2209,United States,USA,11,11,"11","75.00","75.00", 75000,"56.75","50.75","18.25",TRUE,FALSE,1
1,1254075,"MOESTUE EIE Sandra","MOESTUE EIE S","Sandra","Moestue Eie","16", 9,  153, 2221,Norway,NOR,12,12,"12","64.50","64.50", 64500,"17.00","19.00","64.50",TRUE,FALSE,1
