"n_ParticipantType","n_ParticipantID","c_Participant","c_ParticipantShort","c_ParticipantFirstName","c_ParticipantLastName","c_Bib","n_StartOrder","NOC.n_ID","NOC.n_GeoID","NOC.c_Name","NOC.c_Short","n_Rank","n_RankSort","c_Rank","c_Result","c_ResultAbs","n_PointsAbs","c_ODF_QualificationMark","c_ResultInfo_1","c_ResultInfo_2","b_Completed","b_Upcoming","n_BDF_VideoSessionID","c_ODF_IRM"
1,1447047,"SILDARU Kelly","SILDARU K","Kelly","Sildaru","2", 4,    8, 2217,Estonia,EST, 1, 1,"1","86.15","86.15",86150,"Q","80.96","86.15",TRUE,FALSE,1,NA
1,1254074,"KILLI Johanne","KILLI J","Johanne","Killi","5", 5,  153, 2221,Norway,NOR, 2, 2,"2","86.00","86.00",86000,"Q","81.48","86.00",TRUE,FALSE,1,NA
1,1642245,"GU Eileen","GU E","Eileen","Gu","3", 1,   26, 2770,China,CHN, 3, 3,"3","79.38","79.38",79380,"Q","57.28","79.38",TRUE,FALSE,1,NA
1,1206127,"VOISIN Maggie","VOISIN M","Maggie","Voisin","10",14,    5, 2209,United States,USA, 4, 4,"4","72.78","72.78",72780,"Q","72.78","65.93",TRUE,FALSE,1,NA
1,1591888,"TATALINA Anastasia","TATALINA A","Anastasiya","Tatalina","16",27,23062,73035,ROC,ROC, 5, 5,"5","72.03","72.03",72030,"Q","63.85","72.03",TRUE,FALSE,1,NA
1,1857620,"MUIR Kirsty","MUIR K","Kirsty","Muir","9",16,  211, 4058,Great Britain,GBR, 6, 6,"6","70.11","70.11",70110,"Q","70.11","63.91",TRUE,FALSE,1,NA
1,1495689,"HAMILL Marin","HAMILL M","Marin","Hamill","12",21,    5, 2209,United States,USA, 7, 7,"7","69.43","69.43",69430,"Q","69.43","37.36",TRUE,FALSE,1,NA
1,1140114,"BERTAGNA Silvia","BERTAGNA S","Silvia","Bertagna","18",12,    6, 2210,Italy,ITA, 8, 8,"8","68.90","68.90",68900,"Q","65.25","68.90",TRUE,FALSE,1,NA
1,1447594,"LEDEUX Tess","LEDEUX T","Tess","Ledeux","1", 3,  144, 2202,France,FRA, 9, 9,"9","68.13","68.13",68130,"Q","22.13","68.13",TRUE,FALSE,1,NA
1, 929565,"SUMMERHAYES Katie","SUMMERHAYES K","Katie","Summerhayes","14",17,  211, 4058,Great Britain,GBR,10,10,"10","66.56","66.56",66560,"Q","66.56","59.11",TRUE,FALSE,1,NA
