"n_ParticipantType","n_ParticipantID","c_Participant","c_ParticipantShort","c_ParticipantFirstName","c_ParticipantLastName","c_Bib","n_StartOrder","NOC.n_ID","NOC.n_GeoID","NOC.c_Name","NOC.c_Short","n_Rank","n_RankSort","c_Rank","c_Result","c_ResultAbs","n_PointsAbs","c_ODF_QualificationMark","c_ResultInfo_1","c_ResultInfo_2","b_Completed","b_Upcoming","n_BDF_VideoSessionID"
1,1642245,"GU Eileen","GU E","Eileen","Gu","1", 3,   26, 2770,China,CHN, 1, 1,"1","95.50","95.50",95500,"Q","93.75","95.50",TRUE,FALSE,1
1,1219428,"KARKER Rachael","KARKER R","Rachael","Karker","3", 2,  159, 2231,Canada,CAN, 2, 2,"2","89.50","89.50",89500,"Q","88.50","89.50",TRUE,FALSE,1
1,1447047,"SILDARU Kelly","SILDARU K","Kelly","Sildaru","8", 9,    8, 2217,Estonia,EST, 3, 3,"3","87.50","87.50",87500,"Q","87.50","DNS",TRUE,FALSE,1
1,1495692,"ATKIN Zoe","ATKIN Z","Zoe","Atkin","2", 5,  211, 4058,Great Britain,GBR, 4, 4,"4","86.75","86.75",86750,"Q","85.25","86.75",TRUE,FALSE,1
1,1626749,"KEXIN Zhang","KEXIN Z","Kexin","Zhang","6",15,   26, 2770,China,CHN, 5, 5,"5","86.50","86.50",86500,"Q","77.50","86.50",TRUE,FALSE,1
1,1021646,"SHARPE Cassie","SHARPE C","Cassie","Sharpe","4", 4,  159, 2231,Canada,CAN, 6, 6,"6","86.25","86.25",86250,"Q","86.25","79.00",TRUE,FALSE,1
1,1626747,"LI Fanghui","LI F","Fenghui","Li","9",16,   26, 2770,China,CHN, 7, 7,"7","84.75","84.75",84750,"Q","84.75","19.25",TRUE,FALSE,1
1, 764426,"SIGOURNEY Brita","SIGOURNEY B","Brita","Sigourney","7", 8,    5, 2209,United States,USA, 8, 8,"8","84.50","84.50",84500,"Q","80.50","84.50",TRUE,FALSE,1
1,1983477,"FAULHABER Hanna","FAULHABER H","Hanna","Faulhaber","5", 1,    5, 2209,United States,USA, 9, 9,"9","84.25","84.25",84250,"Q","84.25","82.00",TRUE,FALSE,1
1,1198871,"MARGULIES Carly","MARGULIES C","Carly","Margulies","12",17,    5, 2209,United States,USA,10,10,"10","82.25","82.25",82250,"Q","79.00","82.25",TRUE,FALSE,1
1,1953414,"FRASER Amy","FRASER A","Amy","Fraser","15",13,  159, 2231,Canada,CAN,11,11,"11","75.75","75.75",75750,"Q","75.25","75.75",TRUE,FALSE,1
1,1026714,"CAKMAKLI Sabrina","CAKMAKLI S","Sabrina","Cakmakli","13",20,    2, 2206,Germany,GER,12,12,"12","71.50","71.50",71500,"Q","71.50","36.50",TRUE,FALSE,1
1, 929369,"LOGAN Devin","LOGAN D","Devin","Logan","10",18,    5, 2209,United States,USA,13,13,"13","71.00","71.00",71000,NA,"71.00","62.00",TRUE,FALSE,1
1,2185859,"GLAZKOVA Alexandra","GLAZKOVA A","Alexandra","Glazkova","17", 7,23062,73035,ROC,ROC,14,14,"14","69.25","69.25",69250,NA,"67.00","69.25",TRUE,FALSE,1
1,1198866,"SUZUKI Saori","SUZUKI S","Saori","Suzuki","14",19,   18, 2241,Japan,JPN,15,15,"15","68.75","68.75",68750,NA,"68.75","66.25",TRUE,FALSE,1
1,1638494,"WU Meng","WU M","Meng","Wu","16", 6,   26, 2770,China,CHN,16,16,"16","67.75","67.75",67750,NA,"12.50","67.75",TRUE,FALSE,1
1,2185860,"KIM Daeun","KIM D","Daeun","Kim","20",10,  106, 4391,South Korea,KOR,17,17,"17","45.50","45.50",45500,NA,"44.50","45.50",TRUE,FALSE,1
1,1724009,"MCMILLAN Chloe","MCMILLAN C","Chloe","Mcmillan","18",14,  158, 2230,New Zealand,NZL,18,18,"18","43.50","43.50",43500,NA,"41.75","43.50",TRUE,FALSE,1
1,1638478,"BARUGH Anja","BARUGH A","Anja","Barugh","21",12,  158, 2230,New Zealand,NZL,19,19,"19","38.50","38.50",38500,NA,"38.50","12.25",TRUE,FALSE,1
1,1569081,"JANG Yujin","JANG Y","Yujin","Jang","11",11,  106, 4391,South Korea,KOR,20,20,"20","4.25","4.25", 4250,NA,"3.75","4.25",TRUE,FALSE,1
