"n_ParticipantType1","n_ParticipantType2","n_ParticipantType3","n_ParticipantType4","n_ParticipantID1","n_ParticipantID2","n_ParticipantID3","n_ParticipantID4","c_Participant1","c_Participant2","c_Participant3","c_Participant4","c_ParticipantShort1","c_ParticipantShort2","c_ParticipantShort3","c_ParticipantShort4","c_ParticipantFirstName1","c_ParticipantFirstName2","c_ParticipantFirstName3","c_ParticipantFirstName4","c_ParticipantLastName1","c_ParticipantLastName2","c_ParticipantLastName3","c_ParticipantLastName4","c_Bib1","c_Bib2","c_Bib3","c_Bib4","n_StartOrder1","n_StartOrder2","n_StartOrder3","n_StartOrder4","NOC.n_ID1","NOC.n_ID2","NOC.n_ID3","NOC.n_ID4","NOC.n_GeoID1","NOC.n_GeoID2","NOC.n_GeoID3","NOC.n_GeoID4","NOC.c_Name1","NOC.c_Name2","NOC.c_Name3","NOC.c_Name4","NOC.c_Short1","NOC.c_Short2","NOC.c_Short3","NOC.c_Short4","n_Rank1","n_Rank2","n_Rank3","n_Rank4","n_RankSort1","n_RankSort2","n_RankSort3","n_RankSort4","c_Rank1","c_Rank2","c_Rank3","c_Rank4","c_ODF_QualificationMark1","c_ODF_QualificationMark2","c_ODF_QualificationMark3","c_ODF_QualificationMark4","b_Completed1","b_Completed2","b_Completed3","b_Completed4","b_Upcoming1","b_Upcoming2","b_Upcoming3","b_Upcoming4","c_Result1","c_Result2","c_Result3","c_Result4"
"1","1","1","1","760864","1950588","915381","778057","FIVA Alex","DEROMEDIS Simone","MIDOL Bastien","BOHNACKER Daniel","FIVA A","DEROMEDIS S","MIDOL B","BOHNACKER D","Alex","Simone","Bastien","Daniel","Fiva","Deromedis","Midol","Bohnacker","1","8","9","17","1","2","3","4","149","6","144","2","2213","2210","2202","2206","Switzerland","Italy","France","Germany","SUI","ITA","FRA","GER","1","2","3","4","1","2","3","4","1","2","3","4","Q","Q",NA,NA,"TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE",NA,"+0.00","+1.16","+2.41"
"1","1","1","1","1026407","762101","1446141","1125028","RIDZIK Sergey","LEMAN Brady","HOWDEN Reece","BERRY Joos","RIDZIK S","LEMAN B","HOWDEN R","BERRY J","Sergey","Brady","Reece","Joos","Ridzik","Leman","Howden","Berry","29","4","5","21","4","1","2","3","23062","159","159","149","73035","2231","2231","2213","ROC","Canada","Canada","Switzerland","ROC","CAN","CAN","SUI","1","2","3","4","1","2","3","4","1","2","3","4","Q","Q",NA,NA,"TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE",NA,"+0.21","+0.27","+3.15"
"1","1","1","1","1361452","764389","1636601","2170621","MOBAERG Erik","PLACE Francois","SCHMIDT Jared","TAKATS Tristan","MOBAERG E","PLACE F","SCHMIDT J","TAKATS T","Erik","François","Jared","Tristan","Mobärg","Place","Schmidt","Takats","14","11","6","19","3","2","1","4","154","144","159","151","2222","2202","2231","2219","Sweden","France","Canada","Austria","SWE","FRA","CAN","AUT","1","2","3","4","1","2","3","4","1","2","3","4","Q","Q",NA,NA,"TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE",NA,"+0.22","+0.42","+2.48"
"1","1","1","1","1219375","915063","1430363","1213651","REGEZ Ryan","ROHRWECK Johannes","DRURY Kevin","OMELIN Igor","REGEZ R","ROHRWECK J","DRURY K","OMELIN I","Ryan","Johannes","Kevin","Igor","Regez","Rohrweck","Drury","Omelin","7","10","15","2","2","3","4","1","149","151","159","23062","2213","2219","2231","73035","Switzerland","Austria","Canada","ROC","SUI","AUT","CAN","ROC","1","2","3","4","1","2","3","4","1","2","3","4","Q","Q",NA,NA,"TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE",NA,"+0.96","+1.00","+1.15"
