"n_ParticipantType","n_ParticipantID","c_Participant","c_ParticipantShort","c_ParticipantFirstName","c_ParticipantLastName","c_Bib","n_StartOrder","NOC.n_ID","NOC.n_GeoID","NOC.c_Name","NOC.c_Short","n_Rank","n_RankSort","c_Rank","c_Result","c_ResultAbs","n_PointsAbs","c_ODF_QualificationMark","c_ResultInfo_1","c_ResultInfo_2","c_ResultInfo_3","b_Completed","b_Upcoming","n_BDF_VideoSessionID"
1,1429991,"RUUD Birk","RUUD B","Birk","Ruud","5", 4,153,2221,Norway,NOR, 1, 1,"1","187.75","187.75",187750,"Q","94.50","50.50","93.25",TRUE,FALSE,1
1,1372709,"HALL Alex","HALL A","Alexander","Hall","3", 1,  5,2209,United States,USA, 2, 2,"2","180.25","180.25",180250,"Q","87.00","90.75","89.50",TRUE,FALSE,1
1,1563409,"MAGNUSSON Oliwer","MAGNUSSON O","Oliwer","Magnusson","8", 7,154,2222,Sweden,SWE, 3, 3,"3","177.25","177.25",177250,"Q","88.00","89.25","84.00",TRUE,FALSE,1
1,1092466,"HARLAUT Henrik","HARLAUT H","Henrik","Harlaut","19",17,154,2222,Sweden,SWE, 4, 4,"4","176.50","176.50",176500,"Q","93.00","83.50","42.00",TRUE,FALSE,1
1, 995493,"STEVENSON Colby","STEVENSON C","Colby","Stevenson","4", 2,  5,2209,United States,USA, 5, 5,"5","174.25","174.25",174250,"Q","83.75","90.50","56.00",TRUE,FALSE,1
1, 929416,"NUMMEDAL Christian","NUMMEDAL C","Christian","Nummedal","17",29,153,2221,Norway,NOR, 6, 6,"6","171.50","171.50",171500,"Q","92.25","77.25","79.25",TRUE,FALSE,1
1,1857626,"FROSTAD Tormod","FROSTAD T","Tormod","Frostad","24",22,153,2221,Norway,NOR, 7, 7,"7","171.25","171.25",171250,"Q","90.00","81.25","42.00",TRUE,FALSE,1
1,1445979,"FOREHAND Mac","FOREHAND M","Mac","Forehand","6",25,  5,2209,United States,USA, 8, 8,"8","171.00","171.00",171000,"Q","77.75","92.00","79.00",TRUE,FALSE,1
1,1591885,"LLISO Javier","LLISO J","Javier","Lliso","25",26,145,2203,Spain,ESP, 9, 9,"9","170.75","170.75",170750,"Q","90.25","80.50","79.50",TRUE,FALSE,1
1,1983486,"DONAGGIO Leonardo","DONAGGIO L","Leonardo","Donaggio","30",16,  6,2210,Italy,ITA,10,10,"10","170.50","170.50",170500,"Q","90.25","70.25","80.25",TRUE,FALSE,1
1,1022189,"MCEACHRAN Evan","MCEACHRAN E","Evan","McEachran","20",30,159,2231,Canada,CAN,11,11,"11","170.25","170.25",170250,"Q","81.75","88.50","39.75",TRUE,FALSE,1
1,1019299,"TJADER Jesper","TJADER J","Jesper","Tjäder","13",24,154,2222,Sweden,SWE,12,12,"12","170.00","170.00",170000,"Q","34.75","91.75","78.25",TRUE,FALSE,1
1,1495571,"THERRIAULT Edouard","THERRIAULT E","Edouard","Therriault","15",21,159,2231,Canada,CAN,13,13,"13","168.00","168.00",168000,NA,"83.50","42.00","84.50",TRUE,FALSE,1
1,1160705,"RAGETTLI Andri","RAGETTLI A","Andri","Ragettli","2", 3,149,2213,Switzerland,SUI,14,14,"14","167.75","167.75",167750,NA,"89.75","78.00","20.75",TRUE,FALSE,1
1,1019311,"ADELISSE Antoine","ADELISSE A","Antoine","Adelisse","7",14,144,2202,France,FRA,15,15,"15","163.25","163.25",163250,NA,"79.50","66.00","83.75",TRUE,FALSE,1
1,1642289,"BARCLAY Ben","BARCLAY B","Ben","Barclay","23",12,158,2230,New Zealand,NZL,16,16,"16","162.75","162.75",162750,NA,"81.00","78.25","84.50",TRUE,FALSE,1
1,1140094,"BOESCH Fabian","BOESCH F","Fabian","Boesch","9",18,149,2213,Switzerland,SUI,17,17,"17","161.75","161.75",161750,NA,"81.00","80.75","22.50",TRUE,FALSE,1
1,1237802,"BILOUS Finn","BILOUS F","Finn","Bilous","21",10,158,2230,New Zealand,NZL,18,18,"18","155.75","155.75",155750,NA,"73.75","68.75","82.00",TRUE,FALSE,1
1,1430063,"DAHL Ferdinand","DAHL F","Ferdinand","Dahl","12",31,153,2221,Norway,NOR,19,19,"19","150.00","150.00",150000,NA,"12.00","72.50","77.50",TRUE,FALSE,1
1,1446111,"MOFFATT Max","MOFFATT M","Max","Moffatt","18",13,159,2231,Canada,CAN,20,20,"20","147.00","147.00",147000,NA,"83.00","64.00","61.00",TRUE,FALSE,1
1,1761549,"BACHER Daniel","BACHER D","Daniel","Bacher","29",19,151,2219,Austria,AUT,21,21,"21","144.00","144.00",144000,NA,"75.00","56.75","69.00",TRUE,FALSE,1
1,1021657,"GOEPPER Nick","GOEPPER N","Nicholas","Goepper","14",15,  5,2209,United States,USA,22,22,"22","127.75","127.75",127750,NA,"78.25","49.50","21.75",TRUE,FALSE,1
1,1372735,"GUBSER Kim","GUBSER K","Kim","Gubser","11", 9,149,2213,Switzerland,SUI,23,23,"23","121.25","121.25",121250,NA,"15.25","79.75","41.50",TRUE,FALSE,1
1,1213722,"BURVALL Hugo","BURVALL H","Hugo","Burvall","27", 6,154,2222,Sweden,SWE,24,24,"24","101.25","101.25",101250,NA,"47.25","55.25","46.00",TRUE,FALSE,1
1,1475725,"WILI Colin","WILI C","Colin","Wili","26", 8,149,2213,Switzerland,SUI,25,25,"25","98.25","98.25", 98250,NA,"77.50","18.75","20.75",TRUE,FALSE,1
1,1857619,"SVANCER Matej","SVANCER M","Matej","Svancer","1", 5,151,2219,Austria,AUT,26,26,"26","89.50","89.50", 89500,NA,"61.75","27.75","25.50",TRUE,FALSE,1
1,2251610,"HE Jinbo","HE J","Jinbo","He","31",20, 26,2770,China,CHN,27,27,"27","85.75","85.75", 85750,NA,"45.25","36.75","49.00",TRUE,FALSE,1
1,1642282,"MAGNIN Thibault","MAGNIN T","Thibault","Magnin","22",28,145,2203,Spain,ESP,28,28,"28","79.75","79.75", 79750,NA,"41.25","21.75","38.50",TRUE,FALSE,1
1,1761774,"PELTOLA Simo","PELTOLA S","Simo","Peltola","28",11,161,2237,Finland,FIN,29,29,"29","72.00","72.00", 72000,NA,"49.75","41.75","72.00",TRUE,FALSE,1
1, 929557,"WOODS James","WOODS J","James","Woods","16",27,211,4058,Great Britain,GBR,30,30,"30","59.75","59.75", 59750,NA,"27.50","26.50","32.25",TRUE,FALSE,1
1,1370558,"HARLE Teal","HARLE T","Teal","Harle","10",23,159,2231,Canada,CAN,31,31,"31","46.75","46.75", 46750,NA,"26.50","24.25","20.25",TRUE,FALSE,1
