"n_ParticipantType","n_ParticipantID","c_Participant","c_ParticipantShort","c_ParticipantFirstName","c_ParticipantLastName","c_Bib","n_StartOrder","NOC.n_ID","NOC.n_GeoID","NOC.c_Name","NOC.c_Short","n_Rank","n_RankSort","c_Rank","c_Result","c_ResultAbs","n_PointsAbs","c_ResultInfo_1","c_ResultInfo_2","c_ResultInfo_3","b_Completed","b_Upcoming","n_BDF_VideoSessionID"
1,1445984,"PORTEOUS Nico","PORTEOUS N","Nico","Porteous","2",11,158,2230,New Zealand,NZL, 1, 1,"1","93.00","93.00",93000,"93.00","30.75","9.25",TRUE,FALSE,1
1, 764441,"WISE David","WISE D","David","Wise","8", 9,  5,2209,United States,USA, 2, 2,"2","90.75","90.75",90750,"90.75","7.75","40.00",TRUE,FALSE,1
1, 995490,"FERREIRA Alex","FERREIRA A","Alex","Ferreira","3", 6,  5,2209,United States,USA, 3, 3,"3","86.75","86.75",86750,"86.75","83.75","67.75",TRUE,FALSE,1
1, 929304,"BOWMAN Noah","BOWMAN N","Noah","Bowman","5", 7,159,2231,Canada,CAN, 4, 4,"4","84.75","84.75",84750,"84.25","84.75","21.25",TRUE,FALSE,1
1,1219314,"IRVING Birk","IRVING B","Birk","Irving","6",10,  5,2209,United States,USA, 5, 5,"5","80.00","80.00",80000,"80.00","32.50","48.00",TRUE,FALSE,1
1, 929306,"ROLLAND Kevin","ROLLAND K","Kevin","Rolland","10", 3,144,2202,France,FRA, 6, 6,"6","79.25","79.25",79250,"54.75","77.25","79.25",TRUE,FALSE,1
1, 995470,"BLUNCK Aaron","BLUNCK A","Aaron","Blunck","1",12,  5,2209,United States,USA, 7, 7,"7","78.25","78.25",78250,"70.25","78.25","13.50",TRUE,FALSE,1
1, 946750,"KENWORTHY Gus","KENWORTHY G","Gus","Kenworthy","9", 1,211,4058,Great Britain,GBR, 8, 8,"8","71.25","71.25",71250,"17.50","3.75","71.25",TRUE,FALSE,1
1,1130828,"MACKAY Brendan","MACKAY B","Brendan","Mackay","4", 8,159,2231,Canada,CAN, 9, 9,"9","65.50","65.50",65500,"4.00","65.50","27.00",TRUE,FALSE,1
1, 930290,"D'ARTOIS Simon","D'ARTOIS S","Simon","d'Artois","7", 5,159,2231,Canada,CAN,10,10,"10","63.75","63.75",63750,"7.25","7.00","63.75",TRUE,FALSE,1
1,1253128,"PORTEOUS Miguel","PORTEOUS M","Miguel","Porteous","12", 4,158,2230,New Zealand,NZL,11,11,"11","63.50","63.50",63500,"63.50","4.25","30.50",TRUE,FALSE,1
1,1372754,"BRIGUET Robin","BRIGUET R","Robin","Briguet","15", 2,149,2213,Switzerland,SUI,12,12,"12","21.75","21.75",21750,"21.75","6.75","3.00",TRUE,FALSE,1
