"No","First_Name","Last_Name","Tm","Pos","G","A","A1","A2","PTS","SOG","PIM","TOI","FOW","FOL","GS"
"10","Lyudmila","Belyakova","ROC","F",0,0,0,0,0,1,0,"5:05",0,0,0.1
"42","Oxana","Bratisheva","ROC","F",0,0,0,0,0,1,0,"17:20",3,13,-1
"26","Yekaterina","Dobrodeyeva","ROC","F",0,0,0,0,0,0,0,"16:18",0,1,-0.11
"79","Landysh","Falyakhova","ROC","F",0,0,0,0,0,0,0,"3:39",0,0,0
"17","Fanuza","Kadirova","ROC","F",1,0,0,0,1,2,0,"16:01",0,0,1.2
"27","Veronika","Korzhakova","ROC","F",0,1,0,1,1,0,0,"16:17",6,4,0.88
"87","Polina","Luchnikova","ROC","F",0,1,1,0,1,1,2,"17:00",0,0,0.7
"15","Valeria","Pavlova","ROC","F",0,0,0,0,0,2,0,"21:31",0,0,0.2
"97","Anna","Shokhina","ROC","F",0,1,1,0,1,5,0,"21:02",0,3,1.07
"18","Olga","Sosina","ROC","F",0,0,0,0,0,2,0,"19:35",0,0,0.2
"29","Alexandra","Vafina","ROC","F",0,0,0,0,0,1,0,"18:48",9,10,-0.01
"22","Maria","Batalova","ROC","D",0,0,0,0,0,0,0,"4:30",0,0,0
"11","Liana","Ganeyeva","ROC","D",0,0,0,0,0,0,0,"1:11",0,0,0
"2","Angelina","Goncharenko","ROC","D",0,0,0,0,0,0,0,"18:19",0,0,0
"76","Yekaterina","Nikolayeva","ROC","D",0,0,0,0,0,0,0,"0:00",0,0,0
"13","Nina","Pirogova","ROC","D",0,0,0,0,0,2,0,"19:27",0,0,0.2
"19","Yelena","Provorova","ROC","D",0,1,0,1,1,1,0,"18:47",0,0,0.76
"72","Anna","Savonina","ROC","D",1,0,0,0,1,2,0,"21:01",0,0,1.2
"70","Anna","Shibanova","ROC","D",0,0,0,0,0,4,2,"22:25",0,0,0.1
"4","Iuliia","Smirnova","ROC","D",0,0,0,0,0,0,0,"18:36",0,0,0
"30","Valeria","Merkusheva","ROC","G",0,0,0,0,0,0,0,"59:26",0,0,0
"69","Maria","Sorokina","ROC","G",0,0,0,0,0,0,0,"0:00",0,0,0
"21","Rahel","Enzler","SUI","F",0,0,0,0,0,2,0,"8:30",0,0,0.2
"71","Lena-Marie","Lutz","SUI","F",0,0,0,0,0,2,0,"10:56",0,0,0.2
"98","Keely","Moy","SUI","F",0,1,1,0,1,2,2,"19:29",1,0,0.91
"25","Alina","Müller","SUI","F",2,1,1,0,3,7,0,"23:19",17,9,4.48
"8","Kaleigh","Quennec","SUI","F",0,0,0,0,0,0,0,"3:18",0,0,0
"14","Evelina","Raselli","SUI","F",0,0,0,0,0,2,2,"22:57",10,3,0.67
"26","Dominique","Rüegg","SUI","F",1,0,0,0,1,4,0,"17:47",0,0,1.4
"24","Noemi","Ryhner","SUI","F",0,0,0,0,0,0,0,"8:52",0,0,0
"88","Phoebe","Staenz","SUI","F",1,0,0,0,1,7,0,"18:52",2,0,1.92
"7","Lara","Stalder","SUI","F",0,2,1,1,2,4,0,"21:12",0,0,1.96
"15","Laura","Zimmermann","SUI","F",0,0,0,0,0,3,0,"10:59",0,0,0.3
"23","Nicole","Bullo","SUI","D",0,0,0,0,0,0,2,"16:42",0,0,-0.3
"17","Lara","Christen","SUI","D",0,0,0,0,0,1,0,"24:35",0,0,0.1
"3","Sarah","Forster","SUI","D",0,0,0,0,0,0,0,"6:46",0,0,0
"22","Sinja","Leemann","SUI","D",0,0,0,0,0,0,0,"24:36",0,0,0
"28","Alina","Marti","SUI","D",0,0,0,0,0,2,0,"8:33",1,6,-0.35
"9","Shannon","Sigrist","SUI","D",0,0,0,0,0,0,0,"11:53",0,0,0
"16","Nicole","Vallario","SUI","D",0,1,0,1,1,0,0,"18:46",0,0,0.66
"18","Stefanie","Wetli","SUI","D",0,0,0,0,0,0,0,"12:01",0,0,0
"20","Andrea","Brändli","SUI","G",0,0,0,0,0,0,0,"60:00",0,0,0
"29","Saskia","Maurer","SUI","G",0,0,0,0,0,0,0,"0:00",0,0,0
