"n_ParticipantType","n_ParticipantID","c_Participant","c_ParticipantShort","c_ParticipantFirstName","c_ParticipantLastName","c_Bib","n_StartOrder","NOC.n_ID","NOC.n_GeoID","NOC.c_Name","NOC.c_Short","n_Rank","n_RankSort","c_Rank","c_Result","c_ResultAbs","n_TimeAbs","n_TimeRel","c_ResultInfo_1","b_Completed","b_Upcoming","n_BDF_StartTime","c_BDF_StartTime","n_BDF_VideoSessionID","c_ClientStreamURL"
1,1177266,"RAHNEVA Mirela","RAHNEVA M","Mirela","Rahneva","11",11,  159, 2231,Canada,CAN, 1, 1,"1","1:02.03","1:02.03",62030,   0,"127.4",TRUE,FALSE,1518048011,"456818:44:31",234,"https://stream.nbcolympics.com/womens-skeleton-heats-1-2"
1,1125007,"NARRACOTT Jaclyn","NARRACOTT J","Jaclyn","Narracott","18",18,  157, 2229,Australia,AUS, 2, 2,"2","+0.02","1:02.05",62050,  20,"126.1",TRUE,FALSE,1518048018,"456818:25:45",234,"https://stream.nbcolympics.com/womens-skeleton-heats-1-2"
1,2067332,"ZHAO Dan","ZHAO D","Dan","Zhao","3", 3,   26, 2770,China,CHN, 3, 3,"3","+0.23","1:02.26",62260, 230,"127.0",TRUE,FALSE,1518048003,"456818:42:34",234,"https://stream.nbcolympics.com/womens-skeleton-heats-1-2"
1,1014597,"LOELLING Jacqueline","LOELLING J","Jacqueline","Lölling","14",14,    2, 2206,Germany,GER, 4, 4,"4","+0.24","1:02.27",62270, 240,"126.8",TRUE,FALSE,1518048014,"456818:41:41",234,"https://stream.nbcolympics.com/womens-skeleton-heats-1-2"
1, 767518,"HERMANN Tina","HERMANN T","Tina","Hermann","7", 7,    2, 2206,Germany,GER, 5, 5,"5","+0.25","1:02.28",62280, 250,"126.3",TRUE,FALSE,1518048007,"456818:40:47",234,"https://stream.nbcolympics.com/womens-skeleton-heats-1-2"
1,1023279,"MEYLEMANS Kim","MEYLEMANS K","Kim","Meylemans","12",12,  147, 2205,Belgium,BEL, 6, 6,"6","+0.32","1:02.35",62350, 320,"125.2",TRUE,FALSE,1518048012,"456817:57:41",234,"https://stream.nbcolympics.com/womens-skeleton-heats-1-2"
1,1233489,"FERNSTADT Anna","FERNSTADT A","Anna","Fernstädt","19",19,   17, 2240,Czech Republic,CZE, 6, 7,"6","+0.32","1:02.35",62350, 320,"126.3",TRUE,FALSE,1518048019,"456818:14:29",234,"https://stream.nbcolympics.com/womens-skeleton-heats-1-2"
1,1339635,"NEISE Hannah","NEISE H","Hannah","Neise","15",15,    2, 2206,Germany,GER, 8, 8,"8","+0.33","1:02.36",62360, 330,"126.7",TRUE,FALSE,1518048015,"456818:41:41",234,"https://stream.nbcolympics.com/womens-skeleton-heats-1-2"
1,1419228,"UHLAENDER Katie","UHLAENDER K","Katie","Uhlaender","16",16,    5, 2209,United States,USA, 9, 9,"9","+0.38","1:02.41",62410, 380,"127.1",TRUE,FALSE,1518048016,"456818:07:45",234,"https://stream.nbcolympics.com/womens-skeleton-heats-1-2"
1, 994801,"BOS Kimberley","BOS K","Kimberley","Bos","4", 4,    1, 2201,Netherlands,NED,10,10,"10","+0.48","1:02.51",62510, 480,"125.9",TRUE,FALSE,1518048004,"456817:39:00",234,"https://stream.nbcolympics.com/womens-skeleton-heats-1-2"
