"n_PersonID","Team","c_Person","c_PersonShort","c_PersonFirstName","c_PersonLastName","c_FunctionShort","n_Sort","c_Value_GAME_SUCCESS","c_Value_CW","c_Value_CCW","c_Value_DRAW","c_Value_TAKEOUT","c_ValueRelative_GAME_SUCCESS","c_ValueRelative_CW","c_ValueRelative_CCW","c_ValueRelative_DRAW","c_ValueRelative_TAKEOUT"
1245715,"CHN","LING Zhi","LING Z","Zhi","Ling","M",5,"24","11","13","18","6","75","84","67","81","58"
2272511,"CHN","FAN Suyuan","FAN S","Suyuan","Fan","F",5,"15","8","7","10","5","63","63","64","65","60"
721966,"USA","PLYS Chris","PLYS C","Chris","Plys","M",5,"24","13","11","13","11","81","87","75","87","75"
1149977,"USA","PERSINGER Vicky","PERSINGER V","Vicky","Persinger","F",5,"16","13","3","15","1","77","85","42","82","0"
