"n_ParticipantType","n_ParticipantID","c_Participant","c_ParticipantShort","c_ParticipantLastName","c_Bib","n_StartOrder","NOC.n_ID","NOC.n_GeoID","NOC.c_Name","NOC.c_Short","n_Rank","n_RankSort","c_Rank","c_Result","c_ResultAbs","n_TimeAbs","n_TimeRel","c_ResultInfo_1","c_ResultInfo_2","b_Completed","b_Upcoming","n_BDF_StartTime","n_BDF_VideoSessionID","c_ClientStreamURL","n_Position1","n_Position2","n_Position3","n_Position4","n_PersonID1","n_PersonID2","n_PersonID3","n_PersonID4","c_Person1","c_Person2","c_Person3","c_Person4","c_PersonFirstName1","c_PersonFirstName2","c_PersonFirstName3","c_PersonFirstName4","c_PersonLastName1","c_PersonLastName2","c_PersonLastName3","c_PersonLastName4","c_PersonShort1","c_PersonShort2","c_PersonShort3","c_PersonShort4","n_BDF_VideoSessionID1","n_BDF_VideoSessionID2","n_BDF_VideoSessionID3","n_BDF_VideoSessionID4","c_ClientStreamURL1","c_ClientStreamURL2","c_ClientStreamURL3","c_ClientStreamURL4"
4, 823159,"Germany","GER","Germany","4", 1,    2, 2206,Germany,GER, 1, 1,"1","58.17","58.17",58170,   0,"FRIEDRICH Francesco","138.2",TRUE,FALSE,1518048001,244,"https://stream.nbcolympics.com/four-man-bobsled-heats-3-4","1","2","3","4","823159","1012833","1355453","1551064","FRIEDRICH Francesco","MARGIS Thorsten","BAUER Candy","SCHULLER Alexander","Francesco","Thorsten","Candy","Alexander","Friedrich","Margis","Bauer","Schüller","FRIEDRICH F","MARGIS T","BAUER C","SCHULLER A","244","244","244","244","https://stream.nbcolympics.com/four-man-bobsled-heats-3-4","https://stream.nbcolympics.com/four-man-bobsled-heats-3-4","https://stream.nbcolympics.com/four-man-bobsled-heats-3-4","https://stream.nbcolympics.com/four-man-bobsled-heats-3-4"
4,1239754,"Germany","GER","Germany","6", 2,    2, 2206,Germany,GER, 2, 2,"2","+0.17","58.34",58340, 170,"LOCHNER Johannes","138.5",TRUE,FALSE,1518048002,244,"https://stream.nbcolympics.com/four-man-bobsled-heats-3-4","1","2","3","4","1239754","1720339","1563729","1458940","LOCHNER Johannes","BAUER Florian","WEBER Christopher","RASP Christian","Johannes","Florian","Christopher","Christian","Lochner","Bauer","Weber","Rasp","LOCHNER J","BAUER F","WEBER C","RASP C","244","244","244","244","https://stream.nbcolympics.com/four-man-bobsled-heats-3-4","https://stream.nbcolympics.com/four-man-bobsled-heats-3-4","https://stream.nbcolympics.com/four-man-bobsled-heats-3-4","https://stream.nbcolympics.com/four-man-bobsled-heats-3-4"
4,1337470,"Germany","GER","Germany","12", 4,    2, 2206,Germany,GER, 3, 3,"3","+0.18","58.35",58350, 180,"HAFER Christoph","138.3",TRUE,FALSE,1518048004,244,"https://stream.nbcolympics.com/four-man-bobsled-heats-3-4","1","2","3","4","1337470","879151","1458194","1563811","HAFER Christoph","SALZER Michael","SOMMER Matthias","SCHNEIDER Tobias","Christoph","Michael","Matthias","Tobias","Hafer","Salzer","Sommer","Schneider","HAFER C","SALZER M","SOMMER M","SCHNEIDER T","244","244","244","244","https://stream.nbcolympics.com/four-man-bobsled-heats-3-4","https://stream.nbcolympics.com/four-man-bobsled-heats-3-4","https://stream.nbcolympics.com/four-man-bobsled-heats-3-4","https://stream.nbcolympics.com/four-man-bobsled-heats-3-4"
4,1023339,"Latvia","LAT","Latvia","9", 5,    9, 2218,Latvia,LAT, 4, 4,"4","+0.24","58.41",58410, 240,"KIBERMANIS Oskars","138.3",TRUE,FALSE,1518048005,244,"https://stream.nbcolympics.com/four-man-bobsled-heats-3-4","1","2","3","4","1023339","1174086","1337495","1938994","KIBERMANIS Oskars","SPRINGIS Davis","MIKNIS Matiss","NEMME Edgars","Oskars","Davis","Matiss","Edgars","Kibermanis","Springis","Miknis","Nemme","KIBERMANIS O","SPRINGIS D","MIKNIS M","NEMME E","244","244","244","244","https://stream.nbcolympics.com/four-man-bobsled-heats-3-4","https://stream.nbcolympics.com/four-man-bobsled-heats-3-4","https://stream.nbcolympics.com/four-man-bobsled-heats-3-4","https://stream.nbcolympics.com/four-man-bobsled-heats-3-4"
4, 654193,"Canada","CAN","Canada","5", 3,  159, 2231,Canada,CAN, 5, 5,"5","+0.27","58.44",58440, 270,"KRIPPS Justin","139.5",TRUE,FALSE,1518048003,244,"https://stream.nbcolympics.com/four-man-bobsled-heats-3-4","1","2","3","4","654193","1939010","1467428","1112810","KRIPPS Justin","SOMMER Ryan","STONES Cameron","COAKWELL Ben","Justin","Ryan","Cameron","Ben","Kripps","Sommer","Stones","Coakwell","KRIPPS J","SOMMER R","STONES C","COAKWELL B","244","244","244","244","https://stream.nbcolympics.com/four-man-bobsled-heats-3-4","https://stream.nbcolympics.com/four-man-bobsled-heats-3-4","https://stream.nbcolympics.com/four-man-bobsled-heats-3-4","https://stream.nbcolympics.com/four-man-bobsled-heats-3-4"
4,1124999,"Great Britain","GBR","Great Britain","8", 6,  211, 4058,Great Britain,GBR, 6, 6,"6","+0.48","58.65",58650, 480,"HALL Bradley","137.5",TRUE,FALSE,1518048006,244,"https://stream.nbcolympics.com/four-man-bobsled-heats-3-4","1","2","3","4","1124999","2062496","1563812","1563744","HALL Bradley","LAWRENCE Taylor","GLEESON Nicholas","CACKETT Greg","Bradley","Taylor","Nicholas","Greg","Hall","Lawrence","Gleeson","Cackett","HALL B","LAWRENCE T","GLEESON N","CACKETT G","244","244","244","244","https://stream.nbcolympics.com/four-man-bobsled-heats-3-4","https://stream.nbcolympics.com/four-man-bobsled-heats-3-4","https://stream.nbcolympics.com/four-man-bobsled-heats-3-4","https://stream.nbcolympics.com/four-man-bobsled-heats-3-4"
4,1592029,"ROC","ROC","ROC","7", 7,23062,73035,ROC,ROC, 7, 7,"7","+0.64","58.81",58810, 640,"GAITIUKEVICH Rostislav","137.0",TRUE,FALSE,1518048007,244,"https://stream.nbcolympics.com/four-man-bobsled-heats-3-4","1","2","3","4","1592029","1551073","1939008","2160926","GAITIUKEVICH Rostislav","MORDASOV Mikhail","TRAVKIN Pavel","LAPTEV Aleksey","Rostislav","Mikhail","Pavel","Aleksey","Gaitiukevich","Mordasov","Travkin","Laptev","GAITIUKEVICH R","MORDASOV M","TRAVKIN P","LAPTEV A","244","244","244","244","https://stream.nbcolympics.com/four-man-bobsled-heats-3-4","https://stream.nbcolympics.com/four-man-bobsled-heats-3-4","https://stream.nbcolympics.com/four-man-bobsled-heats-3-4","https://stream.nbcolympics.com/four-man-bobsled-heats-3-4"
4,1458215,"United States","USA","United States","13",13,    5, 2209,United States,USA, 8, 8,"8","+0.79","58.96",58960, 790,"CHURCH Hunter","136.4",TRUE,FALSE,1518048013,244,"https://stream.nbcolympics.com/four-man-bobsled-heats-3-4","1","2","3","4","1458215","1740782","1954467","2260519","CHURCH Hunter","WILLIAMSON Joshua","HORN Kristopher","VOLKER Charles","Hunter","Joshua","Kristopher","Charles","Church","Williamson","Horn","Volker","CHURCH H","WILLIAMSON J","HORN K","VOLKER C","244","244","244","244","https://stream.nbcolympics.com/four-man-bobsled-heats-3-4","https://stream.nbcolympics.com/four-man-bobsled-heats-3-4","https://stream.nbcolympics.com/four-man-bobsled-heats-3-4","https://stream.nbcolympics.com/four-man-bobsled-heats-3-4"
4,1125013,"ROC","ROC","ROC","14", 8,23062,73035,ROC,ROC, 9, 9,"9","+0.86","59.03",59030, 860,"ANDRIANOV Maxim","136.8",TRUE,FALSE,1518048008,244,"https://stream.nbcolympics.com/four-man-bobsled-heats-3-4","1","2","3","4","1125013","1239768","1551078","1397099","ANDRIANOV Maxim","ZAYTSEV Aleksey","ZHAROVTSEV Vladislav","LOPIN Dmitriy","Maxim","Aleksey","Vladislav","Dmitriy","Andrianov","Zaytsev","Zharovtsev","Lopin","ANDRIANOV M","ZAYTSEV A","ZHAROVTSEV V","LOPIN D","244","244","244","244","https://stream.nbcolympics.com/four-man-bobsled-heats-3-4","https://stream.nbcolympics.com/four-man-bobsled-heats-3-4","https://stream.nbcolympics.com/four-man-bobsled-heats-3-4","https://stream.nbcolympics.com/four-man-bobsled-heats-3-4"
4, 764863,"Canada","CAN","Canada","15",11,  159, 2231,Canada,CAN,10,10,"10","+0.93","59.10",59100, 930,"SPRING Chris","136.4",TRUE,FALSE,1518048011,244,"https://stream.nbcolympics.com/four-man-bobsled-heats-3-4","1","2","3","4","764863","833116","1123908","2167049","SPRING Chris","SORENSEN Cody","GIGUERE Samuel","EVELYN Mike","Chris","Cody","Samuel","Mike","Spring","Sorensen","Giguere","Evelyn","SPRING C","SORENSEN C","GIGUERE S","EVELYN M","244","244","244","244","https://stream.nbcolympics.com/four-man-bobsled-heats-3-4","https://stream.nbcolympics.com/four-man-bobsled-heats-3-4","https://stream.nbcolympics.com/four-man-bobsled-heats-3-4","https://stream.nbcolympics.com/four-man-bobsled-heats-3-4"
