"n_ParticipantType","n_ParticipantID","c_Participant","c_ParticipantShort","c_ParticipantLastName","c_Bib","n_StartOrder","NOC.n_ID","NOC.n_GeoID","NOC.c_Name","NOC.c_Short","n_Rank","n_RankSort","c_Rank","c_Result","c_ResultAbs","n_TimeAbs","n_TimeRel","c_ResultInfo_1","c_ResultInfo_2","b_Completed","b_Upcoming","n_BDF_StartTime","n_BDF_VideoSessionID","c_ClientStreamURL","n_Position1","n_Position2","n_Position3","n_Position4","n_PersonID1","n_PersonID2","n_PersonID3","n_PersonID4","c_Person1","c_Person2","c_Person3","c_Person4","c_PersonFirstName1","c_PersonFirstName2","c_PersonFirstName3","c_PersonFirstName4","c_PersonLastName1","c_PersonLastName2","c_PersonLastName3","c_PersonLastName4","c_PersonShort1","c_PersonShort2","c_PersonShort3","c_PersonShort4","n_BDF_VideoSessionID1","n_BDF_VideoSessionID2","n_BDF_VideoSessionID3","n_BDF_VideoSessionID4","c_ClientStreamURL1","c_ClientStreamURL2","c_ClientStreamURL3","c_ClientStreamURL4"
4, 823159,"Germany","GER","Germany","4",19,    2, 2206,Germany,GER, 1, 1,"1","58.71","58.71",58710,   0,"FRIEDRICH Francesco","136.6",TRUE,FALSE,1518048019,242,"https://stream.nbcolympics.com/four-man-bobsled-heats-1-2","1","2","3","4","823159","1012833","1355453","1551064","FRIEDRICH Francesco","MARGIS Thorsten","BAUER Candy","SCHULLER Alexander","Francesco","Thorsten","Candy","Alexander","Friedrich","Margis","Bauer","Schüller","FRIEDRICH F","MARGIS T","BAUER C","SCHULLER A","242","242","242","242","https://stream.nbcolympics.com/four-man-bobsled-heats-1-2","https://stream.nbcolympics.com/four-man-bobsled-heats-1-2","https://stream.nbcolympics.com/four-man-bobsled-heats-1-2","https://stream.nbcolympics.com/four-man-bobsled-heats-1-2"
4,1023339,"Latvia","LAT","Latvia","9",14,    9, 2218,Latvia,LAT, 2, 2,"2","+0.15","58.86",58860, 150,"KIBERMANIS Oskars","136.6",TRUE,FALSE,1518048014,242,"https://stream.nbcolympics.com/four-man-bobsled-heats-1-2","1","2","3","4","1023339","1174086","1337495","1938994","KIBERMANIS Oskars","SPRINGIS Davis","MIKNIS Matiss","NEMME Edgars","Oskars","Davis","Matiss","Edgars","Kibermanis","Springis","Miknis","Nemme","KIBERMANIS O","SPRINGIS D","MIKNIS M","NEMME E","242","242","242","242","https://stream.nbcolympics.com/four-man-bobsled-heats-1-2","https://stream.nbcolympics.com/four-man-bobsled-heats-1-2","https://stream.nbcolympics.com/four-man-bobsled-heats-1-2","https://stream.nbcolympics.com/four-man-bobsled-heats-1-2"
4,1239754,"Germany","GER","Germany","6",20,    2, 2206,Germany,GER, 3, 3,"3","+0.19","58.90",58900, 190,"LOCHNER Johannes","136.7",TRUE,FALSE,1518048020,242,"https://stream.nbcolympics.com/four-man-bobsled-heats-1-2","1","2","3","4","1239754","1720339","1563729","1458940","LOCHNER Johannes","BAUER Florian","WEBER Christopher","RASP Christian","Johannes","Florian","Christopher","Christian","Lochner","Bauer","Weber","Rasp","LOCHNER J","BAUER F","WEBER C","RASP C","242","242","242","242","https://stream.nbcolympics.com/four-man-bobsled-heats-1-2","https://stream.nbcolympics.com/four-man-bobsled-heats-1-2","https://stream.nbcolympics.com/four-man-bobsled-heats-1-2","https://stream.nbcolympics.com/four-man-bobsled-heats-1-2"
4,1337470,"Germany","GER","Germany","12",15,    2, 2206,Germany,GER, 4, 4,"4","+0.24","58.95",58950, 240,"HAFER Christoph","135.9",TRUE,FALSE,1518048015,242,"https://stream.nbcolympics.com/four-man-bobsled-heats-1-2","1","2","3","4","1337470","879151","1458194","1563811","HAFER Christoph","SALZER Michael","SOMMER Matthias","SCHNEIDER Tobias","Christoph","Michael","Matthias","Tobias","Hafer","Salzer","Sommer","Schneider","HAFER C","SALZER M","SOMMER M","SCHNEIDER T","242","242","242","242","https://stream.nbcolympics.com/four-man-bobsled-heats-1-2","https://stream.nbcolympics.com/four-man-bobsled-heats-1-2","https://stream.nbcolympics.com/four-man-bobsled-heats-1-2","https://stream.nbcolympics.com/four-man-bobsled-heats-1-2"
4, 654193,"Canada","CAN","Canada","5",18,  159, 2231,Canada,CAN, 5, 5,"5","+0.29","59.00",59000, 290,"KRIPPS Justin","138.1",TRUE,FALSE,1518048018,242,"https://stream.nbcolympics.com/four-man-bobsled-heats-1-2","1","2","3","4","654193","1939010","1467428","1112810","KRIPPS Justin","SOMMER Ryan","STONES Cameron","COAKWELL Ben","Justin","Ryan","Cameron","Ben","Kripps","Sommer","Stones","Coakwell","KRIPPS J","SOMMER R","STONES C","COAKWELL B","242","242","242","242","https://stream.nbcolympics.com/four-man-bobsled-heats-1-2","https://stream.nbcolympics.com/four-man-bobsled-heats-1-2","https://stream.nbcolympics.com/four-man-bobsled-heats-1-2","https://stream.nbcolympics.com/four-man-bobsled-heats-1-2"
4,1124999,"Great Britain","GBR","Great Britain","8",16,  211, 4058,Great Britain,GBR, 6, 6,"6","+0.38","59.09",59090, 380,"HALL Bradley","136.7",TRUE,FALSE,1518048016,242,"https://stream.nbcolympics.com/four-man-bobsled-heats-1-2","1","2","3","4","1124999","2062496","1563812","1563744","HALL Bradley","LAWRENCE Taylor","GLEESON Nicholas","CACKETT Greg","Bradley","Taylor","Nicholas","Greg","Hall","Lawrence","Gleeson","Cackett","HALL B","LAWRENCE T","GLEESON N","CACKETT G","242","242","242","242","https://stream.nbcolympics.com/four-man-bobsled-heats-1-2","https://stream.nbcolympics.com/four-man-bobsled-heats-1-2","https://stream.nbcolympics.com/four-man-bobsled-heats-1-2","https://stream.nbcolympics.com/four-man-bobsled-heats-1-2"
4,1729454,"Switzerland","SUI","Switzerland","11", 8,  149, 2213,Switzerland,SUI, 7, 7,"7","+0.51","59.22",59220, 510,"VOGT Michael","136.4",TRUE,FALSE,1518048008,242,"https://stream.nbcolympics.com/four-man-bobsled-heats-1-2","1","2","3","4","1729454","2157791","1734641","1748758","VOGT Michael","ROLLI Luca","BIERI Cyril","MICHEL Sandro","Michael","Luca","Cyril","Sandro","Vogt","Rolli","Bieri","Michel","VOGT M","ROLLI L","BIERI C","MICHEL S","242","242","242","242","https://stream.nbcolympics.com/four-man-bobsled-heats-1-2","https://stream.nbcolympics.com/four-man-bobsled-heats-1-2","https://stream.nbcolympics.com/four-man-bobsled-heats-1-2","https://stream.nbcolympics.com/four-man-bobsled-heats-1-2"
4,1592029,"ROC","ROC","ROC","7",17,23062,73035,ROC,ROC, 8, 8,"8","+0.53","59.24",59240, 530,"GAITIUKEVICH Rostislav","136.2",TRUE,FALSE,1518048017,242,"https://stream.nbcolympics.com/four-man-bobsled-heats-1-2","1","2","3","4","1592029","1551073","1939008","2160926","GAITIUKEVICH Rostislav","MORDASOV Mikhail","TRAVKIN Pavel","LAPTEV Aleksey","Rostislav","Mikhail","Pavel","Aleksey","Gaitiukevich","Mordasov","Travkin","Laptev","GAITIUKEVICH R","MORDASOV M","TRAVKIN P","LAPTEV A","242","242","242","242","https://stream.nbcolympics.com/four-man-bobsled-heats-1-2","https://stream.nbcolympics.com/four-man-bobsled-heats-1-2","https://stream.nbcolympics.com/four-man-bobsled-heats-1-2","https://stream.nbcolympics.com/four-man-bobsled-heats-1-2"
4,1125013,"ROC","ROC","ROC","14",12,23062,73035,ROC,ROC, 9, 9,"9","+0.59","59.30",59300, 590,"ANDRIANOV Maxim","137.4",TRUE,FALSE,1518048012,242,"https://stream.nbcolympics.com/four-man-bobsled-heats-1-2","1","2","3","4","1125013","1239768","1551078","1397099","ANDRIANOV Maxim","ZAYTSEV Aleksey","ZHAROVTSEV Vladislav","LOPIN Dmitriy","Maxim","Aleksey","Vladislav","Dmitriy","Andrianov","Zaytsev","Zharovtsev","Lopin","ANDRIANOV M","ZAYTSEV A","ZHAROVTSEV V","LOPIN D","242","242","242","242","https://stream.nbcolympics.com/four-man-bobsled-heats-1-2","https://stream.nbcolympics.com/four-man-bobsled-heats-1-2","https://stream.nbcolympics.com/four-man-bobsled-heats-1-2","https://stream.nbcolympics.com/four-man-bobsled-heats-1-2"
4, 764863,"Canada","CAN","Canada","15", 9,  159, 2231,Canada,CAN,10,10,"10","+0.62","59.33",59330, 620,"SPRING Chris","136.2",TRUE,FALSE,1518048009,242,"https://stream.nbcolympics.com/four-man-bobsled-heats-1-2","1","2","3","4","764863","833116","1123908","2167049","SPRING Chris","SORENSEN Cody","GIGUERE Samuel","EVELYN Mike","Chris","Cody","Samuel","Mike","Spring","Sorensen","Giguere","Evelyn","SPRING C","SORENSEN C","GIGUERE S","EVELYN M","242","242","242","242","https://stream.nbcolympics.com/four-man-bobsled-heats-1-2","https://stream.nbcolympics.com/four-man-bobsled-heats-1-2","https://stream.nbcolympics.com/four-man-bobsled-heats-1-2","https://stream.nbcolympics.com/four-man-bobsled-heats-1-2"
4,1014145,"Austria","AUT","Austria","10",13,  151, 2219,Austria,AUT,11,11,"11","+0.75","59.46",59460, 750,"MAIER Benjamin","137.2",TRUE,FALSE,1518048013,242,"https://stream.nbcolympics.com/four-man-bobsled-heats-1-2","1","2","3","4","1014145","2062481","1012853","1940375","MAIER Benjamin","STEPAN Sascha","SAMMER Markus","HUBER Kristian","Benjamin","Sascha","Markus","Kristian","Maier","Stepan","Sammer","Huber","MAIER B","STEPAN S","SAMMER M","HUBER K","242","242","242","242","https://stream.nbcolympics.com/four-man-bobsled-heats-1-2","https://stream.nbcolympics.com/four-man-bobsled-heats-1-2","https://stream.nbcolympics.com/four-man-bobsled-heats-1-2","https://stream.nbcolympics.com/four-man-bobsled-heats-1-2"
