"n_ParticipantType1","n_ParticipantType2","n_ParticipantID1","n_ParticipantID2","c_Participant1","c_Participant2","c_ParticipantShort1","c_ParticipantShort2","c_ParticipantFirstName1","c_ParticipantFirstName2","c_ParticipantLastName1","c_ParticipantLastName2","c_Bib1","c_Bib2","n_StartOrder1","n_StartOrder2","NOC.n_ID1","NOC.n_ID2","NOC.n_GeoID1","NOC.n_GeoID2","NOC.c_Name1","NOC.c_Name2","NOC.c_Short1","NOC.c_Short2","n_Rank1","n_Rank2","n_RankSort1","n_RankSort2","c_Rank1","c_Rank2","c_Result1","c_Result2","c_ResultAbs1","c_ResultAbs2","n_TimeAbs1","n_TimeAbs2","n_TimeRel1","n_TimeRel2","b_Completed1","b_Completed2","b_Upcoming1","b_Upcoming2","c_ODF_IRM1","c_ODF_IRM2"
"1","1","549918","333880","WILD Vic","FISCHNALLER Roland","WILD V","FISCHNALLER R","Vic","Roland","Wild","Fischnaller","9","6","1","2","23062","6","73035","2210","ROC","Italy","ROC","ITA","1","2","1","2","1","2","41.48","DNF","41.48","DNF","41480",NA,"0",NA,"TRUE","TRUE","FALSE","FALSE",NA,"DNF"
"1","1","571851","922194","KARL Benjamin","MASTNAK Tim","KARL B","MASTNAK T","Benjamin","Tim","Karl","Mastnak","2","4","2","1","151","30","2219","2783","Austria","Slovenia","AUT","SLO","1","2","1","2","1","2","41.90","+0.82","41.90","42.72","41900","42720","0","820","TRUE","TRUE","FALSE","FALSE",NA,NA
