"n_ParticipantType","n_ParticipantID","c_Participant","c_ParticipantShort","c_ParticipantFirstName","c_ParticipantLastName","c_Bib","n_StartOrder","NOC.n_ID","NOC.n_GeoID","NOC.c_Name","NOC.c_Short","n_Rank","n_RankSort","c_Rank","c_Result","c_ResultAbs","n_TimeAbs","n_TimeRel","b_Completed","b_Upcoming","c_ODF_IRM"
1, 597246,"KOTNIK Gloria","KOTNIK G","Gloria","Kotnik","14",2, 30,2783,Slovenia,SLO,1,1,"1","45.18","45.18",45180, 0,TRUE,FALSE,NA
1,1027538,"DEKKER Michelle","DEKKER M","Michelle","Dekker","13",1,  1,2201,Netherlands,NED,2,2,"2","DNF","DNF",NA,NA,TRUE,FALSE,"DNF"
1, 915831,"LEDECKA Ester","LEDECKA E","Ester","Ledecká","1",1, 17,2240,Czech Republic,CZE,1,1,"1","43.74","43.74",43740, 0,TRUE,FALSE,NA
1,1252358,"ULBING Daniela","ULBING D","Daniela","Ulbing","7",2,151,2219,Austria,AUT,2,2,"2","DNF","DNF",NA,NA,TRUE,FALSE,"DNF"
