"Sport.n_ID","Sport.n_TypeID","Sport.c_Name","Sport.c_Short","Sport.c_ParticipatingNOCIDList","DateList.n_DateLocal","DateList.b_LiveWindowDate","c_TimeFirstEventLocal","c_TimeFirstEventUTC","c_TimeLastEventLocal","c_TimeLastEventUTC","b_TimeUnknown","b_Scheduled","b_MatchupComplete","b_MatchupPartial","b_StartList","b_InProgress","b_Finished","b_LiveWindow","b_Delayed","b_Postponed","b_Cancelled","b_Rescheduled","n_EventMatchID","n_MatchID","c_Match","n_MatchNr","n_MatchLevel","b_KnockoutMatch","n_ContainerMatchID","c_ContainerMatch","n_NavigationMatchID","Match","c_ParticipatingNOCIDList","c_ScheduleStatus","c_ODF_ScheduleStatus","c_RSCCode","n_BDF_StartTime","c_BDF_StartTime","n_BDF_VideoSessionID","c_ClientStreamURL","Sport.n_ID","Sport.n_TypeID","Sport.c_Name","Sport.c_Short","GenderEvent.n_ID","GenderEvent.c_Name","GenderEvent.c_Short","Event.n_ID","Event.n_TypeID","Event.c_Name","Event.c_Short","Event.n_Sort","Gender.n_ID","Gender.c_Name","Gender.c_Short","DateTimes.Start.c_Local","DateTimes.Start.d_Local","DateTimes.Start.n_Local","DateTimes.Start.c_UTC","DateTimes.Start.d_UTC","DateTimes.Start.n_UTC","DateTimes.End.c_Local","DateTimes.End.d_Local","DateTimes.End.n_Local","DateTimes.End.c_UTC","DateTimes.End.d_UTC","DateTimes.End.n_UTC","Venue.n_ID","Venue.c_Name","Venue.c_Short","Location.n_ID","Location.c_Name","Location.c_Short","Country.n_ID","Country.c_Name","Country.c_Short","MedalsToBeAwarded.b_Gold","MedalsToBeAwarded.b_Silver","MedalsToBeAwarded.b_Bronze"
103,3,"Speed Skating","SSK","1;2;5;6;8;9;12;17;18;24;26;31;103;106;147;149;150;151;152;153;154;158;159;160;164;211;23062",20220215,FALSE,"2022-02-15T14:30:00","2022-02-15T06:30:00","2022-02-15T14:30:00","2022-02-15T06:30:00",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1969403,2411175,"Semifinals",2,4,FALSE,1969403,"Team Pursuit",2411175,NA,";1;18;159;23062;","Finished","FINISHED","SSKWTEAMPU------------SFNL--------",NA,NA,NA,"https://stream.nbcolympics.com/speek-staking-team-pursuit-finals",103,3,"Speed Skating","SSK",324,"Women's Team Pursuit","Women's Team Pursuit",11148,4,"Team Pursuit","Team Pursuit",NA,2,"Women","W","2022-02-15T14:30:00","/Date(1644935400000+0000)/",20220215,"2022-02-15T06:30:00","/Date(1644906600000+0000)/",20220215,"2022-02-15T14:42:00","/Date(1644936120000+0000)/",20220215,"2022-02-15T06:42:00","/Date(1644907320000+0000)/",20220215,71488,"National Speed Skating Oval",NA,3647,"Beijing",NA,2770,"China","CHN",FALSE,FALSE,FALSE
103,3,"Speed Skating","SSK","1;2;5;6;8;9;12;17;18;24;26;31;103;106;147;149;150;151;152;153;154;158;159;160;164;211;23062",20220215,FALSE,"2022-02-15T14:52:00","2022-02-15T06:52:00","2022-02-15T14:52:00","2022-02-15T06:52:00",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1969402,2411279,"Semifinals",2,4,FALSE,1969402,"Team Pursuit",2411279,NA,";1;5;153;23062;","Finished","FINISHED","SSKMTEAMPU------------SFNL--------",NA,NA,NA,"https://stream.nbcolympics.com/speek-staking-team-pursuit-finals",103,3,"Speed Skating","SSK",2264,"Men's Team Pursuit","Men's Team Pursuit",10856,4,"Team Pursuit","Team Pursuit",NA,1,"Men","M","2022-02-15T14:52:00","/Date(1644936720000+0000)/",20220215,"2022-02-15T06:52:00","/Date(1644907920000+0000)/",20220215,"2022-02-15T15:04:00","/Date(1644937440000+0000)/",20220215,"2022-02-15T07:04:00","/Date(1644908640000+0000)/",20220215,71488,"National Speed Skating Oval",NA,3647,"Beijing",NA,2770,"China","CHN",FALSE,FALSE,FALSE
103,3,"Speed Skating","SSK","1;2;5;6;8;9;12;17;18;24;26;31;103;106;147;149;150;151;152;153;154;158;159;160;164;211;23062",20220215,FALSE,"2022-02-15T15:24:00","2022-02-15T07:24:00","2022-02-15T15:24:00","2022-02-15T07:24:00",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1969403,2411176,"Finals",3,2,FALSE,1969403,"Team Pursuit",2411176,NA,";1;18;26;103;150;153;159;23062;","Finished","FINISHED","SSKWTEAMPU------------FNL---------",NA,NA,NA,"https://stream.nbcolympics.com/speek-staking-team-pursuit-finals",103,3,"Speed Skating","SSK",324,"Women's Team Pursuit","Women's Team Pursuit",11148,4,"Team Pursuit","Team Pursuit",NA,2,"Women","W","2022-02-15T15:24:00","/Date(1644938640000+0000)/",20220215,"2022-02-15T07:24:00","/Date(1644909840000+0000)/",20220215,"2022-02-15T16:34:00","/Date(1644942840000+0000)/",20220215,"2022-02-15T08:34:00","/Date(1644914040000+0000)/",20220215,71488,"National Speed Skating Oval",NA,3647,"Beijing",NA,2770,"China","CHN",TRUE,TRUE,TRUE
103,3,"Speed Skating","SSK","1;2;5;6;8;9;12;17;18;24;26;31;103;106;147;149;150;151;152;153;154;158;159;160;164;211;23062",20220215,FALSE,"2022-02-15T15:43:00","2022-02-15T07:43:00","2022-02-15T15:43:00","2022-02-15T07:43:00",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1969402,2411280,"Finals",3,2,FALSE,1969402,"Team Pursuit",2411280,NA,";1;5;6;26;106;153;159;23062;","Finished","FINISHED","SSKMTEAMPU------------FNL---------",NA,NA,NA,"https://stream.nbcolympics.com/speek-staking-team-pursuit-finals",103,3,"Speed Skating","SSK",2264,"Men's Team Pursuit","Men's Team Pursuit",10856,4,"Team Pursuit","Team Pursuit",NA,1,"Men","M","2022-02-15T15:43:00","/Date(1644939780000+0000)/",20220215,"2022-02-15T07:43:00","/Date(1644910980000+0000)/",20220215,"2022-02-15T16:53:00","/Date(1644943980000+0000)/",20220215,"2022-02-15T08:53:00","/Date(1644915180000+0000)/",20220215,71488,"National Speed Skating Oval",NA,3647,"Beijing",NA,2770,"China","CHN",TRUE,TRUE,TRUE
103,3,"Speed Skating","SSK","1;2;5;6;8;9;12;17;18;24;26;31;103;106;147;149;150;151;152;153;154;158;159;160;164;211;23062",20220217,FALSE,"2022-02-17T16:30:00","2022-02-17T08:30:00","2022-02-17T16:30:00","2022-02-17T08:30:00",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1969393,1969393,NA,NA,NA,FALSE,1969393,"1000m",1969393,NA,";1;5;17;18;26;31;103;106;147;150;151;153;159;160;164;211;23062;","Finished","FINISHED","SSKW1000M-------------FNL-000100--",NA,NA,258,"https://stream.nbcolympics.com/speed-skating-womens-1000m",103,3,"Speed Skating","SSK",4800,"Women's 1000m","Women's 1000m",2,1,"1000m","1000m",NA,2,"Women","W","2022-02-17T16:30:00","/Date(1645115400000+0000)/",20220217,"2022-02-17T08:30:00","/Date(1645086600000+0000)/",20220217,"2022-02-17T17:42:30","/Date(1645119750000+0000)/",20220217,"2022-02-17T09:42:30","/Date(1645090950000+0000)/",20220217,71488,"National Speed Skating Oval",NA,3647,"Beijing",NA,2770,"China","CHN",TRUE,TRUE,TRUE
103,3,"Speed Skating","SSK","1;2;5;6;8;9;12;17;18;24;26;31;103;106;147;149;150;151;152;153;154;158;159;160;164;211;23062",20220218,FALSE,"2022-02-18T16:30:00","2022-02-18T08:30:00","2022-02-18T16:30:00","2022-02-18T08:30:00",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1969392,1969392,NA,NA,NA,FALSE,1969392,"1000m",1969392,NA,";1;2;5;6;8;18;26;103;106;147;150;153;159;160;211;23062;","Finished","FINISHED","SSKM1000M-------------FNL-000100--",NA,NA,259,"https://stream.nbcolympics.com/speed-skating-mens-1000m",103,3,"Speed Skating","SSK",2598,"Men's 1000m","Men's 1000m",2,1,"1000m","1000m",NA,1,"Men","M","2022-02-18T16:30:00","/Date(1645201800000+0000)/",20220218,"2022-02-18T08:30:00","/Date(1645173000000+0000)/",20220218,"2022-02-18T17:40:00","/Date(1645206000000+0000)/",20220218,"2022-02-18T09:40:00","/Date(1645177200000+0000)/",20220218,71488,"National Speed Skating Oval",NA,3647,"Beijing",NA,2770,"China","CHN",TRUE,TRUE,TRUE
103,3,"Speed Skating","SSK","1;2;5;6;8;9;12;17;18;24;26;31;103;106;147;149;150;151;152;153;154;158;159;160;164;211;23062",20220219,FALSE,"2022-02-19T15:00:00","2022-02-19T07:00:00","2022-02-19T15:00:00","2022-02-19T07:00:00",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1969400,2411399,"Semifinals",1,9,FALSE,1969400,"Mass Start",2411399,NA,";1;2;5;6;9;18;26;103;106;147;149;150;151;152;153;158;159;160;23062;","Finished","FINISHED","SSKMMS----------------SFNL--------",NA,NA,NA,"https://stream.nbcolympics.com/speed-skating-mass-start",103,3,"Speed Skating","SSK",7826,"Men's Mass Start","Men's Mass Start",16622,1,"Mass Start","Mass Start",NA,1,"Men","M","2022-02-19T15:00:00","/Date(1645282800000+0000)/",20220219,"2022-02-19T07:00:00","/Date(1645254000000+0000)/",20220219,"2022-02-19T15:30:00","/Date(1645284600000+0000)/",20220219,"2022-02-19T07:30:00","/Date(1645255800000+0000)/",20220219,71488,"National Speed Skating Oval",NA,3647,"Beijing",NA,2770,"China","CHN",FALSE,FALSE,FALSE
103,3,"Speed Skating","SSK","1;2;5;6;8;9;12;17;18;24;26;31;103;106;147;149;150;151;152;153;154;158;159;160;164;211;23062",20220219,FALSE,"2022-02-19T15:45:00","2022-02-19T07:45:00","2022-02-19T15:45:00","2022-02-19T07:45:00",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1969401,2411451,"Semifinals",1,9,FALSE,1969401,"Mass Start",2411451,NA,";1;2;5;6;12;17;18;24;26;103;106;147;149;150;153;159;160;23062;","Finished","FINISHED","SSKWMS----------------SFNL--------",NA,NA,NA,"https://stream.nbcolympics.com/speed-skating-mass-start",103,3,"Speed Skating","SSK",7476,"Women's Mass Start","Women's Mass Start",16622,1,"Mass Start","Mass Start",NA,2,"Women","W","2022-02-19T15:45:00","/Date(1645285500000+0000)/",20220219,"2022-02-19T07:45:00","/Date(1645256700000+0000)/",20220219,"2022-02-19T16:15:00","/Date(1645287300000+0000)/",20220219,"2022-02-19T08:15:00","/Date(1645258500000+0000)/",20220219,71488,"National Speed Skating Oval",NA,3647,"Beijing",NA,2770,"China","CHN",FALSE,FALSE,FALSE
103,3,"Speed Skating","SSK","1;2;5;6;8;9;12;17;18;24;26;31;103;106;147;149;150;151;152;153;154;158;159;160;164;211;23062",20220219,FALSE,"2022-02-19T16:30:00","2022-02-19T08:30:00","2022-02-19T16:30:00","2022-02-19T08:30:00",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1969400,2411400,"Final",2,2,FALSE,1969400,"Mass Start",2411400,NA,";1;5;6;18;26;106;147;149;151;153;159;23062;","Finished","FINISHED","SSKMMS----------------FNL---------",NA,NA,260,"https://stream.nbcolympics.com/speed-skating-mass-start",103,3,"Speed Skating","SSK",7826,"Men's Mass Start","Men's Mass Start",16622,1,"Mass Start","Mass Start",NA,1,"Men","M","2022-02-19T16:30:00","/Date(1645288200000+0000)/",20220219,"2022-02-19T08:30:00","/Date(1645259400000+0000)/",20220219,"2022-02-19T16:45:00","/Date(1645289100000+0000)/",20220219,"2022-02-19T08:45:00","/Date(1645260300000+0000)/",20220219,71488,"National Speed Skating Oval",NA,3647,"Beijing",NA,2770,"China","CHN",TRUE,TRUE,TRUE
103,3,"Speed Skating","SSK","1;2;5;6;8;9;12;17;18;24;26;31;103;106;147;149;150;151;152;153;154;158;159;160;164;211;23062",20220219,FALSE,"2022-02-19T17:00:00","2022-02-19T09:00:00","2022-02-19T17:00:00","2022-02-19T09:00:00",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1969401,2411452,"Final",2,2,FALSE,1969401,"Mass Start",2411452,NA,";1;2;5;6;18;26;103;106;150;159;160;23062;","Finished","FINISHED","SSKWMS----------------FNL---------",NA,NA,260,"https://stream.nbcolympics.com/speed-skating-mass-start",103,3,"Speed Skating","SSK",7476,"Women's Mass Start","Women's Mass Start",16622,1,"Mass Start","Mass Start",NA,2,"Women","W","2022-02-19T17:00:00","/Date(1645290000000+0000)/",20220219,"2022-02-19T09:00:00","/Date(1645261200000+0000)/",20220219,"2022-02-19T17:15:00","/Date(1645290900000+0000)/",20220219,"2022-02-19T09:15:00","/Date(1645262100000+0000)/",20220219,71488,"National Speed Skating Oval",NA,3647,"Beijing",NA,2770,"China","CHN",TRUE,TRUE,TRUE
