"Sport.n_ID","Sport.n_TypeID","Sport.c_Name","Sport.c_Short","Sport.c_ParticipatingNOCIDList","DateList.n_DateLocal","DateList.b_LiveWindowDate","c_TimeFirstEventLocal","c_TimeFirstEventUTC","c_TimeLastEventLocal","c_TimeLastEventUTC","b_TimeUnknown","b_Scheduled","b_MatchupComplete","b_MatchupPartial","b_StartList","b_InProgress","b_Finished","b_LiveWindow","b_Delayed","b_Postponed","b_Cancelled","b_Rescheduled","n_EventMatchID","n_MatchID","c_Match","n_MatchNr","n_MatchLevel","b_KnockoutMatch","n_ContainerMatchID","c_ContainerMatch","n_NavigationMatchID","Match","c_ParticipatingNOCIDList","c_ScheduleStatus","c_ODF_ScheduleStatus","c_RSCCode","n_BDF_StartTime","c_BDF_StartTime","n_BDF_VideoSessionID","c_ClientStreamURL","GenderEvent.n_ID","GenderEvent.c_Name","GenderEvent.c_Short","Event.n_ID","Event.n_TypeID","Event.c_Name","Event.c_Short","Event.n_Sort","Gender.n_ID","Gender.c_Name","Gender.c_Short","DateTimes.Start.c_Local","DateTimes.Start.d_Local","DateTimes.Start.n_Local","DateTimes.Start.c_UTC","DateTimes.Start.d_UTC","DateTimes.Start.n_UTC","DateTimes.End.c_Local","DateTimes.End.d_Local","DateTimes.End.n_Local","DateTimes.End.c_UTC","DateTimes.End.d_UTC","DateTimes.End.n_UTC","Venue.n_ID","Venue.c_Name","Venue.c_Short","Location.n_ID","Location.c_Name","Location.c_Short","Country.n_ID","Country.c_Name","Country.c_Short","MedalsToBeAwarded.b_Gold","MedalsToBeAwarded.b_Silver","MedalsToBeAwarded.b_Bronze"
220,3,"Cross-Country Skiing","CCS","2;5;6;7;8;9;10;12;13;14;16;17;18;19;24;25;26;28;30;33;78;87;89;90;93;101;103;106;144;145;147;149;150;151;153;154;155;156;157;159;160;161;164;167;171;173;211;213;219;226;231;3679;23062",20220205,FALSE,"2022-02-05T15:45:00","2022-02-05T07:45:00","2022-02-05T15:45:00","2022-02-05T07:45:00",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1937863,1937863,NA,NA,NA,FALSE,1937863,"2 x 7.5km Skiathlon",1937863,NA,";2;5;6;8;9;13;17;18;26;30;106;144;149;150;151;153;154;155;157;159;160;161;167;23062;","Finished","FINISHED","CCSWSKIATHLN----------FNL-000100--",NA,NA,200,"https://stream.nbcolympics.com/cross-country-skiing-skiathlon-womens",842,"Women's 15km Skiathlon","Women's 15km Skiathlon",10861,1,"15km Skiathlon","7.5km/7.5km",NA,2,"Women","W","2022-02-05T15:45:00","/Date(1644075900000+0000)/",20220205,"2022-02-05T07:45:00","/Date(1644047100000+0000)/",20220205,"2022-02-05T16:35:00","/Date(1644078900000+0000)/",20220205,"2022-02-05T08:35:00","/Date(1644050100000+0000)/",20220205,73854,"Zhangjiakou Cross-Country Centre",NA,25216,"Zhangjiakou",NA,2770,"China","CHN",TRUE,TRUE,TRUE
220,3,"Cross-Country Skiing","CCS","2;5;6;7;8;9;10;12;13;14;16;17;18;19;24;25;26;28;30;33;78;87;89;90;93;101;103;106;144;145;147;149;150;151;153;154;155;156;157;159;160;161;164;167;171;173;211;213;219;226;231;3679;23062",20220206,FALSE,"2022-02-06T15:00:00","2022-02-06T07:00:00","2022-02-06T15:00:00","2022-02-06T07:00:00",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1937862,1937862,NA,NA,NA,FALSE,1937862,"2 x 15km Skiathlon",1937862,NA,";2;5;6;8;9;13;14;16;17;18;19;24;26;30;101;106;144;145;147;149;150;151;153;154;155;157;159;160;161;164;211;213;226;23062;","Finished","FINISHED","CCSMSKIATHLN----------FNL-000100--",NA,NA,201,"https://stream.nbcolympics.com/cross-country-skiing-skiathlon-mens",5698,"Men's 30km Skiathlon","Men's 30km Skiathlon",10862,1,"30km Skiathlon","15km/15km",NA,1,"Men","M","2022-02-06T15:00:00","/Date(1644159600000+0000)/",20220206,"2022-02-06T07:00:00","/Date(1644130800000+0000)/",20220206,"2022-02-06T16:25:00","/Date(1644164700000+0000)/",20220206,"2022-02-06T08:25:00","/Date(1644135900000+0000)/",20220206,73854,"Zhangjiakou Cross-Country Centre",NA,25216,"Zhangjiakou",NA,2770,"China","CHN",TRUE,TRUE,TRUE
220,3,"Cross-Country Skiing","CCS","2;5;6;7;8;9;10;12;13;14;16;17;18;19;24;25;26;28;30;33;78;87;89;90;93;101;103;106;144;145;147;149;150;151;153;154;155;156;157;159;160;161;164;167;171;173;211;213;219;226;231;3679;23062",20220208,FALSE,"2022-02-08T16:00:00","2022-02-08T08:00:00","2022-02-08T16:00:00","2022-02-08T08:00:00",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1937865,2412662,"Qualification",1,31,FALSE,1937865,"Sprint Freestyle",2412662,NA,";2;5;6;7;8;9;13;14;16;17;24;26;30;33;78;89;101;106;144;149;150;151;153;154;157;159;160;161;164;171;173;213;226;23062;","Finished","FINISHED","CCSWSPRINT------------QUAL--------",NA,NA,202,"https://stream.nbcolympics.com/cross-country-skiing-sprint-individual",204,"Women's Individual Sprint","Women's Individual Sprint",12116,1,"Sprint Freestyle","SP F",NA,2,"Women","W","2022-02-08T16:00:00","/Date(1644336000000+0000)/",20220208,"2022-02-08T08:00:00","/Date(1644307200000+0000)/",20220208,"2022-02-08T16:25:00","/Date(1644337500000+0000)/",20220208,"2022-02-08T08:25:00","/Date(1644308700000+0000)/",20220208,73854,"Zhangjiakou Cross-Country Centre",NA,25216,"Zhangjiakou",NA,2770,"China","CHN",FALSE,FALSE,FALSE
220,3,"Cross-Country Skiing","CCS","2;5;6;7;8;9;10;12;13;14;16;17;18;19;24;25;26;28;30;33;78;87;89;90;93;101;103;106;144;145;147;149;150;151;153;154;155;156;157;159;160;161;164;167;171;173;211;213;219;226;231;3679;23062",20220208,FALSE,"2022-02-08T16:45:00","2022-02-08T08:45:00","2022-02-08T16:45:00","2022-02-08T08:45:00",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1937864,2412651,"Qualification",1,31,FALSE,1937864,"Sprint Freestyle",2412651,NA,";2;5;6;7;8;9;12;13;16;17;18;24;26;28;30;33;78;89;90;93;101;103;106;144;145;147;149;150;151;153;154;157;159;160;161;164;171;173;211;219;226;231;3679;23062;","Finished","FINISHED","CCSMSPRINT------------QUAL--------",NA,NA,202,"https://stream.nbcolympics.com/cross-country-skiing-sprint-individual",4397,"Men's Individual Sprint","Men's Individual Sprint",12116,1,"Sprint Freestyle","SP F",NA,1,"Men","M","2022-02-08T16:45:00","/Date(1644338700000+0000)/",20220208,"2022-02-08T08:45:00","/Date(1644309900000+0000)/",20220208,"2022-02-08T17:25:00","/Date(1644341100000+0000)/",20220208,"2022-02-08T09:25:00","/Date(1644312300000+0000)/",20220208,73854,"Zhangjiakou Cross-Country Centre",NA,25216,"Zhangjiakou",NA,2770,"China","CHN",FALSE,FALSE,FALSE
220,3,"Cross-Country Skiing","CCS","2;5;6;7;8;9;10;12;13;14;16;17;18;19;24;25;26;28;30;33;78;87;89;90;93;101;103;106;144;145;147;149;150;151;153;154;155;156;157;159;160;161;164;167;171;173;211;213;219;226;231;3679;23062",20220208,FALSE,"2022-02-08T18:30:00","2022-02-08T10:30:00","2022-02-08T18:30:00","2022-02-08T10:30:00",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1937865,2412663,"Quarterfinals",2,13,FALSE,1937865,"Sprint Freestyle",2412663,NA,";2;5;6;17;30;149;153;154;159;161;23062;","Finished","FINISHED","CCSWSPRINT------------QFNL--------",NA,NA,NA,"https://stream.nbcolympics.com/cross-country-skiing-individual-sprint-finals",204,"Women's Individual Sprint","Women's Individual Sprint",12116,1,"Sprint Freestyle","SP F",NA,2,"Women","W","2022-02-08T18:30:00","/Date(1644345000000+0000)/",20220208,"2022-02-08T10:30:00","/Date(1644316200000+0000)/",20220208,"2022-02-08T19:02:30","/Date(1644346950000+0000)/",20220208,"2022-02-08T11:02:30","/Date(1644318150000+0000)/",20220208,73854,"Zhangjiakou Cross-Country Centre",NA,25216,"Zhangjiakou",NA,2770,"China","CHN",FALSE,FALSE,FALSE
220,3,"Cross-Country Skiing","CCS","2;5;6;7;8;9;10;12;13;14;16;17;18;19;24;25;26;28;30;33;78;87;89;90;93;101;103;106;144;145;147;149;150;151;153;154;155;156;157;159;160;161;164;167;171;173;211;213;219;226;231;3679;23062",20220208,FALSE,"2022-02-08T19:02:30","2022-02-08T11:02:30","2022-02-08T19:02:30","2022-02-08T11:02:30",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1937864,2412652,"Quarterfinals",2,13,FALSE,1937864,"Sprint Freestyle",2412652,NA,";5;6;9;17;26;144;149;150;153;154;161;23062;","Finished","FINISHED","CCSMSPRINT------------QFNL--------",NA,NA,NA,"https://stream.nbcolympics.com/cross-country-skiing-individual-sprint-finals",4397,"Men's Individual Sprint","Men's Individual Sprint",12116,1,"Sprint Freestyle","SP F",NA,1,"Men","M","2022-02-08T19:02:30","/Date(1644346950000+0000)/",20220208,"2022-02-08T11:02:30","/Date(1644318150000+0000)/",20220208,"2022-02-08T19:32:30","/Date(1644348750000+0000)/",20220208,"2022-02-08T11:32:30","/Date(1644319950000+0000)/",20220208,73854,"Zhangjiakou Cross-Country Centre",NA,25216,"Zhangjiakou",NA,2770,"China","CHN",FALSE,FALSE,FALSE
220,3,"Cross-Country Skiing","CCS","2;5;6;7;8;9;10;12;13;14;16;17;18;19;24;25;26;28;30;33;78;87;89;90;93;101;103;106;144;145;147;149;150;151;153;154;155;156;157;159;160;161;164;167;171;173;211;213;219;226;231;3679;23062",20220208,FALSE,"2022-02-08T19:32:30","2022-02-08T11:32:30","2022-02-08T19:32:30","2022-02-08T11:32:30",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1937865,2412664,"Semifinals",3,7,FALSE,1937865,"Sprint Freestyle",2412664,NA,";2;5;30;149;153;154;23062;","Finished","FINISHED","CCSWSPRINT------------SFNL--------",NA,NA,NA,"https://stream.nbcolympics.com/cross-country-skiing-individual-sprint-finals",204,"Women's Individual Sprint","Women's Individual Sprint",12116,1,"Sprint Freestyle","SP F",NA,2,"Women","W","2022-02-08T19:32:30","/Date(1644348750000+0000)/",20220208,"2022-02-08T11:32:30","/Date(1644319950000+0000)/",20220208,"2022-02-08T19:45:30","/Date(1644349530000+0000)/",20220208,"2022-02-08T11:45:30","/Date(1644320730000+0000)/",20220208,73854,"Zhangjiakou Cross-Country Centre",NA,25216,"Zhangjiakou",NA,2770,"China","CHN",FALSE,FALSE,FALSE
220,3,"Cross-Country Skiing","CCS","2;5;6;7;8;9;10;12;13;14;16;17;18;19;24;25;26;28;30;33;78;87;89;90;93;101;103;106;144;145;147;149;150;151;153;154;155;156;157;159;160;161;164;167;171;173;211;213;219;226;231;3679;23062",20220208,FALSE,"2022-02-08T19:45:30","2022-02-08T11:45:30","2022-02-08T19:45:30","2022-02-08T11:45:30",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1937864,2412653,"Semifinals",3,7,FALSE,1937864,"Sprint Freestyle",2412653,NA,";5;6;144;153;154;161;23062;","Finished","FINISHED","CCSMSPRINT------------SFNL--------",NA,NA,NA,"https://stream.nbcolympics.com/cross-country-skiing-individual-sprint-finals",4397,"Men's Individual Sprint","Men's Individual Sprint",12116,1,"Sprint Freestyle","SP F",NA,1,"Men","M","2022-02-08T19:45:30","/Date(1644349530000+0000)/",20220208,"2022-02-08T11:45:30","/Date(1644320730000+0000)/",20220208,"2022-02-08T19:57:30","/Date(1644350250000+0000)/",20220208,"2022-02-08T11:57:30","/Date(1644321450000+0000)/",20220208,73854,"Zhangjiakou Cross-Country Centre",NA,25216,"Zhangjiakou",NA,2770,"China","CHN",FALSE,FALSE,FALSE
220,3,"Cross-Country Skiing","CCS","2;5;6;7;8;9;10;12;13;14;16;17;18;19;24;25;26;28;30;33;78;87;89;90;93;101;103;106;144;145;147;149;150;151;153;154;155;156;157;159;160;161;164;167;171;173;211;213;219;226;231;3679;23062",20220208,FALSE,"2022-02-08T19:59:00","2022-02-08T11:59:00","2022-02-08T19:59:00","2022-02-08T11:59:00",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1937865,2412665,"Final",4,2,FALSE,1937865,"Sprint Freestyle",2412665,NA,";5;149;154;","Finished","FINISHED","CCSWSPRINT------------FNL---------",NA,NA,202,"https://stream.nbcolympics.com/cross-country-skiing-individual-sprint-finals",204,"Women's Individual Sprint","Women's Individual Sprint",12116,1,"Sprint Freestyle","SP F",NA,2,"Women","W","2022-02-08T19:59:00","/Date(1644350340000+0000)/",20220208,"2022-02-08T11:59:00","/Date(1644321540000+0000)/",20220208,"2022-02-08T20:04:00","/Date(1644350640000+0000)/",20220208,"2022-02-08T12:04:00","/Date(1644321840000+0000)/",20220208,73854,"Zhangjiakou Cross-Country Centre",NA,25216,"Zhangjiakou",NA,2770,"China","CHN",TRUE,TRUE,TRUE
220,3,"Cross-Country Skiing","CCS","2;5;6;7;8;9;10;12;13;14;16;17;18;19;24;25;26;28;30;33;78;87;89;90;93;101;103;106;144;145;147;149;150;151;153;154;155;156;157;159;160;161;164;167;171;173;211;213;219;226;231;3679;23062",20220208,FALSE,"2022-02-08T20:11:30","2022-02-08T12:11:30","2022-02-08T20:11:30","2022-02-08T12:11:30",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1937864,2412654,"Final",4,2,FALSE,1937864,"Sprint Freestyle",2412654,NA,";6;153;154;161;23062;","Finished","FINISHED","CCSMSPRINT------------FNL---------",NA,NA,202,"https://stream.nbcolympics.com/cross-country-skiing-individual-sprint-finals",4397,"Men's Individual Sprint","Men's Individual Sprint",12116,1,"Sprint Freestyle","SP F",NA,1,"Men","M","2022-02-08T20:11:30","/Date(1644351090000+0000)/",20220208,"2022-02-08T12:11:30","/Date(1644322290000+0000)/",20220208,"2022-02-08T20:16:30","/Date(1644351390000+0000)/",20220208,"2022-02-08T12:16:30","/Date(1644322590000+0000)/",20220208,73854,"Zhangjiakou Cross-Country Centre",NA,25216,"Zhangjiakou",NA,2770,"China","CHN",TRUE,TRUE,TRUE
