"Sport.n_ID","Sport.n_TypeID","Sport.c_Name","Sport.c_Short","Sport.c_ParticipatingNOCIDList","DateList.n_DateLocal","DateList.b_LiveWindowDate","c_TimeFirstEventLocal","c_TimeFirstEventUTC","c_TimeLastEventLocal","c_TimeLastEventUTC","b_TimeUnknown","b_Scheduled","b_MatchupComplete","b_MatchupPartial","b_StartList","b_InProgress","b_Finished","b_LiveWindow","b_Delayed","b_Postponed","b_Cancelled","b_Rescheduled","n_EventMatchID","n_MatchID","c_Match","n_MatchNr","n_MatchLevel","b_KnockoutMatch","n_ContainerMatchID","c_ContainerMatch","n_NavigationMatchID","Match","c_ParticipatingNOCIDList","c_ScheduleStatus","c_ODF_ScheduleStatus","c_RSCCode","n_BDF_StartTime","c_BDF_StartTime","n_BDF_VideoSessionID","c_ClientStreamURL","Sport.n_ID","Sport.n_TypeID","Sport.c_Name","Sport.c_Short","GenderEvent.n_ID","GenderEvent.c_Name","GenderEvent.c_Short","Event.n_ID","Event.n_TypeID","Event.c_Name","Event.c_Short","Event.n_Sort","Gender.n_ID","Gender.c_Name","Gender.c_Short","DateTimes.Start.c_Local","DateTimes.Start.d_Local","DateTimes.Start.n_Local","DateTimes.Start.c_UTC","DateTimes.Start.d_UTC","DateTimes.Start.n_UTC","DateTimes.End.c_Local","DateTimes.End.d_Local","DateTimes.End.n_Local","DateTimes.End.c_UTC","DateTimes.End.d_UTC","DateTimes.End.n_UTC","Venue.n_ID","Venue.c_Name","Venue.c_Short","Location.n_ID","Location.c_Name","Location.c_Short","Country.n_ID","Country.c_Name","Country.c_Short","MedalsToBeAwarded.b_Gold","MedalsToBeAwarded.b_Silver","MedalsToBeAwarded.b_Bronze"
307,3,"Skeleton","SKN","1;2;5;6;9;13;16;17;26;106;114;145;147;149;151;157;159;211;258;277;23062",20220210,FALSE,"2022-02-10T09:30:00","2022-02-10T01:30:00","2022-02-10T09:30:00","2022-02-10T01:30:00",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1937920,2412930,"Run 1",1,NA,FALSE,1937920,"Individual",2412930,NA,";2;5;6;9;13;26;106;145;149;151;157;159;211;258;23062;","Finished","FINISHED","SKNMSINGLES-----------FNL-000100--",NA,NA,233,"https://stream.nbcolympics.com/mens-skeleton-heats-1-2",307,3,"Skeleton","SKN",4345,"Men's Individual","Men's Individual",10776,1,"Individual","Individual",NA,1,"Men","M","2022-02-10T09:30:00","/Date(1644485400000+0000)/",20220210,"2022-02-10T01:30:00","/Date(1644456600000+0000)/",20220210,"2022-02-10T10:25:00","/Date(1644488700000+0000)/",20220210,"2022-02-10T02:25:00","/Date(1644459900000+0000)/",20220210,73852,"Yanqing Sliding Centre",NA,53887,"Yanqing",NA,2770,"China","CHN",FALSE,FALSE,FALSE
307,3,"Skeleton","SKN","1;2;5;6;9;13;16;17;26;106;114;145;147;149;151;157;159;211;258;277;23062",20220210,FALSE,"2022-02-10T11:00:00","2022-02-10T03:00:00","2022-02-10T11:00:00","2022-02-10T03:00:00",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1937920,2412931,"Run 2",2,NA,FALSE,1937920,"Individual",2412931,NA,";2;5;6;9;13;26;106;145;149;151;157;159;211;258;23062;","Finished","FINISHED","SKNMSINGLES-----------FNL-000200--",NA,NA,233,"https://stream.nbcolympics.com/mens-skeleton-heats-1-2",307,3,"Skeleton","SKN",4345,"Men's Individual","Men's Individual",10776,1,"Individual","Individual",NA,1,"Men","M","2022-02-10T11:00:00","/Date(1644490800000+0000)/",20220210,"2022-02-10T03:00:00","/Date(1644462000000+0000)/",20220210,"2022-02-10T11:55:00","/Date(1644494100000+0000)/",20220210,"2022-02-10T03:55:00","/Date(1644465300000+0000)/",20220210,73852,"Yanqing Sliding Centre",NA,53887,"Yanqing",NA,2770,"China","CHN",FALSE,FALSE,FALSE
307,3,"Skeleton","SKN","1;2;5;6;9;13;16;17;26;106;114;145;147;149;151;157;159;211;258;277;23062",20220211,FALSE,"2022-02-11T09:30:00","2022-02-11T01:30:00","2022-02-11T09:30:00","2022-02-11T01:30:00",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1937921,2412958,"Run 1",1,NA,FALSE,1937921,"Individual",2412958,NA,";1;2;5;6;9;16;17;26;106;114;147;151;157;159;211;277;23062;","Finished","FINISHED","SKNWSINGLES-----------FNL-000100--",NA,NA,234,"https://stream.nbcolympics.com/womens-skeleton-heats-1-2",307,3,"Skeleton","SKN",942,"Women's Individual","Women's Individual",10776,1,"Individual","Individual",NA,2,"Women","W","2022-02-11T09:30:00","/Date(1644571800000+0000)/",20220211,"2022-02-11T01:30:00","/Date(1644543000000+0000)/",20220211,"2022-02-11T10:25:00","/Date(1644575100000+0000)/",20220211,"2022-02-11T02:25:00","/Date(1644546300000+0000)/",20220211,73852,"Yanqing Sliding Centre",NA,53887,"Yanqing",NA,2770,"China","CHN",FALSE,FALSE,FALSE
307,3,"Skeleton","SKN","1;2;5;6;9;13;16;17;26;106;114;145;147;149;151;157;159;211;258;277;23062",20220211,FALSE,"2022-02-11T11:00:00","2022-02-11T03:00:00","2022-02-11T11:00:00","2022-02-11T03:00:00",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1937921,2412959,"Run 2",2,NA,FALSE,1937921,"Individual",2412959,NA,";1;2;5;6;9;16;17;26;106;114;147;151;157;159;211;277;23062;","Finished","FINISHED","SKNWSINGLES-----------FNL-000200--",NA,NA,234,"https://stream.nbcolympics.com/womens-skeleton-heats-1-2",307,3,"Skeleton","SKN",942,"Women's Individual","Women's Individual",10776,1,"Individual","Individual",NA,2,"Women","W","2022-02-11T11:00:00","/Date(1644577200000+0000)/",20220211,"2022-02-11T03:00:00","/Date(1644548400000+0000)/",20220211,"2022-02-11T11:55:00","/Date(1644580500000+0000)/",20220211,"2022-02-11T03:55:00","/Date(1644551700000+0000)/",20220211,73852,"Yanqing Sliding Centre",NA,53887,"Yanqing",NA,2770,"China","CHN",FALSE,FALSE,FALSE
307,3,"Skeleton","SKN","1;2;5;6;9;13;16;17;26;106;114;145;147;149;151;157;159;211;258;277;23062",20220211,FALSE,"2022-02-11T20:20:00","2022-02-11T12:20:00","2022-02-11T20:20:00","2022-02-11T12:20:00",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1937920,2412932,"Run 3",3,NA,FALSE,1937920,"Individual",2412932,NA,";2;5;6;9;13;26;106;145;149;151;157;159;211;258;23062;","Finished","FINISHED","SKNMSINGLES-----------FNL-000300--",NA,NA,235,"https://stream.nbcolympics.com/mens-skeleton-heats-3-4",307,3,"Skeleton","SKN",4345,"Men's Individual","Men's Individual",10776,1,"Individual","Individual",NA,1,"Men","M","2022-02-11T20:20:00","/Date(1644610800000+0000)/",20220211,"2022-02-11T12:20:00","/Date(1644582000000+0000)/",20220211,"2022-02-11T21:15:00","/Date(1644614100000+0000)/",20220211,"2022-02-11T13:15:00","/Date(1644585300000+0000)/",20220211,73852,"Yanqing Sliding Centre",NA,53887,"Yanqing",NA,2770,"China","CHN",FALSE,FALSE,FALSE
307,3,"Skeleton","SKN","1;2;5;6;9;13;16;17;26;106;114;145;147;149;151;157;159;211;258;277;23062",20220211,FALSE,"2022-02-11T21:55:00","2022-02-11T13:55:00","2022-02-11T21:55:00","2022-02-11T13:55:00",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1937920,2412933,"Run 4",4,NA,FALSE,1937920,"Individual",2412933,NA,";2;6;9;13;26;106;151;159;211;258;23062;","Finished","FINISHED","SKNMSINGLES-----------FNL-000400--",NA,NA,235,"https://stream.nbcolympics.com/mens-skeleton-heats-3-4",307,3,"Skeleton","SKN",4345,"Men's Individual","Men's Individual",10776,1,"Individual","Individual",NA,1,"Men","M","2022-02-11T21:55:00","/Date(1644616500000+0000)/",20220211,"2022-02-11T13:55:00","/Date(1644587700000+0000)/",20220211,"2022-02-11T22:50:00","/Date(1644619800000+0000)/",20220211,"2022-02-11T14:50:00","/Date(1644591000000+0000)/",20220211,73852,"Yanqing Sliding Centre",NA,53887,"Yanqing",NA,2770,"China","CHN",TRUE,TRUE,TRUE
307,3,"Skeleton","SKN","1;2;5;6;9;13;16;17;26;106;114;145;147;149;151;157;159;211;258;277;23062",20220212,FALSE,"2022-02-12T20:20:00","2022-02-12T12:20:00","2022-02-12T20:20:00","2022-02-12T12:20:00",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1937921,2412960,"Run 3",3,NA,FALSE,1937921,"Individual",2412960,NA,";1;2;5;6;9;16;17;26;106;114;147;151;157;159;211;277;23062;","Finished","FINISHED","SKNWSINGLES-----------FNL-000300--",NA,NA,236,"https://stream.nbcolympics.com/womens-skeleton-heats-3-4",307,3,"Skeleton","SKN",942,"Women's Individual","Women's Individual",10776,1,"Individual","Individual",NA,2,"Women","W","2022-02-12T20:20:00","/Date(1644697200000+0000)/",20220212,"2022-02-12T12:20:00","/Date(1644668400000+0000)/",20220212,"2022-02-12T21:15:00","/Date(1644700500000+0000)/",20220212,"2022-02-12T13:15:00","/Date(1644671700000+0000)/",20220212,73852,"Yanqing Sliding Centre",NA,53887,"Yanqing",NA,2770,"China","CHN",FALSE,FALSE,FALSE
307,3,"Skeleton","SKN","1;2;5;6;9;13;16;17;26;106;114;145;147;149;151;157;159;211;258;277;23062",20220212,FALSE,"2022-02-12T21:55:00","2022-02-12T13:55:00","2022-02-12T21:55:00","2022-02-12T13:55:00",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1937921,2412961,"Run 4",4,NA,FALSE,1937921,"Individual",2412961,NA,";1;2;5;6;9;16;17;26;147;151;157;159;211;23062;","Finished","FINISHED","SKNWSINGLES-----------FNL-000400--",NA,NA,236,"https://stream.nbcolympics.com/womens-skeleton-heats-3-4",307,3,"Skeleton","SKN",942,"Women's Individual","Women's Individual",10776,1,"Individual","Individual",NA,2,"Women","W","2022-02-12T21:55:00","/Date(1644702900000+0000)/",20220212,"2022-02-12T13:55:00","/Date(1644674100000+0000)/",20220212,"2022-02-12T22:40:00","/Date(1644705600000+0000)/",20220212,"2022-02-12T14:40:00","/Date(1644676800000+0000)/",20220212,73852,"Yanqing Sliding Centre",NA,53887,"Yanqing",NA,2770,"China","CHN",TRUE,TRUE,TRUE
