"n_ParticipantType","n_ParticipantID","c_Participant","c_ParticipantShort","c_ParticipantFirstName","c_ParticipantLastName","c_Bib","n_StartOrder","NOC.n_ID","NOC.n_GeoID","NOC.c_Name","NOC.c_Short","n_Rank","n_RankSort","c_Rank","c_Result","c_ResultAbs","n_TimeAbs","n_TimeRel","b_Completed","b_Upcoming","n_BDF_StartTime","c_BDF_StartTime","n_BDF_VideoSessionID","c_ClientStreamURL","c_ODF_IRM"
1,1020876,"STROLZ Johannes","STROLZ J","Johannes","Strolz","19",19,  151, 2219,Austria,AUT, 1, 1,"1","53.92","53.92",53920,    0,TRUE,FALSE,1518048019,"456938:46:24",15,"https://stream.nbcolympics.com/alpine-skiing-slalom-mens-run-1",NA
1,1020845,"KRISTOFFERSEN Henrik","KRISTOFFERSEN H","Henrik","Kristoffersen","3", 3,  153, 2221,Norway,NOR, 2, 2,"2","+0.02","53.94",53940,   20,TRUE,FALSE,1518048003,"456940:21:46",15,"https://stream.nbcolympics.com/alpine-skiing-slalom-mens-run-1",NA
1,1088006,"FOSS SOLEVAAG Sebastian","FOSS SOLEVAAG S","Sebastian Foss","Solevåg","2", 2,  153, 2221,Norway,NOR, 3, 3,"3","+0.06","53.98",53980,   60,TRUE,FALSE,1518048002,"456938:20:08",15,"https://stream.nbcolympics.com/alpine-skiing-slalom-mens-run-1",NA
1,1245489,"MEILLARD Loic","MEILLARD L","Loïc","Meillard","11",11,  149, 2213,Switzerland,SUI, 4, 4,"4","+0.30","54.22",54220,  300,TRUE,FALSE,1518048011,"456938:30:40",15,"https://stream.nbcolympics.com/alpine-skiing-slalom-mens-run-1",NA
1,1087690,"STRASSER Linus","STRASSER L","Linus","Straßer","5", 5,    2, 2206,Germany,GER, 5, 5,"5","+0.33","54.25",54250,  330,TRUE,FALSE,1518048005,"456938:21:24",15,"https://stream.nbcolympics.com/alpine-skiing-slalom-mens-run-1",NA
1,1351727,"NOEL Clement","NOEL C","Clément","Noël","4", 4,  144, 2202,France,FRA, 6, 6,"6","+0.38","54.30",54300,  380,TRUE,FALSE,1518048004,"456938:19:54",15,"https://stream.nbcolympics.com/alpine-skiing-slalom-mens-run-1",NA
1,1020871,"MATT Michael","MATT M","Michael","Matt","10",10,  151, 2219,Austria,AUT, 7, 7,"7","+0.44","54.36",54360,  440,TRUE,FALSE,1518048010,"456938:29:04",15,"https://stream.nbcolympics.com/alpine-skiing-slalom-mens-run-1",NA
1,1245502,"SALA Tommaso","SALA T","Tommaso","Sala","20",20,    6, 2210,Italy,ITA, 8, 8,"8","+0.45","54.37",54370,  450,TRUE,FALSE,1518048020,"456938:48:14",15,"https://stream.nbcolympics.com/alpine-skiing-slalom-mens-run-1",NA
1,1245465,"POPOV Albert","POPOV A","Albert","Popov","22",22,  148, 2211,Bulgaria,BUL, 9, 9,"9","+0.70","54.62",54620,  700,TRUE,FALSE,1518048022,"456938:51:29",15,"https://stream.nbcolympics.com/alpine-skiing-slalom-mens-run-1",NA
1, 578601,"KHOROSHILOV Alexander","KHOROSHILOV A","Alexander","Khoroshilov","21",21,23062,73035,ROC,ROC,10,10,"10","+0.71","54.63",54630,  710,TRUE,FALSE,1518048021,"456938:49:47",15,"https://stream.nbcolympics.com/alpine-skiing-slalom-mens-run-1",NA
