"n_ParticipantType","n_ParticipantID","c_Participant","c_ParticipantShort","c_ParticipantFirstName","c_ParticipantLastName","c_Bib","n_StartOrder","NOC.n_ID","NOC.n_GeoID","NOC.c_Name","NOC.c_Short","n_Rank","n_RankSort","c_Rank","c_Result","c_ResultAbs","n_TimeAbs","n_TimeRel","b_Completed","b_Upcoming","n_BDF_StartTime","c_BDF_StartTime","n_BDF_VideoSessionID","c_ClientStreamURL","c_ODF_IRM"
1, 827252,"HECTOR Sara","HECTOR S","Sara","Hector","6", 6,  154, 2222,Sweden,SWE, 1, 1,"1","57.56","57.56",57560,    0,TRUE,FALSE,1518048006,"456723:07:19",3,"https://stream.nbcolympics.com/alpine-skiing-giant-slalom-womens-run-1",NA
1,1342989,"TRUPPE Katharina","TRUPPE K","Katharina","Truppe","8", 8,  151, 2219,Austria,AUT, 2, 2,"2","+0.30","57.86",57860,  300,TRUE,FALSE,1518048008,"456723:06:53",3,"https://stream.nbcolympics.com/alpine-skiing-giant-slalom-womens-run-1",NA
1, 711462,"BRIGNONE Federica","BRIGNONE F","Federica","Brignone","3", 3,    6, 2210,Italy,ITA, 3, 3,"3","+0.42","57.98",57980,  420,TRUE,FALSE,1518048003,"456723:06:30",3,"https://stream.nbcolympics.com/alpine-skiing-giant-slalom-womens-run-1",NA
1,1351961,"HROVAT Meta","HROVAT M","Meta","Hrovat","9", 9,   30, 2783,Slovenia,SLO, 4, 4,"4","+0.92","58.48",58480,  920,TRUE,FALSE,1518048009,"456721:42:00",3,"https://stream.nbcolympics.com/alpine-skiing-giant-slalom-womens-run-1",NA
1, 836165,"MOWINCKEL Ragnhild","MOWINCKEL R","Ragnhild","Mowinckel","11",11,  153, 2221,Norway,NOR, 5, 5,"5","+1.02","58.58",58580, 1020,TRUE,FALSE,1518048011,"456721:44:58",3,"https://stream.nbcolympics.com/alpine-skiing-giant-slalom-womens-run-1",NA
1,1367425,"O'BRIEN Nina","O'BRIEN N","Nina","O'Brien","21",21,    5, 2209,United States,USA, 6, 6,"6","+1.25","58.81",58810, 1250,TRUE,FALSE,1518048021,"456722:04:58",3,"https://stream.nbcolympics.com/alpine-skiing-giant-slalom-womens-run-1",NA
1, 605623,"WORLEY Tessa","WORLEY T","Tessa","Worley","4", 4,  144, 2202,France,FRA, 7, 7,"7","+1.37","58.93",58930, 1370,TRUE,FALSE,1518048004,"456721:34:27",3,"https://stream.nbcolympics.com/alpine-skiing-giant-slalom-womens-run-1",NA
1, 705102,"GUT-BEHRAMI Lara","GUT-BEHRAMI L","Lara","Gut-Behrami","14",14,  149, 2213,Switzerland,SUI, 8, 8,"8","+1.51","59.07",59070, 1510,TRUE,FALSE,1518048014,"456721:49:26",3,"https://stream.nbcolympics.com/alpine-skiing-giant-slalom-womens-run-1",NA
1,1128102,"GISIN Michelle","GISIN M","Michelle","Gisin","2", 2,  149, 2213,Switzerland,SUI, 9, 9,"9","+1.63","59.19",59190, 1630,TRUE,FALSE,1518048002,"456721:31:29",3,"https://stream.nbcolympics.com/alpine-skiing-giant-slalom-womens-run-1",NA
1, 836102,"HOLDENER Wendy","HOLDENER W","Wendy","Holdener","16",16,  149, 2213,Switzerland,SUI,10,10,"10","+1.65","59.21",59210, 1650,TRUE,FALSE,1518048016,"456721:54:58",3,"https://stream.nbcolympics.com/alpine-skiing-giant-slalom-womens-run-1",NA
1,1001923,"GASIENICA DANIEL Maryna","GASIENICA DANIEL M","Maryna","Gasienica Daniel","12",12,  150, 2214,Poland,POL,11,11,"11","+1.68","59.24",59240, 1680,TRUE,FALSE,1518048012,"456721:46:29",3,"https://stream.nbcolympics.com/alpine-skiing-giant-slalom-womens-run-1",NA
1,1547772,"RAST Camille","RAST C","Camille","Rast","24",24,  149, 2213,Switzerland,SUI,12,12,"12","+1.73","59.29",59290, 1730,TRUE,FALSE,1518048024,"456722:11:58",3,"https://stream.nbcolympics.com/alpine-skiing-giant-slalom-womens-run-1",NA
