"n_ParticipantType","n_ParticipantID","c_Participant","c_ParticipantShort","c_ParticipantFirstName","c_ParticipantLastName","c_Bib","n_StartOrder","NOC.n_ID","NOC.n_GeoID","NOC.c_Name","NOC.c_Short","n_Rank","n_RankSort","c_Rank","c_Result","c_ResultAbs","n_TimeAbs","n_TimeRel","b_Completed","b_Upcoming","n_BDF_StartTime","c_BDF_StartTime","n_BDF_VideoSessionID","c_ClientStreamURL","c_ODF_IRM"
1, 991635,"SUTER Corinne","SUTER C","Corinne","Suter","15",15,  149, 2213,Switzerland,SUI, 1, 1,"1","1:31.87","1:31.87", 91870,    0,TRUE,FALSE,1518048015,"456916:03:11",14,"https://stream.nbcolympics.com/alpine-skiing-downhill-womens",NA
1, 836103,"GOGGIA Sofia","GOGGIA S","Sofia","Goggia","13",13,    6, 2210,Italy,ITA, 2, 2,"2","+0.16","1:32.03", 92030,  160,TRUE,FALSE,1518048013,"456915:58:41",14,"https://stream.nbcolympics.com/alpine-skiing-downhill-womens",NA
1,1479799,"DELAGO Nadia","DELAGO N","Nadia","Delago","11",11,    6, 2210,Italy,ITA, 3, 3,"3","+0.57","1:32.44", 92440,  570,TRUE,FALSE,1518048011,"456915:54:12",14,"https://stream.nbcolympics.com/alpine-skiing-downhill-womens",NA
1,1342990,"WEIDLE Kira","WEIDLE K","Kira","Weidle","17",17,    2, 2206,Germany,GER, 4, 4,"4","+0.71","1:32.58", 92580,  710,TRUE,FALSE,1518048017,"456916:07:41",14,"https://stream.nbcolympics.com/alpine-skiing-downhill-womens",NA
1, 769656,"CURTONI Elena","CURTONI E","Elena","Curtoni","1", 1,    6, 2210,Italy,ITA, 5, 5,"5","+1.00","1:32.87", 92870, 1000,TRUE,FALSE,1518048001,"456915:29:57",14,"https://stream.nbcolympics.com/alpine-skiing-downhill-womens",NA
1,1001278,"HAEHLEN Joana","HAEHLEN J","Joana","Hählen","4", 4,  149, 2213,Switzerland,SUI, 6, 6,"6","+1.29","1:33.16", 93160, 1290,TRUE,FALSE,1518048004,"456915:36:41",14,"https://stream.nbcolympics.com/alpine-skiing-downhill-womens",NA
1, 994170,"HUTTER Cornelia","HUTTER C","Cornelia","Hütter","18",18,  151, 2219,Austria,AUT, 7, 7,"7","+1.48","1:33.35", 93350, 1480,TRUE,FALSE,1518048018,"456916:09:52",14,"https://stream.nbcolympics.com/alpine-skiing-downhill-womens",NA
1,1020945,"PUCHNER Mirjam","PUCHNER M","Mirjam","Puchner","9", 9,  151, 2219,Austria,AUT, 8, 8,"8","+1.58","1:33.45", 93450, 1580,TRUE,FALSE,1518048009,"456915:47:52",14,"https://stream.nbcolympics.com/alpine-skiing-downhill-womens",NA
1, 760867,"GAGNON Marie-Michele","GAGNON MM","Marie-Michèle","Gagnon","8", 8,  159, 2231,Canada,CAN, 8, 9,"8","+1.58","1:33.45", 93450, 1580,TRUE,FALSE,1518048008,"456915:45:42",14,"https://stream.nbcolympics.com/alpine-skiing-downhill-womens",NA
1,1147288,"GAUCHE Laura","GAUCHE L","Laura","Gauché","16",16,  144, 2202,France,FRA,10,10,"10","+1.60","1:33.47", 93470, 1600,TRUE,FALSE,1518048016,"456916:05:23",14,"https://stream.nbcolympics.com/alpine-skiing-downhill-womens",NA
1,1245596,"DELAGO Nicol","DELAGO N","Nicol","Delago","10",10,    6, 2210,Italy,ITA,11,11,"11","+1.82","1:33.69", 93690, 1820,TRUE,FALSE,1518048010,"456915:50:12",14,"https://stream.nbcolympics.com/alpine-skiing-downhill-womens",NA
1, 769612,"SIEBENHOFER Ramona","SIEBENHOFER R","Ramona","Siebenhofer","7", 7,  151, 2219,Austria,AUT,12,12,"12","+1.94","1:33.81", 93810, 1940,TRUE,FALSE,1518048007,"456915:43:23",14,"https://stream.nbcolympics.com/alpine-skiing-downhill-womens",NA
1,1021111,"MIRADOLI Romane","MIRADOLI R","Romane","Miradoli","2", 2,  144, 2202,France,FRA,13,13,"13","+2.06","1:33.93", 93930, 2060,TRUE,FALSE,1518048002,"456915:32:12",14,"https://stream.nbcolympics.com/alpine-skiing-downhill-womens",NA
1, 836165,"MOWINCKEL Ragnhild","MOWINCKEL R","Ragnhild","Mowinckel","6", 6,  153, 2221,Norway,NOR,14,14,"14","+2.10","1:33.97", 93970, 2100,TRUE,FALSE,1518048006,"456915:41:12",14,"https://stream.nbcolympics.com/alpine-skiing-downhill-womens",NA
1,1001298,"FLURY Jasmine","FLURY J","Jasmine","Flury","3", 3,  149, 2213,Switzerland,SUI,15,15,"15","+2.13","1:34.00", 94000, 2130,TRUE,FALSE,1518048003,"456915:34:29",14,"https://stream.nbcolympics.com/alpine-skiing-downhill-womens",NA
1, 705102,"GUT-BEHRAMI Lara","GUT-BEHRAMI L","Lara","Gut-Behrami","19",19,  149, 2213,Switzerland,SUI,16,16,"16","+2.16","1:34.03", 94030, 2160,TRUE,FALSE,1518048019,"456916:12:07",14,"https://stream.nbcolympics.com/alpine-skiing-downhill-womens",NA
1,1475282,"CASHMAN Keely","CASHMAN K","Keely","Cashman","26",26,    5, 2209,United States,USA,17,17,"17","+2.26","1:34.13", 94130, 2260,TRUE,FALSE,1518048026,"456916:28:24",14,"https://stream.nbcolympics.com/alpine-skiing-downhill-womens",NA
