"n_ParticipantType","n_ParticipantID","c_Participant","c_ParticipantShort","c_ParticipantLastName","c_Bib","n_StartOrder","NOC.n_ID","NOC.n_GeoID","NOC.c_Name","NOC.c_Short","n_Rank","n_RankSort","c_Rank","c_Result","c_ResultAbs","n_TimeAbs","n_TimeRel","b_Completed","b_Upcoming","n_Position1","n_Position2","n_PersonID1","n_PersonID2","c_Person1","c_Person2","c_PersonFirstName1","c_PersonFirstName2","c_PersonLastName1","c_PersonLastName2","c_PersonShort1","c_PersonShort2","c_Bib1","c_Bib2"
2,  1236,"HENNIG K/CARL V","Hennig/Carl","Hennig/Carl","4", 2,    2, 2206,Germany,GER, 1, 1,"1","22:09.85","22:09.85",1329850,     0,TRUE,FALSE,"1","2","1135589","1018338","HENNIG Katharina","CARL Victoria","Katharina","Victoria","Hennig","Carl","HENNIG K","CARL V","4-2","4-1"
2,   258,"DAHLQVIST M/SUNDLING J","Dahlqvist/Sundling","Dahlqvist/Sundling","15", 5,  154, 2222,Sweden,SWE, 2, 2,"2","+0.17","22:10.02",1330020,   170,TRUE,FALSE,"1","2","1240378","1018286","DAHLQVIST Maja","SUNDLING Jonna","Maja","Jonna","Dahlqvist","Sundling","DAHLQVIST M","SUNDLING J","15-2","15-1"
2,475657,"STUPAK Y/NEPRYAEVA N","Stupak/Nepryaeva","Stupak/Nepryaeva","14", 1,23062,73035,ROC,ROC, 3, 3,"3","+0.71","22:10.56",1330560,   710,TRUE,FALSE,"1","2","1240372","1135218","STUPAK Yulia","NEPRYAEVA Natalia","Yulia","Natalia","Stupak","Nepryaeva","STUPAK Y","NEPRYAEVA N","14-1","14-1"
2,   740,"NISKANEN K/PARMAKOSKI K","Niskanen/Pärmäkoski","Niskanen/Pärmäkoski","16", 3,  161, 2237,Finland,FIN, 4, 4,"4","+3.86","22:13.71",1333710,  3860,TRUE,FALSE,"1","2","703248","721248","NISKANEN Kerttu","PARMAKOSKI Krista","Kerttu","Krista","Niskanen","Pärmäkoski","NISKANEN K","PARMAKOSKI K","16-1","16-1"
2,   773,"BRENNAN R/DIGGINS J","Brennan/Diggins","Brennan/Diggins","1", 4,    5, 2209,United States,USA, 5, 5,"5","+12.93","22:22.78",1342780, 12930,TRUE,FALSE,"1","2","763037","774305","BRENNAN Rosie","DIGGINS Jessie","Rosie","Jessica","Brennan","Diggins","BRENNAN R","DIGGINS J","1-1","1-1"
2,   468,"STADLOBER T/UNTERWEGER L","Stadlober/Unterweger","Stadlober/Unterweger","5", 6,  151, 2219,Austria,AUT, 6, 6,"6","+45.40","22:55.25",1375250, 45400,TRUE,FALSE,"1","2","1018377","1018298","STADLOBER Teresa","UNTERWEGER Lisa","Teresa","Lisa","Stadlober","Unterweger","STADLOBER T","UNTERWEGER L","5-1","5-1"
2,   521,"VAN DER GRAAFF L/FAEHNDRICH N","van der Graaff/Fähndrich","van der Graaff/Fähndrich","2", 8,  149, 2213,Switzerland,SUI, 7, 7,"7","+52.24","23:02.09",1382090, 52240,TRUE,FALSE,"1","2","720788","1023376","VAN DER GRAAFF Laurien","FAEHNDRICH Nadine","Laurien","Nadine","van der Graaff","Fähndrich","VAN DER GRAAFF L","FAEHNDRICH N","2-1","2-1"
2,   672,"WENG TU/FALLA MC","Weng/Falla","Weng/Falla","17", 7,  153, 2221,Norway,NOR, 8, 8,"8","+1:05.43","23:15.28",1395280, 65430,TRUE,FALSE,"1","2","1240502","759504","WENG Tiril Udnes","FALLA Maiken Caspersen","Tiril Udnes","Maiken Caspersen","Weng","Falla","WENG TU","FALLA MC","17-1","17-1"
2,  1169,"MARCISZ I/SKINDER M","Marcisz/Skinder","Marcisz/Skinder","20",10,  150, 2214,Poland,POL, 9, 9,"9","+1:38.16","23:48.01",1428010, 98160,TRUE,FALSE,"1","2","1718981","1718982","MARCISZ Izabela","SKINDER Monika","Izabela","Monika","Marcisz","Skinder","MARCISZ I","SKINDER M","20-1","20-1"
2,  2598,"GAL M/QUINTIN L","Gal/Quintin","Gal/Quintin","21", 9,  144, 2202,France,FRA,10,10,"10","+1:55.07","24:04.92",1444920,115070,TRUE,FALSE,"1","2","1629739","1352033","GAL Melissa","QUINTIN Lena","Melissa","Léna","Gal","Quintin","GAL M","QUINTIN L","21-1","21-1"
