"n_ParticipantType","n_ParticipantID","c_Participant","c_ParticipantShort","c_ParticipantFirstName","c_ParticipantLastName","c_Bib","n_StartOrder","NOC.n_ID","NOC.n_GeoID","NOC.c_Name","NOC.c_Short","n_Rank","n_RankSort","c_Rank","c_Result","c_ResultAbs","n_TimeAbs","n_TimeRel","b_Completed","b_Upcoming","c_ODF_IRM"
1,1356894,"BOLSHUNOV Alexander","BOLSHUNOV A","Alexander","Bolshunov","2", 2,23062,73035,ROC,ROC, 1, 1,"1","1:16:09.8","1:16:09.8",4569800,     0,TRUE,FALSE,NA
1,1240546,"SPITSOV Denis","SPITSOV D","Denis","Spitsov","6", 6,23062,73035,ROC,ROC, 2, 2,"2","+1:11.0","1:17:20.8",4640800, 71000,TRUE,FALSE,NA
1, 839516,"NISKANEN Iivo","NISKANEN I","Iivo","Niskanen","4", 4,  161, 2237,Finland,FIN, 3, 3,"3","+2:00.2","1:18:10.0",4690000,120200,TRUE,FALSE,NA
1, 720975,"HOLUND Hans Christer","HOLUND HC","Hans Christer","Holund","8", 8,  153, 2221,Norway,NOR, 4, 4,"4","+2:30.9","1:18:40.7",4720700,150900,TRUE,FALSE,NA
1, 840002,"GOLBERG Paal","GOLBERG P","Pål","Golberg","10",10,  153, 2221,Norway,NOR, 5, 5,"5","+2:52.5","1:19:02.3",4742300,172500,TRUE,FALSE,NA
1,1947612,"POROMAA William","POROMAA W","William","Poromaa","26",26,  154, 2222,Sweden,SWE, 6, 6,"6","+2:53.9","1:19:03.7",4743700,173900,TRUE,FALSE,NA
1, 774326,"HYVARINEN Perttu","HYVARINEN P","Perttu","Hyvärinen","21",21,  161, 2237,Finland,FIN, 7, 7,"7","+3:12.6","1:19:22.4",4762400,192600,TRUE,FALSE,NA
1, 916856,"DE FABIANI Francesco","DE FABIANI F","Francesco","De Fabiani","11",11,    6, 2210,Italy,ITA, 8, 8,"8","+3:37.8","1:19:47.6",4787600,217800,TRUE,FALSE,NA
1,1018349,"MALTSEV Artem","MALTSEV A","Artem","Maltsev","5", 5,23062,73035,ROC,ROC, 9, 9,"9","+3:54.8","1:20:04.6",4804600,234800,TRUE,FALSE,NA
1,1018352,"PARISSE Clement","PARISSE C","Clément","Parisse","18",18,  144, 2202,France,FRA,10,10,"10","+3:57.2","1:20:07.0",4807000,237200,TRUE,FALSE,NA
1, 916864,"PATTERSON Scott","PATTERSON S","Scott","Patterson","30",30,    5, 2209,United States,USA,11,11,"11","+4:00.2","1:20:10.0",4810000,240200,TRUE,FALSE,NA
1, 848491,"BOEGL Lucas","BOEGL L","Lucas","Bögl","14",14,    2, 2206,Germany,GER,12,12,"12","+4:02.7","1:20:12.5",4812500,242700,TRUE,FALSE,NA
1,1767230,"MOCH Friedrich","MOCH F","Friedrich","Moch","13",13,    2, 2206,Germany,GER,13,13,"13","+4:06.6","1:20:16.4",4816400,246600,TRUE,FALSE,NA
