"n_ParticipantType","n_ParticipantID","c_Participant","c_ParticipantShort","c_ParticipantFirstName","c_ParticipantLastName","c_Bib","n_StartOrder","NOC.n_ID","NOC.n_GeoID","NOC.c_Name","NOC.c_Short","n_Rank","n_RankSort","c_Rank","c_Result","c_ResultAbs","n_TimeAbs","n_TimeRel","b_Completed","b_Upcoming","c_ODF_IRM"
1, 656055,"JOHAUG Therese","JOHAUG T","Therese","Johaug","2", 2,  153, 2221,Norway,NOR, 1, 1,"1","1:24:54.0","1:24:54.0",5094000,      0,TRUE,FALSE,NA
1, 774305,"DIGGINS Jessie","DIGGINS J","Jessica","Diggins","4", 4,    5, 2209,United States,USA, 2, 2,"2","+1:43.3","1:26:37.3",5197300, 103300,TRUE,FALSE,NA
1, 703248,"NISKANEN Kerttu","NISKANEN K","Kerttu","Niskanen","6", 6,  161, 2237,Finland,FIN, 3, 3,"3","+2:33.3","1:27:27.3",5247300, 153300,TRUE,FALSE,NA
1,1018286,"SUNDLING Jonna","SUNDLING J","Jonna","Sundling","20",20,  154, 2222,Sweden,SWE, 4, 4,"4","+2:35.4","1:27:29.4",5249400, 155400,TRUE,FALSE,NA
1,1635399,"SORINA Tatiana","SORINA T","Tatiana","Sorina","7", 7,23062,73035,ROC,ROC, 5, 5,"5","+2:37.2","1:27:31.2",5251200, 157200,TRUE,FALSE,NA
1, 763037,"BRENNAN Rosie","BRENNAN R","Rosie","Brennan","8", 8,    5, 2209,United States,USA, 6, 6,"6","+2:38.7","1:27:32.7",5252700, 158700,TRUE,FALSE,NA
1,1240510,"CLAUDEL Delphine","CLAUDEL D","Delphine","Claudel","12",12,  144, 2202,France,FRA, 7, 7,"7","+2:40.0","1:27:34.0",5254000, 160000,TRUE,FALSE,NA
1,1232503,"ANDERSSON Ebba","ANDERSSON E","Ebba","Andersson","3", 3,  154, 2222,Sweden,SWE, 8, 8,"8","+2:41.5","1:27:35.5",5255500, 161500,TRUE,FALSE,NA
1,1625481,"ISTOMINA Mariya","ISTOMINA M","Mariya","Istomina","23",23,23062,73035,ROC,ROC, 9, 9,"9","+3:06.1","1:28:00.1",5280100, 186100,TRUE,FALSE,NA
1, 721248,"PARMAKOSKI Krista","PARMAKOSKI K","Krista","Pärmäkoski","5", 5,  161, 2237,Finland,FIN,10,10,"10","+3:41.0","1:28:35.0",5315000, 221000,TRUE,FALSE,NA
1,1018377,"STADLOBER Teresa","STADLOBER T","Teresa","Stadlober","9", 9,  151, 2219,Austria,AUT,11,11,"11","+3:42.5","1:28:36.5",5316500, 222500,TRUE,FALSE,NA
1,1018338,"CARL Victoria","CARL V","Victoria","Carl","11",11,    2, 2206,Germany,GER,12,12,"12","+5:14.4","1:30:08.4",5408400, 314400,TRUE,FALSE,NA
1,1240371,"WENG Lotta Udnes","WENG LU","Lotta Udnes","Weng","17",17,  153, 2221,Norway,NOR,13,13,"13","+6:20.3","1:31:14.3",5474300, 380300,TRUE,FALSE,NA
1,1240502,"WENG Tiril Udnes","WENG TU","Tiril Udnes","Weng","10",10,  153, 2221,Norway,NOR,14,14,"14","+6:21.4","1:31:15.4",5475400, 381400,TRUE,FALSE,NA
1,2079826,"LAUKLI Sophia","LAUKLI S","Sophia","Laukli","37",37,    5, 2209,United States,USA,15,15,"15","+6:27.2","1:31:21.2",5481200, 387200,TRUE,FALSE,NA
