"n_ParticipantType","n_ParticipantID","c_Participant","c_ParticipantShort","c_ParticipantFirstName","c_ParticipantLastName","c_Bib","n_StartOrder","NOC.n_ID","NOC.n_GeoID","NOC.c_Name","NOC.c_Short","n_Rank","n_RankSort","c_Rank","c_Result","c_ResultAbs","n_TimeAbs","n_TimeRel","b_Completed","b_Upcoming","n_BDF_VideoSessionID"
1,1947844,"KOBIELUSZ Magdalena","KOBIELUSZ M","Magdalena","Kobielusz","76",76,  150, 2214,Poland,POL,78,78,"78","+7:34.0","35:40.3",2140300,454000,TRUE,FALSE,1
1,1012614,"KAMINSKA Valentyna","KAMINSKA V","Valentyna","Kaminska","41",41,   13, 2232,Ukraine,UKR,79,79,"79","+7:36.4","35:42.7",2142700,456400,TRUE,FALSE,1
1,1947555,"UUSTALU Aveli","UUSTALU A","Aveli","Uustalu","69",69,    8, 2217,Estonia,EST,80,80,"80","+7:39.9","35:46.2",2146200,459900,TRUE,FALSE,1
1,1947585,"SIVOKOVA Kristina","SIVOKOVA K","Kristina","Sivoková","88",88,   14, 2233,Slovakia,SVK,81,81,"81","+8:06.3","36:12.6",2172600,486300,TRUE,FALSE,1
1, 288280,"MOURAO Jaqueline","MOURAO J","Jaqueline","Mourão","91",91,   16, 2235,Brazil,BRA,82,82,"82","+8:08.3","36:14.6",2174600,488300,TRUE,FALSE,1
1,2068111,"HADZIC Tena","HADZIC T","Tena","Hadzic","74",74,   89, 4354,Croatia,CRO,83,83,"83","+8:21.2","36:27.5",2187500,501200,TRUE,FALSE,1
1,2175860,"VOLFA Estere","VOLFA E","Estere","Volfa","92",92,    9, 2218,Latvia,LAT,84,84,"84","+8:30.6","36:36.9",2196900,510600,TRUE,FALSE,1
1,1632093,"ARIUNSANAA Enkhtuul","ARIUNSANAA E","Enkhtuul","Ariunsanaa","96",96,  173, 2780,Mongolia,MGL,85,85,"85","+8:56.2","37:02.5",2222500,536200,TRUE,FALSE,1
1, 832871,"LORINCZ Timea","LORINCZ T","Timea","Lorincz","61",61,  164, 2244,Romania,ROU,86,86,"86","+9:09.0","37:15.3",2235300,549000,TRUE,FALSE,1
1,1477957,"DUMAN Aysenur","DUMAN A","Aysenur","Duman","78",78,   33, 2786,Turkey,TUR,87,87,"87","+9:30.4","37:36.7",2256700,570400,TRUE,FALSE,1
